Expense Items,Expense Category,Month,Expense Values
"COS - Labor Burden","COGS",2015-05-01 00:00:00.000,15340.505838555746
"COS - Labor Burden","COGS",2015-06-01 00:00:00.000,15493.910896941303
"COS - Labor Burden","COGS",2015-07-01 00:00:00.000,15338.97178797189
"COS - Labor Burden","COGS",2015-08-01 00:00:00.000,15032.192352212451
"COS - Labor Burden","COGS",2015-09-01 00:00:00.000,14280.582734601827
"COS - Labor Burden","COGS",2015-10-01 00:00:00.000,14280.582734601827
"COS - Labor Burden","COGS",2015-11-01 00:00:00.000,13709.359425217752
"COS - Labor Burden","COGS",2015-12-01 00:00:00.000,13435.172236713397
"COS - Labor Burden","COGS",2016-01-01 00:00:00.000,13569.52395908053
"COS - Labor Burden","COGS",2016-02-01 00:00:00.000,13705.219198671337
"COS - Labor Burden","COGS",2016-03-01 00:00:00.000,13979.323582644764
"COS - Labor Burden","COGS",2016-04-01 00:00:00.000,13979.323582644764
"COS - Labor Burden","COGS",2016-05-01 00:00:00.000,14119.116818471211
"COS - Labor Burden","COGS",2016-06-01 00:00:00.000,13695.543313917076
"COS - Labor Burden","COGS",2016-07-01 00:00:00.000,13421.632447638733
"COS - Labor Burden","COGS",2016-08-01 00:00:00.000,13824.281421067895
"COS - Labor Burden","COGS",2016-09-01 00:00:00.000,14377.252677910612
"COS - Labor Burden","COGS",2016-10-01 00:00:00.000,14521.025204689717
"COS - Labor Burden","COGS",2016-11-01 00:00:00.000,14230.604700595923
"COS - Labor Burden","COGS",2016-12-01 00:00:00.000,13661.380512572085
"COS - Labor Burden","COGS",2017-01-01 00:00:00.000,14344.449538200692
"COS - Labor Burden","COGS",2017-02-01 00:00:00.000,14631.338528964705
"COS - Labor Burden","COGS",2017-03-01 00:00:00.000,14046.084987806116
"COS - Labor Burden","COGS",2017-04-01 00:00:00.000,14327.00668756224
"COS - Labor Burden","COGS",2017-05-01 00:00:00.000,14756.816888189107
"COS - Labor Burden","COGS",2017-06-01 00:00:00.000,14609.248719307216
"COS - Labor Burden","COGS",2017-07-01 00:00:00.000,14755.341206500287
"COS - Labor Burden","COGS",2017-08-01 00:00:00.000,15493.108266825302
"COS - Labor Burden","COGS",2017-09-01 00:00:00.000,15802.970432161808
"COS - Labor Burden","COGS",2017-10-01 00:00:00.000,15802.970432161808
"COS - Labor Burden","COGS",2017-11-01 00:00:00.000,16277.059545126662
"COS - Labor Burden","COGS",2017-12-01 00:00:00.000,15951.518354224127
"COS - Labor Burden","COGS",2018-01-01 00:00:00.000,15153.94243651292
"COS - Labor Burden","COGS",2018-02-01 00:00:00.000,14699.324163417532
"COS - Labor Burden","COGS",2018-03-01 00:00:00.000,14699.324163417532
"COS - Labor Burden","COGS",2018-04-01 00:00:00.000,14405.337680149181
"COS - Labor Burden","COGS",2018-05-01 00:00:00.000,14837.497810553657
"COS - Materials","COGS",2015-05-01 00:00:00.000,384865.47349113127
"COS - Materials","COGS",2015-06-01 00:00:00.000,373319.50928639731
"COS - Materials","COGS",2015-07-01 00:00:00.000,380785.89947212528
"COS - Materials","COGS",2015-08-01 00:00:00.000,388401.6174615678
"COS - Materials","COGS",2015-09-01 00:00:00.000,384517.60128695209
"COS - Materials","COGS",2015-10-01 00:00:00.000,392207.95331269113
"COS - Materials","COGS",2015-11-01 00:00:00.000,380441.71471331036
"COS - Materials","COGS",2015-12-01 00:00:00.000,365224.04612477793
"COS - Materials","COGS",2016-01-01 00:00:00.000,368876.28658602579
"COS - Materials","COGS",2016-02-01 00:00:00.000,376253.81231774628
"COS - Materials","COGS",2016-03-01 00:00:00.000,391303.96481045615
"COS - Materials","COGS",2016-04-01 00:00:00.000,371738.76656993333
"COS - Materials","COGS",2016-05-01 00:00:00.000,379173.54190133204
"COS - Materials","COGS",2016-06-01 00:00:00.000,386757.01273935876
"COS - Materials","COGS",2016-07-01 00:00:00.000,379021.87248457153
"COS - Materials","COGS",2016-08-01 00:00:00.000,360070.778860343
"COS - Materials","COGS",2016-09-01 00:00:00.000,356470.07107173948
"COS - Materials","COGS",2016-10-01 00:00:00.000,356470.07107173948
"COS - Materials","COGS",2016-11-01 00:00:00.000,363599.47249317425
"COS - Materials","COGS",2016-12-01 00:00:00.000,374507.45666796953
"COS - Materials","COGS",2017-01-01 00:00:00.000,367017.3075346101
"COS - Materials","COGS",2017-02-01 00:00:00.000,363347.134459264
"COS - Materials","COGS",2017-03-01 00:00:00.000,356080.19177007867
