Row Index,Cash Flow Items,Cash Flow Summary Items,Cash Flow Normalized,Summary Index
"1","Operations","","Operations",""
"2","          Cash receipts from customers","","Cash receipts from customers",""
"3","          Cash paid for","","Cash paid for",""
"4","                    Inventory purchases","","Inventory purchases",""
"5","                    General operating expenses","","General operating and administrative expenses",""
"6","                    Wage expenses","","Wage expenses",""
"7","                    Interest","","Interest",""
"8","                    Income taxes","","Income taxes",""
"9","Net Cash Flow from Operations","Net Cash Flow from Operations","Net Cash Flow from Operations","1"
"10","","","",""
"11","Investing Activities","","Investing Activities",""
"12","          Cash receipts from","","Cash receipts from",""
"13","                    Sale of property and equipment","","Sale of property and equipment",""
"14","                    Collection of principal on loans","","Collection of principal on loans",""
"15","                    Sale of investment securities","","Sale of investment securities",""
"16","          Cash paid for","","Cash paid for",""
"17","                    Purchase of property and equipment","","Purchase of property and equipment",""
"18","                    Making loans to other entities","","Making loans to other entities",""
"19","                    Purchase of investment securities","","Purchase of investment securities",""
"20","Net Cash Flow from Investing Activities","Net Cash Flow from Investing Activities","Net Cash Flow from Investing Activities","2"
"21","","","[42]",""
"22","Financing Activities","","Financing Activities",""
"23","          Cash receipts from","","Cash receipts from",""
"24","                    Issuance of stock","","Issuance of stock",""
"25","                    Borrowing","","Borrowing",""
"26","          Cash paid for","","Cash paid for",""
"27","                    Repurchase of stock (treasury stock)","","Repurchase of stock (treasury stock)",""
"28","                    Repayment of loans","","Repayment of loans",""
"29","                    Dividends","","Dividends",""
"30","Net Cash Flow from Financing Activities","Net Cash Flow from Financing Activities","Net Cash Flow from Financing Activities","3"
"31","","","",""
"32","Net Increase in Cash","Net Increase in Cash","Net Increase in Cash","4"
"33","","","",""
"34","Cash at Beginning of Year","Cash at Beginning of Year","Cash at Beginning of Year","5"
"35","Cash at End of Year","Cash at End of Year","Cash at End of Year","6"
