country,variable,value
Afghanistan,1945,
Albania,1945,0.0366
Algeria,1945,
Andorra,1945,
Angola,1945,
Antigua and Barbuda,1945,
Argentina,1945,
Armenia,1945,
Australia,1945,
Austria,1945,0.0421
Azerbaijan,1945,
Bahamas,1945,
Bahrain,1945,
Bangladesh,1945,
Barbados,1945,
Belarus,1945,
Belgium,1945,
Belize,1945,
Benin,1945,
Bhutan,1945,
Bolivia,1945,
Bosnia and Herzegovina,1945,
Botswana,1945,
Brazil,1945,0.0
Brunei,1945,
Bulgaria,1945,0.058
Burkina Faso,1945,
Burundi,1945,
Cambodia,1945,
Cameroon,1945,
Canada,1945,0.0092
Cape Verde,1945,
Central African Republic,1945,
Chad,1945,
Chile,1945,
China,1945,
Colombia,1945,
Comoros,1945,
"Congo, Dem, Rep,",1945,
"Congo, Rep,",1945,
Costa Rica,1945,
Cote d'Ivoire,1945,
Croatia,1945,
Cuba,1945,
Cyprus,1945,
Czech Republic,1945,
Denmark,1945,0.0537
Djibouti,1945,
Dominica,1945,
Dominican Republic,1945,
Ecuador,1945,
Egypt,1945,
El Salvador,1945,
Equatorial Guinea,1945,
Eritrea,1945,
Estonia,1945,
Eswatini,1945,
Ethiopia,1945,
Fiji,1945,
Finland,1945,0.09
France,1945,0.0563
Gabon,1945,
Gambia,1945,
Georgia,1945,
Germany,1945,
Ghana,1945,
Greece,1945,
Grenada,1945,
Guatemala,1945,
Guinea,1945,
Guinea-Bissau,1945,
Guyana,1945,
Haiti,1945,
Honduras,1945,
Hungary,1945,0.0285
Iceland,1945,
India,1945,
Indonesia,1945,
Iran,1945,
Iraq,1945,
Ireland,1945,
Israel,1945,
Italy,1945,
Jamaica,1945,
Japan,1945,
Jordan,1945,
Kazakhstan,1945,
Kenya,1945,
Kiribati,1945,
Kuwait,1945,
Kyrgyz Republic,1945,
Lao,1945,
Latvia,1945,
Lebanon,1945,
Lesotho,1945,
Liberia,1945,
Libya,1945,
Liechtenstein,1945,
Lithuania,1945,
Luxembourg,1945,0.0
Madagascar,1945,
Malawi,1945,
Malaysia,1945,
Maldives,1945,
Mali,1945,
Malta,1945,
Marshall Islands,1945,
Mauritania,1945,
Mauritius,1945,
Mexico,1945,
"Micronesia, Fed, Sts,",1945,
Moldova,1945,
Monaco,1945,
Mongolia,1945,
Montenegro,1945,
Morocco,1945,
Mozambique,1945,
Myanmar,1945,
Namibia,1945,
Nauru,1945,
Nepal,1945,
Netherlands,1945,
New Zealand,1945,
Nicaragua,1945,
Niger,1945,
Nigeria,1945,
North Korea,1945,
North Macedonia,1945,
Norway,1945,0.0467
Oman,1945,
Pakistan,1945,
Palau,1945,
Panama,1945,
Papua New Guinea,1945,
Paraguay,1945,
Peru,1945,0.0
Philippines,1945,
Poland,1945,
Portugal,1945,0.0167
Qatar,1945,
Romania,1945,
Russia,1945,
