Country,agglomerative
"Afghanistan",1
"Albania",1
"Algeria",1
"Angola",1
"Argentina",1
"Armenia",1
"Azerbaijan",1
"Bahrain",1
"Bangladesh",1
"Belarus",1
"Benin",1
"Bolivia",1
"Botswana",1
"Brazil",1
"Bulgaria",1
"Burkina Faso",1
"Burundi",1
"Cambodia",1
"Cameroon",1
"Chad",1
"Chile",1
"Colombia",1
"Comoros",1
"Costa Rica",1
"Croatia",1
"Cyprus",1
"Czech Republic",1
"Dominican Republic",1
"Ecuador",1
"Egypt",1
"El Salvador",1
"Estonia",1
"Georgia",1
"Ghana",1
"Greece",1
"Guatemala",1
"Haiti",1
"Honduras",1
"Hungary",1
"India",1
"Indonesia",1
"Israel",1
"Italy",1
"Jordan",1
"Kazakhstan",1
"Kenya",1
"Kuwait",1
"Latvia",1
"Lebanon",1
"Liberia",1
"Libya",1
"Lithuania",1
"Madagascar",1
"Malaysia",1
"Malta",1
"Mauritania",1
"Mexico",1
"Moldova",1
"Mongolia",1
"Montenegro",1
"Morocco",1
"Nepal",1
"Niger",1
"Nigeria",1
"Pakistan",1
"Panama",1
"Paraguay",1
"Peru",1
"Philippines",1
"Poland",1
"Portugal",1
"Qatar",1
"Romania",1
"Russia",1
"Rwanda",1
"Saudi Arabia",1
"Senegal",1
"Serbia",1
"Sierra Leone",1
"Singapore",1
"Slovenia",1
"South Africa",1
"Spain",1
"Sri Lanka",1
"Sudan",1
"Tajikistan",1
"Tanzania",1
"Thailand",1
"Togo",1
"Tunisia",1
"Turkey",1
"Uganda",1
"Ukraine",1
"Uruguay",1
"Vietnam",1
"Yemen",1
"Zambia",1
"Australia",0
"Austria",0
"Belgium",0
"Canada",0
"China",0
"Denmark",0
"Finland",0
"France",0
"Germany",0
"Japan",0
"Luxembourg",0
"Netherlands",0
"New Zealand",0
"Norway",0
"Sweden",0
"United Kingdom",0
"United States of America",0
