Census_ID,Census_State,State_ID,Total_Population,Population_Publicly_Insured,Population_Medicare,Population_Medicaid,Population_VA
1,"Alabama",1,4813429,962293,291473,656093,14727
2,"Alaska",2,711104,139179,23270,111808,4101
3,"Arizona",4,7065326,1650936,473869,1153664,23403
4,"Arkansas",5,2957271,800142,199507,588981,11654
5,"California",6,38838728,9774780,1974723,7724092,75965
6,"Colorado",8,5588760,1097732,296328,782875,18529
7,"Connecticut",9,3520172,739685,191001,543381,5303
8,"Delaware",10,951930,193141,50174,140917,2050
9,"District of Columbia",11,692059,154098,17803,135312,983
10,"Florida",12,20897188,4367261,1739231,2551095,76935
11,"Georgia",13,10321846,1851109,542688,1270484,37937
12,"Hawaii",15,1365172,235983,58984,174072,2927
13,"Idaho",16,1732106,298583,89248,204277,5058
14,"Illinois",17,12536614,2565191,668351,1873803,23037
15,"Indiana",18,6597701,1254559,361041,876194,17324
16,"Iowa",19,3106492,572162,146704,418151,7307
17,"Kansas",20,2853649,411026,141075,262042,7909
18,"Kentucky",21,4379339,1137796,255753,870125,11918
19,"Louisiana",22,4556953,1263602,280333,968482,14787
20,"Maine",23,1325025,227239,78486,143635,5118
21,"Maryland",24,5938200,1046798,234286,801766,10746
22,"Massachusetts",25,6800682,1342074,275638,1059392,7044
23,"Michigan",26,9866076,2016605,416123,1580765,19717
24,"Minnesota",27,5541421,960835,213657,736598,10580
25,"Mississippi",28,2912057,671942,175051,487911,8980
26,"Missouri",29,6011968,1045441,404092,619520,21829
27,"Montana",30,1046670,229721,63216,161283,5222
28,"Nebraska",31,1894327,268098,93596,169049,5453
29,"Nevada",32,2993632,633897,201066,420676,12155
30,"New Hampshire",33,1338372,207861,75884,128469,3508
31,"New Jersey",34,8780160,1564066,466108,1090950,7008
32,"New Mexico",35,2060539,657313,130380,520089,6844
33,"New York",36,19276808,4542469,932578,3585778,24113
34,"North Carolina",37,10178084,1963322,590808,1333077,39437
35,"North Dakota",38,743105,84685,26788,56303,1594
36,"Ohio",39,11501751,2543490,700014,1813291,30185
37,"Oklahoma",40,3867023,741024,219797,502889,18338
38,"Oregon",41,4135531,921871,233948,672968,14955
39,"Pennsylvania",42,12590644,2407050,657439,1727514,22097
40,"Puerto Rico",72,3230810,1425273,293374,1125785,6114
41,"Rhode Island",44,1041644,215794,58032,156239,1523
42,"South Carolina",45,4990992,1009459,306122,684845,18492
43,"South Dakota",46,861933,134125,47874,83338,2913
44,"Tennessee",47,6664134,1377414,407816,944155,25443
45,"Texas",48,28169960,4981297,1371943,3514710,94644
46,"Utah",49,3124563,339098,116851,217665,4582
47,"Vermont",50,618184,145202,35405,108569,1228
48,"Virginia",51,8282997,1180663,392614,752808,35241
49,"Washington",53,7397932,1472820,350461,1103137,19222
50,"West Virginia",54,1778080,471938,114398,349027,8513
51,"Wisconsin",55,5735703,972789,301294,656286,15209
52,"Wyoming",56,571005,72850,29086,41911,1853
