Subject,Subject ID,Proffessor ID
"Analysis of algo(Theory)","SUB001","T001"
"Analysis of algo(Practical)","SUB002","T002"
"Environmental","SUB003","T003"
"Data Structures(Theory)","SUB004","T004"
"Data Structures(Practical)","SUB005","T005"
"Graph Theory","SUB006","T006"
"Automata Theory","SUB007","T007"
"Automata LAB","SUB008","T008"
"Computer Organization","SUB009","T009"
"Shell LAB","SUB010","T001"
"Digital an Analog(Theory)","SUB011","T002"
"Digital an Analog(Practical)","SUB012","T007"
"Physics","SUB013","T008"
"Physics LAB","SUB014","T009"
"maths","SUB015","T001"
"Chemistry (Theory)","SUB016","T001"
"Chemistry (Practical)","SUB017","T002"
"Environmental","SUB018","T003"
