Student ID,Subject ID,Subject Type,Pointer,Proffessor  ID
12001,"SUB001","Theory",7.2,"T001"
12001,"SUB002","Practical",2.6,"T002"
12001,"SUB003","Theory",8.9,"T003"
12002,"SUB004","Theory",9.7,"T004"
12002,"SUB005","Practical",6.6,"T005"
12002,"SUB006","Theory",3.5,"T006"
12003,"SUB007","Theory",1,"T007"
12003,"SUB008","Practical",3.7,"T008"
12003,"SUB009","Theory",9,"T009"
12004,"SUB010","Practical",1,"T001"
12004,"SUB011","Theory",3.7,"T002"
12004,"SUB012","Practical",3.7,"T007"
12005,"SUB013","Theory",9,"T008"
12005,"SUB014","Practical",1,"T009"
12005,"SUB015","Theory",3.7,"T001"
14001,"SUB016","Theory",3.7,"T001"
14001,"SUB017","Practical",9,"T002"
14001,"SUB018","Theory",2.6,"T003"
14002,"SUB010","Practical",8.9,"T001"
14002,"SUB011","Theory",9.7,"T002"
14002,"SUB012","Practical",3.7,"T007"
15003,"SUB013","Theory",9,"T008"
15003,"SUB008","Practical",1,"T008"
15003,"SUB009","Theory",9,"T009"
15001,"SUB014","Practical",1,"T009"
15001,"SUB015","Theory",3.7,"T001"
15001,"SUB016","Theory",9,"T001"
15002,"SUB011","Theory",9.7,"T002"
15002,"SUB012","Practical",6.6,"T007"
15002,"SUB013","Theory",8.9,"T008"
15004,"SUB003","Theory",9,"T003"
15004,"SUB004","Theory",1,"T004"
15004,"SUB005","Practical",3.7,"T005"
15005,"SUB008","Practical",9.7,"T008"
15005,"SUB009","Theory",3.7,"T009"
15005,"SUB014","Practical",9,"T009"
13001,"SUB009","Theory",9,"T009"
13001,"SUB010","Practical",9.7,"T001"
13001,"SUB011","Theory",3.7,"T002"
