Code_Agence,Nom_Agence,Code_Adresse
"AG0001","Agence de AMBERIEU-EN-BUGEY","AD0001"
"AG0002","Agence de SOISSONS","AD0006"
"AG0003","Agence de CHAUNY","AD0007"
"AG0004","Agence de LAON","AD0008"
"AG0005","Agence de TERGNIER","AD0009"
"AG0006","Agence de CHATEAU-THIERRY","AD0010"
"AG0007","Agence de SAINT-QUENTIN","AD0011"
"AG0008","Agence de VILLERS-COTTERETS","AD0012"
"AG0009","Agence de YZEURE","AD0013"
"AG0010","Agence de MONTLUCON","AD0014"
"AG0011","Agence de VENCE","AD0022"
"AG0012","Agence de GRASSE","AD0023"
"AG0013","Agence de BEAUSOLEIL","AD0024"
"AG0014","Agence de VALBONNE","AD0025"
"AG0015","Agence de VALLAURIS","AD0026"
"AG0016","Agence de MOUANS-SARTOUX","AD0027"
"AG0017","Agence de ANTIBES","AD0028"
"AG0018","Agence de CANNES","AD0029"
"AG0019","Agence de VILLENEUVE-LOUBET","AD0030"
"AG0020","Agence de MOUGINS","AD0031"
"AG0021","Agence de LE CANNET","AD0032"
"AG0022","Agence de CARROS","AD0033"
"AG0023","Agence de LA TRINITE","AD0034"
"AG0024","Agence de CAGNES-SUR-MER","AD0035"
"AG0025","Agence de GUILHERAND-GRANGES","AD0041"
"AG0026","Agence de TOURNON-SUR-RHONE","AD0042"
"AG0027","Agence de ANNONAY","AD0043"
"AG0028","Agence de AUBENAS","AD0044"
"AG0029","Agence de CHARLEVILLE-MEZIERES","AD0045"
"AG0030","Agence de SEDAN","AD0046"
"AG0031","Agence de PAMIERS","AD0047"
"AG0032","Agence de LA CHAPELLE-SAINT-LUC","AD0048"
"AG0033","Agence de SAINTE-SAVINE","AD0049"
"AG0034","Agence de ROMILLY-SUR-SEINE","AD0050"
"AG0035","Agence de SAINT-ANDRE-LES-VERGERS","AD0051"
"AG0036","Agence de TROYES","AD0052"
"AG0037","Agence de CARCASSONNE","AD0053"
"AG0038","Agence de CASTELNAUDARY","AD0054"
"AG0039","Agence de MILLAU","AD0060"
"AG0040","Agence de VILLEFRANCHE-DE-ROUERGUE","AD0061"
"AG0041","Agence de SAINT-REMY-DE-PROVENCE","AD0062"
"AG0042","Agence de ISTRES","AD0063"
"AG0043","Agence de AIX-EN-PROVENCE","AD0064"
"AG0044","Agence de ALLAUCH","AD0065"
"AG0045","Agence de BOUC-BEL-AIR","AD0066"
"AG0046","Agence de SALON-DE-PROVENCE","AD0067"
"AG0047","Agence de MARSEILLE","AD0068"
"AG0048","Agence de CHATEAURENARD","AD0069"
"AG0049","Agence de ROGNAC","AD0070"
"AG0050","Agence de PLAN-DE-CUQUES","AD0071"
"AG0051","Agence de ARLES","AD0072"
"AG0052","Agence de AUBAGNE","AD0073"
"AG0053","Agence de DIJON","AD0111"
"AG0054","Agence de TALANT","AD0112"
"AG0055","Agence de PLOUFRAGAN","AD0113"
"AG0056","Agence de SAINT-BRIEUC","AD0114"
"AG0057","Agence de LANNION","AD0115"
"AG0058","Agence de DINAN","AD0116"
"AG0059","Agence de LAMBALLE","AD0117"
"AG0060","Agence de VALENTIGNEY","AD0122"
"AG0061","Agence de PONTARLIER","AD0123"
"AG0062","Agence de MONTBELIARD","AD0124"
"AG0063","Agence de AUDINCOURT","AD0125"
"AG0064","Agence de BESANCON","AD0126"
"AG0065","Agence de ROMANS-SUR-ISERE","AD0127"
"AG0066","Agence de VALENCE","AD0128"
"AG0067","Agence de MONTELIMAR","AD0129"
"AG0068","Agence de BOURG-LES-VALENCE","AD0130"
"AG0069","Agence de PIERRELATTE","AD0131"
"AG0070","Agence de BOURG-DE-PEAGE","AD0132"
"AG0071","Agence de GISORS","AD0133"
"AG0072","Agence de LOUVIERS","AD0134"
"AG0073","Agence de BERNAY","AD0135"
"AG0074","Agence de VERNON","AD0136"
"AG0075","Agence de VAL-DE-REUIL","AD0137"
"AG0076","Agence de DREUX","AD0141"
"AG0077","Agence de VERNOUILLET","AD0142"
"AG0078","Agence de CHATEAUDUN","AD0143"
"AG0079","Agence de MAINVILLIERS","AD0144"
"AG0080","Agence de NOGENT-LE-ROTROU","AD0145"
"AG0081","Agence de LE RELECQ-KERHUON","AD0146"
"AG0082","Agence de MURET","AD0167"
"AG0083","Agence de RAMONVILLE-SAINT-AGNE","AD0168"
"AG0084","Agence de CASTANET-TOLOSAN","AD0169"
"AG0085","Agence de TOURNEFEUILLE","AD0170"
"AG0086","Agence de BLAGNAC","AD0171"
"AG0087","Agence de TOULOUSE","AD0172"
"AG0088","Agence de SAINT-JEAN","AD0173"
"AG0089","Agence de L'UNION","AD0174"
"AG0090","Agence de SAINT-ORENS-DE-GAMEVILLE","AD0175"
"AG0091","Agence de FONSORBES","AD0176"
"AG0092","Agence de CUGNAUX","AD0177"
"AG0093","Agence de CESTAS","AD0197"
"AG0094","Agence de AMBARES-ET-LAGRAVE","AD0198"
"AG0095","Agence de TALENCE","AD0199"
"AG0096","Agence de PESSAC","AD0200"
"AG0097","Agence de MERIGNAC","AD0201"
"AG0098","Agence de CENON","AD0202"
"AG0099","Agence de MAUGUIO","AD0203"
"AG0100","Agence de CASTELNAU-LE-LEZ","AD0204"
"AG0101","Agence de LATTES","AD0205"
"AG0102","Agence de AGDE","AD0206"
"AG0103","Agence de BRUZ","AD0216"
"AG0104","Agence de BETTON","AD0217"
"AG0105","Agence de FOUGERES","AD0218"
"AG0106","Agence de VITRE","AD0219"
"AG0107","Agence de SAINT-JACQUES-DE-LA-LANDE","AD0220"
"AG0108","Agence de CESSON-SEVIGNE","AD0221"
"AG0109","Agence de ISSOUDUN","AD0222"
"AG0110","Agence de CHATEAUROUX","AD0223"
"AG0111","Agence de SAINT-CYR-SUR-LOIRE","AD0224"
"AG0112","Agence de AMBOISE","AD0225"
"AG0113","Agence de CHAMBRAY-LES-TOURS","AD0226"
"AG0114","Agence de TOURS","AD0227"
"AG0115","Agence de ECHIROLLES","AD0238"
"AG0116","Agence de GRENOBLE","AD0239"
"AG0117","Agence de BOURGOIN-JALLIEU","AD0240"
"AG0118","Agence de LE PONT-DE-CLAIX","AD0241"
"AG0119","Agence de SAINT-EGREVE","AD0242"
"AG0120","Agence de VILLEFONTAINE","AD0243"
"AG0121","Agence de SASSENAGE","AD0244"
"AG0122","Agence de L'ISLE-D'ABEAU","AD0245"
"AG0123","Agence de SEYSSINET-PARISET","AD0246"
"AG0124","Agence de VIENNE","AD0247"
"AG0125","Agence de SAINT-CLAUDE","AD0248"
"AG0126","Agence de DOLE","AD0249"
"AG0127","Agence de LONS-LE-SAUNIER","AD0250"
"AG0128","Agence de BISCARROSSE","AD0251"
"AG0129","Agence de DAX","AD0252"
"AG0130","Agence de TARNOS","AD0253"
"AG0131","Agence de MONT-DE-MARSAN","AD0254"
"AG0132","Agence de SAINT-PAUL-LES-DAX","AD0255"
"AG0133","Agence de ROMORANTIN-LANTHENAY","AD0256"
"AG0134","Agence de VENDOME","AD0257"
"AG0135","Agence de BLOIS","AD0258"
"AG0136","Agence de RIVE-DE-GIER","AD0259"
"AG0137","Agence de FIRMINY","AD0260"
"AG0138","Agence de ROANNE","AD0267"
"AG0139","Agence de RIORGES","AD0268"
"AG0140","Agence de LE PUY-EN-VELAY","AD0269"
"AG0141","Agence de CARQUEFOU","AD0270"
"AG0142","Agence de SAINT-HERBLAIN","AD0271"
"AG0143","Agence de PORNIC","AD0272"
"AG0144","Agence de BOUGUENAIS","AD0273"
"AG0145","Agence de SAINT-SEBASTIEN-SUR-LOIRE","AD0274"
"AG0146","Agence de COUERON","AD0275"
"AG0147","Agence de ORVAULT","AD0276"
"AG0148","Agence de PORNICHET","AD0277"
"AG0149","Agence de VERTOU","AD0278"
"AG0150","Agence de NANTES","AD0279"
"AG0151","Agence de SAINTE-LUCE-SUR-LOIRE","AD0280"
"AG0152","Agence de REZE","AD0281"
"AG0153","Agence de CHATEAUBRIANT","AD0282"
"AG0154","Agence de GUERANDE","AD0283"
"AG0155","Agence de SAINT-BREVIN-LES-PINS","AD0284"
"AG0156","Agence de CHALETTE-SUR-LOING","AD0292"
"AG0157","Agence de FLEURY-LES-AUBRAIS","AD0293"
"AG0158","Agence de SARAN","AD0294"
"AG0159","Agence de SAINT-JEAN-DE-LA-RUELLE","AD0295"
"AG0160","Agence de ORLEANS","AD0296"
"AG0161","Agence de OLIVET","AD0297"
"AG0162","Agence de CAHORS","AD0298"
"AG0163","Agence de AGEN","AD0299"
"AG0164","Agence de VILLENEUVE-SUR-LOT","AD0300"
"AG0165","Agence de MARMANDE","AD0301"
"AG0166","Agence de MENDE","AD0302"
"AG0167","Agence de EQUEURDREVILLE-HAINNEVILLE","AD0309"
"AG0168","Agence de TOURLAVILLE","AD0310"
"AG0169","Agence de GRANVILLE","AD0311"
"AG0170","Agence de CHERBOURG-OCTEVILLE","AD0312"
"AG0171","Agence de SAINT-LO","AD0313"
"AG0172","Agence de REIMS","AD0314"
"AG0173","Agence de EPERNAY","AD0315"
"AG0174","Agence de VITRY-LE-FRANCOIS","AD0316"
"AG0175","Agence de CHALONS-EN-CHAMPAGNE","AD0317"
"AG0176","Agence de TINQUEUX","AD0318"
"AG0177","Agence de CHAUMONT","AD0319"
"AG0178","Agence de SAINT-DIZIER","AD0320"
"AG0179","Agence de LAXOU","AD0332"
"AG0180","Agence de VERDUN","AD0333"
"AG0181","Agence de BAR-LE-DUC","AD0334"
"AG0182","Agence de AURAY","AD0335"
"AG0183","Agence de PONTIVY","AD0336"
"AG0184","Agence de LORIENT","AD0337"
"AG0185","Agence de VANNES","AD0338"
"AG0186","Agence de LANESTER","AD0339"
"AG0187","Agence de HENNEBONT","AD0340"
"AG0188","Agence de PLOEMEUR","AD0341"
"AG0189","Agence de GUIDEL","AD0342"
"AG0190","Agence de SAINT-AVE","AD0343"
"AG0191","Agence de STIRING-WENDEL","AD0344"
"AG0192","Agence de YUTZ","AD0345"
"AG0193","Agence de FLORANGE","AD0346"
"AG0194","Agence de AMNEVILLE","AD0347"
"AG0195","Agence de FORBACH","AD0348"
"AG0196","Agence de WOIPPY","AD0349"
"AG0197","Agence de FREYMING-MERLEBACH","AD0350"
"AG0198","Agence de METZ","AD0351"
"AG0199","Agence de HAYANGE","AD0352"
"AG0200","Agence de FAMECK","AD0353"
"AG0201","Agence de THIONVILLE","AD0354"
"AG0202","Agence de SARREBOURG","AD0355"
"AG0203","Agence de MAIZIERES-LES-METZ","AD0356"
"AG0204","Agence de SAINT-AVOLD","AD0357"
"AG0205","Agence de HAUTMONT","AD0382"
"AG0206","Agence de SAINT-ANDRE-LEZ-LILLE","AD0383"
"AG0207","Agence de MAUBEUGE","AD0384"
"AG0208","Agence de TOURCOING","AD0385"
"AG0209","Agence de CAUDRY","AD0386"
"AG0210","Agence de NEUVILLE-EN-FERRAIN","AD0387"
"AG0211","Agence de SOMAIN","AD0412"
"AG0212","Agence de COMPIEGNE","AD0413"
"AG0213","Agence de NOGENT-SUR-OISE","AD0414"
"AG0214","Agence de MERU","AD0415"
"AG0215","Agence de SENLIS","AD0416"
"AG0216","Agence de NOYON","AD0417"
"AG0217","Agence de CREIL","AD0418"
"AG0218","Agence de CREPY-EN-VALOIS","AD0419"
"AG0219","Agence de PONT-SAINTE-MAXENCE","AD0420"
"AG0220","Agence de BEAUVAIS","AD0421"
"AG0221","Agence de MONTATAIRE","AD0422"
"AG0222","Agence de CHANTILLY","AD0423"
"AG0223","Agence de CLERMONT","AD0424"
"AG0224","Agence de FLERS","AD0425"
"AG0225","Agence de ARGENTAN","AD0426"
"AG0226","Agence de ALENCON","AD0427"
"AG0227","Agence de MERICOURT","AD0428"
"AG0228","Agence de LIEVIN","AD0429"
"AG0229","Agence de AUCHEL","AD0430"
"AG0230","Agence de HENIN-BEAUMONT","AD0431"
"AG0231","Agence de SAINT-OMER","AD0432"
"AG0232","Agence de HARNES","AD0433"
"AG0233","Agence de ARRAS","AD0434"
"AG0234","Agence de NOEUX-LES-MINES","AD0435"
"AG0235","Agence de MONTIGNY-EN-GOHELLE","AD0436"
"AG0236","Agence de CALAIS","AD0437"
"AG0237","Agence de BOULOGNE-SUR-MER","AD0438"
"AG0238","Agence de CLERMONT-FERRAND","AD0454"
"AG0239","Agence de ISSOIRE","AD0455"
"AG0240","Agence de CHAMALIERES","AD0456"
"AG0241","Agence de THIERS","AD0457"
"AG0242","Agence de GERZAT","AD0458"
"AG0243","Agence de RIOM","AD0459"
"AG0244","Agence de BEAUMONT","AD0460"
"AG0245","Agence de HENDAYE","AD0461"
"AG0246","Agence de PAU","AD0462"
"AG0247","Agence de OLORON-SAINTE-MARIE","AD0463"
"AG0248","Agence de LONS","AD0464"
"AG0249","Agence de BAYONNE","AD0465"
"AG0250","Agence de BIARRITZ","AD0466"
"AG0251","Agence de ANGLET","AD0467"
"AG0252","Agence de ORTHEZ","AD0468"
"AG0253","Agence de SAINT-JEAN-DE-LUZ","AD0469"
"AG0254","Agence de BILLERE","AD0470"
"AG0255","Agence de TARBES","AD0471"
"AG0256","Agence de LOURDES","AD0472"
"AG0257","Agence de SAINT-CYPRIEN","AD0473"
"AG0258","Agence de SAINT-ESTEVE","AD0474"
"AG0259","Agence de CANET-EN-ROUSSILLON","AD0475"
"AG0260","Agence de PERPIGNAN","AD0476"
"AG0261","Agence de OSTWALD","AD0477"
"AG0262","Agence de OBERNAI","AD0478"
"AG0263","Agence de SAVERNE","AD0479"
"AG0264","Agence de STRASBOURG","AD0480"
"AG0265","Agence de BISCHWILLER","AD0481"
"AG0266","Agence de BISCHHEIM","AD0482"
"AG0267","Agence de SCHILTIGHEIM","AD0483"
"AG0268","Agence de ILLKIRCH-GRAFFENSTADEN","AD0484"
"AG0269","Agence de SELESTAT","AD0485"
"AG0270","Agence de HOENHEIM","AD0486"
"AG0271","Agence de ERSTEIN","AD0487"
"AG0272","Agence de HAGUENAU","AD0488"
"AG0273","Agence de LINGOLSHEIM","AD0489"
"AG0274","Agence de WITTELSHEIM","AD0490"
"AG0275","Agence de COLMAR","AD0491"
"AG0276","Agence de KINGERSHEIM","AD0492"
"AG0277","Agence de SAINT-LOUIS","AD0493"
"AG0278","Agence de ILLZACH","AD0494"
"AG0279","Agence de WITTENHEIM","AD0495"
"AG0280","Agence de CERNAY","AD0496"
"AG0281","Agence de RIEDISHEIM","AD0497"
"AG0282","Agence de RIXHEIM","AD0498"
"AG0283","Agence de GUEBWILLER","AD0499"
"AG0284","Agence de MULHOUSE","AD0500"
"AG0285","Agence de OULLINS","AD0501"
"AG0286","Agence de VENISSIEUX","AD0502"
"AG0287","Agence de VILLEFRANCHE-SUR-SAONE","AD0503"
"AG0288","Agence de TASSIN-LA-DEMI-LUNE","AD0504"
"AG0289","Agence de MIONS","AD0505"
"AG0290","Agence de CORBAS","AD0506"
"AG0291","Agence de CALUIRE-ET-CUIRE","AD0507"
"AG0292","Agence de SAINT-FONS","AD0508"
"AG0293","Agence de SAINT-GENIS-LAVAL","AD0509"
"AG0294","Agence de LYON","AD0510"
"AG0295","Agence de SAINT-PRIEST","AD0511"
"AG0296","Agence de GENAS","AD0512"
"AG0297","Agence de VAULX-EN-VELIN","AD0513"
"AG0298","Agence de VILLEURBANNE","AD0514"
"AG0299","Agence de FRANCHEVILLE","AD0515"
"AG0300","Agence de BRIGNAIS","AD0516"
"AG0301","Agence de MEYZIEU","AD0517"
"AG0302","Agence de BRON","AD0518"
"AG0303","Agence de RILLIEUX-LA-PAPE","AD0519"
"AG0304","Agence de ECULLY","AD0520"
"AG0305","Agence de DECINES-CHARPIEU","AD0521"
"AG0306","Agence de TARARE","AD0522"
"AG0307","Agence de GIVORS","AD0523"
"AG0308","Agence de SAINTE-FOY-LES-LYON","AD0524"
"AG0309","Agence de VESOUL","AD0525"
"AG0310","Agence de HERICOURT","AD0526"
"AG0311","Agence de LE CREUSOT","AD0527"
"AG0312","Agence de MONTCEAU-LES-MINES","AD0528"
"AG0313","Agence de MACON","AD0529"
"AG0314","Agence de CHALON-SUR-SAONE","AD0530"
"AG0315","Agence de AUTUN","AD0531"
"AG0316","Agence de LE MANS","AD0532"
"AG0317","Agence de ALLONNES","AD0533"
"AG0318","Agence de SABLE-SUR-SARTHE","AD0534"
"AG0319","Agence de LA FLECHE","AD0535"
"AG0320","Agence de AIX-LES-BAINS","AD0536"
"AG0321","Agence de ALBERTVILLE","AD0537"
"AG0322","Agence de CHAMBERY","AD0538"
"AG0323","Agence de LE MEE-SUR-SEINE","AD0601"
"AG0324","Agence de SAINT-FARGEAU-PONTHIERRY","AD0602"
"AG0325","Agence de MITRY-MORY","AD0603"
"AG0326","Agence de VILLEPARISIS","AD0604"
