Country,City,State,Region,Postal Code,State Abbrev
"United States","Los Angeles","California","West","90049","CA"
"United States","Los Angeles","California","West","90036","CA"
"United States","Los Angeles","California","West","90032","CA"
"United States","Los Angeles","California","West","90004","CA"
"United States","Los Angeles","California","West","90045","CA"
"United States","Los Angeles","California","West","90008","CA"
"United States","San Francisco","California","West","94109","CA"
"United States","San Francisco","California","West","94110","CA"
"United States","San Francisco","California","West","94122","CA"
"United States","San Diego","California","West","92037","CA"
"United States","San Diego","California","West","92024","CA"
"United States","San Diego","California","West","92105","CA"
"United States","Roseville","California","West","95661","CA"
"United States","Brentwood","California","West","94513","CA"
"United States","Hesperia","California","West","92345","CA"
"United States","Costa Mesa","California","West","92627","CA"
"United States","Vallejo","California","West","94591","CA"
"United States","Oceanside","California","West","92054","CA"
"United States","San Jose","California","West","95123","CA"
"United States","Pomona","California","West","91767","CA"
"United States","Concord","California","West","94521","CA"
"United States","La Quinta","California","West","92253","CA"
"United States","Fresno","California","West","93727","CA"
"United States","Oakland","California","West","94601","CA"
"United States","Visalia","California","West","93277","CA"
"United States","Temecula","California","West","92592","CA"
"United States","Chula Vista","California","West","91911","CA"
"United States","San Gabriel","California","West","91776","CA"
"United States","Lakewood","California","West","90712","CA"
"United States","Pasadena","California","West","91104","CA"
"United States","Chico","California","West","95928","CA"
"United States","Oxnard","California","West","93030","CA"
"United States","Sacramento","California","West","95823","CA"
"United States","Montebello","California","West","90640","CA"
"United States","Anaheim","California","West","92804","CA"
"United States","Camarillo","California","West","93010","CA"
"United States","Riverside","California","West","92503","CA"
"United States","Moreno Valley","California","West","92553","CA"
"United States","Mission Viejo","California","West","92691","CA"
"United States","Santa Barbara","California","West","93101","CA"
"United States","Bakersfield","California","West","93309","CA"
"United States","Redlands","California","West","92374","CA"
"United States","Long Beach","California","West","90805","CA"
"United States","Salinas","California","West","93905","CA"
"United States","Antioch","California","West","94509","CA"
"United States","Huntington Beach","California","West","92646","CA"
"United States","Rancho Cucamonga","California","West","91730","CA"
"United States","Thousand Oaks","California","West","91360","CA"
"United States","Yucaipa","California","West","92399","CA"
"United States","Santa Ana","California","West","92704","CA"
"United States","Manteca","California","West","95336","CA"
"United States","Laguna Niguel","California","West","92677","CA"
"United States","Lake Forest","California","West","92630","CA"
"United States","Santa Clara","California","West","95051","CA"
"United States","Lodi","California","West","95240","CA"
"United States","Murrieta","California","West","92563","CA"
"United States","Escondido","California","West","92025","CA"
"United States","San Bernardino","California","West","92404","CA"
"United States","Stockton","California","West","95207","CA"
"United States","Vacaville","California","West","95687","CA"
"United States","Redondo Beach","California","West","90278","CA"
"United States","Lancaster","California","West","93534","CA"
"United States","Santa Maria","California","West","93454","CA"
"United States","Davis","California","West","95616","CA"
"United States","Morgan Hill","California","West","95037","CA"
"United States","San Clemente","California","West","92672","CA"
"United States","San Luis Obispo","California","West","93405","CA"
"United States","Lake Elsinore","California","West","92530","CA"
"United States","Torrance","California","West","90503","CA"
"United States","Redding","California","West","96003","CA"
"United States","Apple Valley","California","West","92307","CA"
"United States","El Cajon","California","West","92020","CA"
"United States","Woodland","California","West","95695","CA"
