ProductID,Product,ProductCategory,ProductGroup
2449,"Product 2449","Llysstai","Product Group 36"
2453,"Product 2453","Llysstai","Product Group 36"
2454,"Product 2454","Llysstai","Product Group 36"
2459,"Product 2459","Llysstai","Product Group 36"
2462,"Product 2462","Llysstai","Product Group 36"
2463,"Product 2463","Llysstai","Product Group 36"
2464,"Product 2464","Llysstai","Product Group 36"
2465,"Product 2465","Llysstai","Product Group 36"
2468,"Product 2468","Llysstai","Product Group 36"
2471,"Product 2471","Llysstai","Product Group 36"
2473,"Product 2473","Llysstai","Product Group 36"
2475,"Product 2475","Llysstai","Product Group 36"
2476,"Product 2476","Llysstai","Product Group 36"
2478,"Product 2478","Llysstai","Product Group 36"
2479,"Product 2479","Llysstai","Product Group 36"
2481,"Product 2481","Llysstai","Product Group 36"
2482,"Product 2482","Llysstai","Product Group 36"
2483,"Product 2483","Llysstai","Product Group 36"
2484,"Product 2484","Llysstai","Product Group 36"
2486,"Product 2486","Llysstai","Product Group 36"
2488,"Product 2488","Llysstai","Product Group 36"
2489,"Product 2489","Llysstai","Product Group 36"
2490,"Product 2490","Llysstai","Product Group 36"
2493,"Product 2493","Llysstai","Product Group 36"
2494,"Product 2494","Llysstai","Product Group 36"
2495,"Product 2495","Llysstai","Product Group 36"
2496,"Product 2496","Llysstai","Product Group 36"
2497,"Product 2497","Llysstai","Product Group 36"
2499,"Product 2499","Llysstai","Product Group 36"
2500,"Product 2500","Llysstai","Product Group 36"
2502,"Product 2502","Llysstai","Product Group 36"
2503,"Product 2503","Llysstai","Product Group 36"
2504,"Product 2504","Llysstai","Product Group 36"
2505,"Product 2505","Llysstai","Product Group 36"
2506,"Product 2506","Llysstai","Product Group 36"
2507,"Product 2507","Llysstai","Product Group 36"
2509,"Product 2509","Llysstai","Product Group 36"
2511,"Product 2511","Llysstai","Product Group 36"
2512,"Product 2512","Llysstai","Product Group 36"
2513,"Product 2513","Llysstai","Product Group 36"
2514,"Product 2514","Llysstai","Product Group 36"
2515,"Product 2515","Llysstai","Product Group 36"
2516,"Product 2516","Llysstai","Product Group 36"
2517,"Product 2517","Llysstai","Product Group 36"
2518,"Product 2518","Llysstai","Product Group 36"
2519,"Product 2519","Llysstai","Product Group 36"
2520,"Product 2520","Llysstai","Product Group 36"
2521,"Product 2521","Llysstai","Product Group 36"
2522,"Product 2522","Llysstai","Product Group 36"
2523,"Product 2523","Llysstai","Product Group 36"
2524,"Product 2524","Llysstai","Product Group 36"
2525,"Product 2525","Llysstai","Product Group 36"
2526,"Product 2526","Llysstai","Product Group 36"
2527,"Product 2527","Llysstai","Product Group 36"
2528,"Product 2528","Llysstai","Product Group 36"
2529,"Product 2529","Llysstai","Product Group 36"
2530,"Product 2530","Llysstai","Product Group 36"
2531,"Product 2531","Llysstai","Product Group 36"
2532,"Product 2532","Llysstai","Product Group 36"
2533,"Product 2533","Llysstai","Product Group 36"
2534,"Product 2534","Llysstai","Product Group 36"
2535,"Product 2535","Llysstai","Product Group 36"
2537,"Product 2537","Llysstai","Product Group 36"
2540,"Product 2540","Llysstai","Product Group 36"
2541,"Product 2541","Llysstai","Product Group 36"
2544,"Product 2544","Llysstai","Product Group 36"
2547,"Product 2547","Llysstai","Product Group 36"
2548,"Product 2548","Llysstai","Product Group 36"
2549,"Product 2549","Llysstai","Product Group 36"
2550,"Product 2550","Llysstai","Product Group 36"
2551,"Product 2551","Llysstai","Product Group 36"
2552,"Product 2552","Llysstai","Product Group 36"
2553,"Product 2553","Llysstai","Product Group 36"
2554,"Product 2554","Llysstai","Product Group 36"
2555,"Product 2555","Llysstai","Product Group 36"
2557,"Product 2557","Llysstai","Product Group 36"
2558,"Product 2558","Llysstai","Product Group 36"
2559,"Product 2559","Llysstai","Product Group 36"
2560,"Product 2560","Llysstai","Product Group 36"
2561,"Product 2561","Llysstai","Product Group 36"
2562,"Product 2562","Llysstai","Product Group 36"
2563,"Product 2563","Llysstai","Product Group 36"
2564,"Product 2564","Llysstai","Product Group 36"
2565,"Product 2565","Llysstai","Product Group 36"
2570,"Product 2570","Llysstai","Product Group 36"
2571,"Product 2571","Llysstai","Product Group 36"
2572,"Product 2572","Llysstai","Product Group 36"
2573,"Product 2573","Llysstai","Product Group 36"
2575,"Product 2575","Llysstai","Product Group 36"
2576,"Product 2576","Llysstai","Product Group 36"
2577,"Product 2577","Llysstai","Product Group 36"
2578,"Product 2578","Llysstai","Product Group 36"
2579,"Product 2579","Llysstai","Product Group 36"
2580,"Product 2580","Llysstai","Product Group 36"
