Date,Year,MonthNo,Month,Quarter,YearMonth,WeekdayNo,Weekday,DateID
2016-01-01 00:00:00.000,2016,1,"Jan","Q1","2016-01",5,"Fri",20160101
2016-01-02 00:00:00.000,2016,1,"Jan","Q1","2016-01",6,"Sat",20160102
2016-01-03 00:00:00.000,2016,1,"Jan","Q1","2016-01",7,"Sun",20160103
2016-01-04 00:00:00.000,2016,1,"Jan","Q1","2016-01",1,"Mon",20160104
2016-01-05 00:00:00.000,2016,1,"Jan","Q1","2016-01",2,"Tue",20160105
2016-01-06 00:00:00.000,2016,1,"Jan","Q1","2016-01",3,"Wed",20160106
2016-01-07 00:00:00.000,2016,1,"Jan","Q1","2016-01",4,"Thu",20160107
2016-01-08 00:00:00.000,2016,1,"Jan","Q1","2016-01",5,"Fri",20160108
2016-01-09 00:00:00.000,2016,1,"Jan","Q1","2016-01",6,"Sat",20160109
2016-01-10 00:00:00.000,2016,1,"Jan","Q1","2016-01",7,"Sun",20160110
2016-01-11 00:00:00.000,2016,1,"Jan","Q1","2016-01",1,"Mon",20160111
2016-01-12 00:00:00.000,2016,1,"Jan","Q1","2016-01",2,"Tue",20160112
2016-01-13 00:00:00.000,2016,1,"Jan","Q1","2016-01",3,"Wed",20160113
2016-01-14 00:00:00.000,2016,1,"Jan","Q1","2016-01",4,"Thu",20160114
2016-01-15 00:00:00.000,2016,1,"Jan","Q1","2016-01",5,"Fri",20160115
2016-01-16 00:00:00.000,2016,1,"Jan","Q1","2016-01",6,"Sat",20160116
2016-01-17 00:00:00.000,2016,1,"Jan","Q1","2016-01",7,"Sun",20160117
2016-01-18 00:00:00.000,2016,1,"Jan","Q1","2016-01",1,"Mon",20160118
2016-01-19 00:00:00.000,2016,1,"Jan","Q1","2016-01",2,"Tue",20160119
2016-01-20 00:00:00.000,2016,1,"Jan","Q1","2016-01",3,"Wed",20160120
2016-01-21 00:00:00.000,2016,1,"Jan","Q1","2016-01",4,"Thu",20160121
2016-01-22 00:00:00.000,2016,1,"Jan","Q1","2016-01",5,"Fri",20160122
2016-01-23 00:00:00.000,2016,1,"Jan","Q1","2016-01",6,"Sat",20160123
2016-01-24 00:00:00.000,2016,1,"Jan","Q1","2016-01",7,"Sun",20160124
2016-01-25 00:00:00.000,2016,1,"Jan","Q1","2016-01",1,"Mon",20160125
2016-01-26 00:00:00.000,2016,1,"Jan","Q1","2016-01",2,"Tue",20160126
2016-01-27 00:00:00.000,2016,1,"Jan","Q1","2016-01",3,"Wed",20160127
2016-01-28 00:00:00.000,2016,1,"Jan","Q1","2016-01",4,"Thu",20160128
