Zip,city,state,latitude,longitude,timezone,dst
10008,"New York","NY",40.780751,-73.977182,-5,1
10015,"New York","NY",40.780751,-73.977182,-5,1
10043,"New York","NY",40.780751,-73.977182,-5,1
10046,"New York","NY",40.780751,-73.977182,-5,1
10047,"New York","NY",40.780751,-73.977182,-5,1
10055,"New York","NY",40.780751,-73.977182,-5,1
10060,"New York","NY",40.780751,-73.977182,-5,1
10072,"New York","NY",40.780751,-73.977182,-5,1
10079,"New York","NY",40.780751,-73.977182,-5,1
10080,"New York","NY",40.780751,-73.977182,-5,1
10081,"New York","NY",40.780751,-73.977182,-5,1
10082,"New York","NY",40.780751,-73.977182,-5,1
10087,"New York","NY",40.780751,-73.977182,-5,1
10090,"New York","NY",40.780751,-73.977182,-5,1
10094,"New York","NY",40.780751,-73.977182,-5,1
10096,"New York","NY",40.780751,-73.977182,-5,1
10099,"New York","NY",40.780751,-73.977182,-5,1
10101,"New York","NY",40.780751,-73.977182,-5,1
10102,"New York","NY",40.780751,-73.977182,-5,1
10108,"New York","NY",40.780751,-73.977182,-5,1
10109,"New York","NY",40.780751,-73.977182,-5,1
10113,"New York","NY",40.780751,-73.977182,-5,1
10114,"New York","NY",40.780751,-73.977182,-5,1
10116,"New York","NY",40.780751,-73.977182,-5,1
10117,"New York","NY",40.780751,-73.977182,-5,1
10124,"New York","NY",40.780751,-73.977182,-5,1
10125,"New York","NY",40.780751,-73.977182,-5,1
10126,"New York","NY",40.780751,-73.977182,-5,1
10129,"New York","NY",40.780751,-73.977182,-5,1
10130,"New York","NY",40.780751,-73.977182,-5,1
10131,"New York","NY",40.780751,-73.977182,-5,1
10132,"New York","NY",40.780751,-73.977182,-5,1
10133,"New York","NY",40.780751,-73.977182,-5,1
10138,"New York","NY",40.780751,-73.977182,-5,1
10149,"New York","NY",40.780751,-73.977182,-5,1
10150,"New York","NY",40.780751,-73.977182,-5,1
10156,"New York","NY",40.780751,-73.977182,-5,1
10157,"New York","NY",40.780751,-73.977182,-5,1
10159,"New York","NY",40.780751,-73.977182,-5,1
10160,"New York","NY",40.780751,-73.977182,-5,1
10161,"New York","NY",40.780751,-73.977182,-5,1
10163,"New York","NY",40.780751,-73.977182,-5,1
10164,"New York","NY",40.780751,-73.977182,-5,1
10179,"New York","NY",40.780751,-73.977182,-5,1
10184,"New York","NY",40.780751,-73.977182,-5,1
10185,"New York","NY",40.780751,-73.977182,-5,1
10196,"New York","NY",40.780751,-73.977182,-5,1
10197,"New York","NY",40.780751,-73.977182,-5,1
10203,"New York","NY",40.780751,-73.977182,-5,1
10211,"New York","NY",40.780751,-73.977182,-5,1
10212,"New York","NY",40.780751,-73.977182,-5,1
10213,"New York","NY",40.780751,-73.977182,-5,1
10242,"New York","NY",40.780751,-73.977182,-5,1
10249,"New York","NY",40.780751,-73.977182,-5,1
10256,"New York","NY",40.780751,-73.977182,-5,1
10257,"New York","NY",40.780751,-73.977182,-5,1
10258,"New York","NY",40.780751,-73.977182,-5,1
10259,"New York","NY",40.780751,-73.977182,-5,1
10260,"New York","NY",40.780751,-73.977182,-5,1
10261,"New York","NY",40.780751,-73.977182,-5,1
10265,"New York","NY",40.780751,-73.977182,-5,1
10268,"New York","NY",40.780751,-73.977182,-5,1
10269,"New York","NY",40.780751,-73.977182,-5,1
10272,"New York","NY",40.780751,-73.977182,-5,1
10273,"New York","NY",40.780751,-73.977182,-5,1
10274,"New York","NY",40.780751,-73.977182,-5,1
10275,"New York","NY",40.780751,-73.977182,-5,1
10276,"New York","NY",40.780751,-73.977182,-5,1
10277,"New York","NY",40.780751,-73.977182,-5,1
10292,"New York","NY",40.780751,-73.977182,-5,1
10001,"New York","NY",40.750742,-73.99653,-5,1
10002,"New York","NY",40.71704,-73.987,-5,1
10003,"New York","NY",40.732509,-73.98935,-5,1
10005,"New York","NY",40.706019,-74.00858,-5,1
10006,"New York","NY",40.707904,-74.01342,-5,1
10007,"New York","NY",40.714754,-74.00721,-5,1
10009,"New York","NY",40.727093,-73.97864,-5,1
10010,"New York","NY",40.739022,-73.98205,-5,1
10011,"New York","NY",40.741012,-74.00012,-5,1
10012,"New York","NY",40.72596,-73.99834,-5,1
10013,"New York","NY",40.720666,-74.00526,-5,1
10014,"New York","NY",40.734718,-74.00532,-5,1
10016,"New York","NY",40.74618,-73.97759,-5,1
10017,"New York","NY",40.752159,-73.97231,-5,1
10018,"New York","NY",40.755101,-73.99337,-5,1
10019,"New York","NY",40.765714,-73.9856,-5,1
10020,"New York","NY",40.758667,-73.98024,-5,1
10021,"New York","NY",40.76842,-73.96045,-5,1
10022,"New York","NY",40.759015,-73.96732,-5,1
10023,"New York","NY",40.776099,-73.98285,-5,1
10024,"New York","NY",40.786387,-73.97709,-5,1
10025,"New York","NY",40.798502,-73.96811,-5,1
10026,"New York","NY",40.802853,-73.95471,-5,1
10027,"New York","NY",40.812665,-73.95499,-5,1
10028,"New York","NY",40.776777,-73.9541,-5,1
10029,"New York","NY",40.791586,-73.94575,-5,1
