MyIndex,Date,AveragePrice,Total Volume,4046,4225,4770,Total Bags,Small Bags,Large Bags,XLarge Bags,type,year,region
26,2017-07-02 00:00:00.000,2.05,8342.87,139.69,5019.56,219.17,2964.45,2841.94,122.51,0.0,organic,2017,RaleighGreensboro
0,2015-12-27 00:00:00.000,1.5,749.03,199.16,29.63,0.0,520.24,450.74,69.5,0.0,organic,2015,Pittsburgh
51,2016-01-03 00:00:00.000,0.86,492699.87,165617.47,93942.49,143911.67,89228.24,51669.47,2096.24,35462.53,conventional,2016,Detroit
31,2017-05-28 00:00:00.000,2.04,20860.14,20.57,1658.97,0.0,19180.6,17542.21,1638.39,0.0,organic,2017,Boston
24,2017-07-16 00:00:00.000,1.18,385966.55,100370.0,55199.44,46609.96,183787.15,155523.04,4802.95,23461.16,conventional,2017,Detroit
10,2015-10-18 00:00:00.000,1.26,143944.11,53413.73,34898.38,25.38,55606.62,51312.19,4287.69,6.74,conventional,2015,StLouis
29,2017-06-11 00:00:00.000,1.31,2120488.01,948624.24,478847.61,7878.02,685138.14,642268.81,27923.27,14946.06,conventional,2017,Plains
40,2016-03-20 00:00:00.000,1.61,16332.76,1677.68,6707.4,390.33,7557.35,6172.74,1384.61,0.0,organic,2016,BaltimoreWashington
24,2017-07-16 00:00:00.000,1.5,4180237.98,266663.37,2858828.89,30721.99,1024023.73,850086.41,138210.65,35726.67,conventional,2017,Northeast
3,2017-12-10 00:00:00.000,1.27,93436.57,34239.68,19312.09,1573.33,38311.47,31900.28,6411.19,0.0,conventional,2017,Pittsburgh
22,2016-07-24 00:00:00.000,1.21,136429.31,53040.76,6134.35,0.0,77254.2,65513.34,11740.86,0.0,organic,2016,SouthCentral
8,2018-01-28 00:00:00.000,0.99,2533937.56,1387712.4,515698.93,6371.3,624154.93,474701.92,149437.52,15.49,conventional,2018,Plains
32,2016-05-15 00:00:00.000,1.59,1259.86,17.4,367.82,0.0,874.64,874.64,0.0,0.0,organic,2016,Albany
44,2015-02-22 00:00:00.000,1.03,85295.41,25370.99,45291.88,2537.35,12095.19,12095.19,0.0,0.0,conventional,2015,Spokane
3,2016-12-04 00:00:00.000,0.83,8502.78,242.52,2547.81,0.0,5712.45,77.78,5634.67,0.0,organic,2016,Nashville
29,2015-06-07 00:00:00.000,1.27,494855.95,194535.45,207213.71,14325.27,78781.52,78760.94,8.9,11.68,conventional,2015,Seattle
2,2018-03-11 00:00:00.000,0.93,228663.46,68597.75,43277.55,205.1,116583.06,100506.78,15642.94,433.34,conventional,2018,Roanoke
1,2015-12-20 00:00:00.000,0.99,127373.56,87309.07,7415.81,4356.81,28291.87,23562.1,4722.17,7.6,conventional,2015,Nashville
45,2017-02-19 00:00:00.000,1.65,2104.05,11.28,403.6,0.0,1689.17,1166.92,522.25,0.0,organic,2017,Boise
19,2016-08-14 00:00:00.000,1.26,9274.44,100.12,3811.78,0.0,5362.54,1314.48,4048.06,0.0,organic,2016,Roanoke
12,2017-10-08 00:00:00.000,1.83,103123.48,46870.14,8224.8,765.87,47262.67,40288.38,6950.95,23.34,conventional,2017,Columbus
2,2018-03-11 00:00:00.000,1.16,227714.5,126052.23,12557.63,439.09,88665.55,37739.81,50845.74,80.0,conventional,2018,Jacksonville
32,2017-05-21 00:00:00.000,2.63,8322.8,311.21,5215.69,311.21,2484.69,2169.64,315.05,0.0,organic,2017,RaleighGreensboro
39,2015-03-29 00:00:00.000,1.96,3493.98,267.8,1467.6,1227.69,530.89,530.89,0.0,0.0,organic,2015,Charlotte
20,2017-08-13 00:00:00.000,1.38,93447.51,2736.38,37308.97,121.05,53281.11,27903.99,24543.79,833.33,conventional,2017,Louisville
5,2017-11-26 00:00:00.000,1.25,269322.0,125872.0,47631.0,2004.0,93815.0,72283.0,19651.0,1882.0,conventional,2017,SouthCarolina
29,2017-06-11 00:00:00.000,0.83,1090267.81,638208.69,88563.14,10519.07,352976.91,165191.61,187785.3,0.0,conventional,2017,WestTexNewMexico
26,2015-06-28 00:00:00.000,1.39,63938.81,755.7,30246.27,2965.17,29971.67,29940.56,31.11,0.0,conventional,2015,Syracuse
