OffenceId,Type of Offence,OffenceCategoryId,Category,Sensitivity
"0111","Murder","01","Homicide offences","High"
"0112","Manslaughter","01","Homicide offences","High"
"0113","Infanticide","01","Homicide offences","High"
"012","Dangerous driving leading to death","01","Homicide offences","High"
"021","Rape and sexual assault","02","Sexual offences","High"
"022","Other sexual offences","02","Sexual offences","High"
"0311","Murder-attempt","03","Attempts/threats to murder, assaults, harassments and related offences","Low"
"0313","Threat to kill or cause serious harm","03","Attempts/threats to murder, assaults, harassments and related offences","Low"
"033","Harassment and related offences","03","Attempts/threats to murder, assaults, harassments and related offences","Low"
"034","Assault causing harm, poisoning","03","Attempts/threats to murder, assaults, harassments and related offences","Low"
"035","Other assault","03","Attempts/threats to murder, assaults, harassments and related offences","Low"
"0411","Dangerous driving causing serious bodily harm","04","Dangerous or negligent acts","High"
"0412","Driving/in charge of a vehicle while over legal alcohol limit","04","Dangerous or negligent acts","High"
"0413","Driving/in charge of a vehicle under the influence of drugs","04","Dangerous or negligent acts","High"
"0421","Endangerment with potential for serious harm/death","04","Dangerous or negligent acts","High"
"0422","Abandoning a child, child neglect and cruelty","04","Dangerous or negligent acts","High"
"0423","Unseaworthy/dangerous use of boat or ship","04","Dangerous or negligent acts","High"
"0424","False alarm/interference with aircraft or air transport facilities","04","Dangerous or negligent acts","High"
"0425","Endangering traffic offences","04","Dangerous or negligent acts","High"
"0511","False imprisonment","05","Kidnapping and related offences","High"
"0512","Abduction of person under 16 years of age","05","Kidnapping and related offences","High"
"0513","Human trafficking offences","05","Kidnapping and related offences","High"
"0611","Robbery of an establishment or institution","06","Robbery, extortion and hijacking offences","High"
"0612","Robbery of cash or goods in transit","06","Robbery, extortion and hijacking offences","High"
"0613","Robbery from the person","06","Robbery, extortion and hijacking offences","High"
"0621","Blackmail or extortion","06","Robbery, extortion and hijacking offences","High"
"0631","Carjacking, hijacking/unlawful seizure of aircraft/vessel","06","Robbery, extortion and hijacking offences","High"
"0711","Aggravated burglary","07","Burglary and related offences","Low"
"0712","Burglary (not aggravated)","07","Burglary and related offences","Low"
"0713","Possession of an article (with intent to burgle, steal, demand)","07","Burglary and related offences","Low"
"081","Theft/taking of vehicle and related offences","08","Theft and related offences","Low"
"0821","Theft from person","08","Theft and related offences","Low"
"0822","Theft from shop","08","Theft and related offences","Low"
"084","Other thefts, handling stolen property","08","Theft and related offences","Low"
"1011","Importation of drugs","10","Controlled drug offences","Low"
"1012","Cultivation or manufacture of drugs","10","Controlled drug offences","Low"
"1021","Possession of drugs for sale or supply","10","Controlled drug offences","Low"
"1022","Possession of drugs for personal use","10","Controlled drug offences","Low"
"103","Other drug offences","10","Controlled drug offences","Low"
"111","Explosives, chemical weapons offences","11","Weapons and Explosives Offences","Low"
"1121","Discharging a firearm","11","Weapons and Explosives Offences","Low"
"1122","Possession of a firearm","11","Weapons and Explosives Offences","Low"
"113","Offensive weapons offences (n.e.c.)","11","Weapons and Explosives Offences","Low"
"114","Fireworks offences","11","Weapons and Explosives Offences","Low"
"1211","Arson","12","Damage to property and to the environment","Low"
"1212","Criminal damage (not arson)","12","Damage to property and to the environment","Low"
"1221","Litter offences","12","Damage to property and to the environment","Low"
"131","Disorderly conduct","13","Public order and other social code offences","High"
"132","Trespass offences","13","Public order and other social code offences","High"
"133","Liquor licensing offences","13","Public order and other social code offences","High"
"134","Prostitution offences","13","Public order and other social code offences","High"
"135","Regulated betting/money, collection/trading offences","13","Public order and other social code offences","High"
"136","Social code offences (n.e.c.)","13","Public order and other social code offences","High"
"151","Offences against government and its agents","15","Offences against government, justice procedures and organisation of crime","Low"
"152","Organisation of crime and conspiracy to commit crime","15","Offences against government, justice procedures and organisation of crime","Low"
"153","Perverting the course of justice","15","Offences against government, justice procedures and organisation of crime","Low"
"157","Offences while in custody, breach of court orders","15","Offences against government, justice procedures and organisation of crime","Low"
