ProductKey,OrderDateKey,DueDateKey,ShipDateKey,ResellerKey,EmployeeKey,PromotionKey,CurrencyKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber
335,20120129,20120210,20120205,403,282,1,100,4,"SO47056",9,1,1,469.794,469.794,0,0,486.7066,486.7066,469.794,37.5835,11.7449,"53BF-4950-9E","PO7656118289"
331,20120129,20120210,20120205,403,282,1,100,4,"SO47056",24,1,1,469.794,469.794,0,0,486.7066,486.7066,469.794,37.5835,11.7449,"53BF-4950-9E","PO7656118289"
343,20120129,20120210,20120205,403,282,1,100,4,"SO47056",31,1,1,469.794,469.794,0,0,486.7066,486.7066,469.794,37.5835,11.7449,"53BF-4950-9E","PO7656118289"
333,20120129,20120210,20120205,403,282,1,100,4,"SO47056",32,1,1,469.794,469.794,0,0,486.7066,486.7066,469.794,37.5835,11.7449,"53BF-4950-9E","PO7656118289"
341,20120430,20120512,20120507,403,282,1,100,4,"SO48080",30,1,1,469.794,469.794,0,0,486.7066,486.7066,469.794,37.5835,11.7449,"4DC7-4772-87","PO7656157590"
321,20120430,20120512,20120507,403,282,1,100,4,"SO48080",40,1,1,469.794,469.794,0,0,486.7066,486.7066,469.794,37.5835,11.7449,"4DC7-4772-87","PO7656157590"
343,20120430,20120512,20120507,403,282,1,100,4,"SO48080",44,1,1,469.794,469.794,0,0,486.7066,486.7066,469.794,37.5835,11.7449,"4DC7-4772-87","PO7656157590"
333,20120731,20120812,20120807,403,282,1,100,4,"SO49160",5,1,1,469.794,469.794,0,0,486.7066,486.7066,469.794,37.5835,11.7449,"60E2-486C-AE","PO7656113690"
325,20120731,20120812,20120807,403,282,1,100,4,"SO49160",7,1,1,469.794,469.794,0,0,486.7066,486.7066,469.794,37.5835,11.7449,"60E2-486C-AE","PO7656113690"
329,20120731,20120812,20120807,403,282,1,100,4,"SO49160",20,1,1,469.794,469.794,0,0,486.7066,486.7066,469.794,37.5835,11.7449,"60E2-486C-AE","PO7656113690"
343,20120731,20120812,20120807,403,282,1,100,4,"SO49160",31,1,1,469.794,469.794,0,0,486.7066,486.7066,469.794,37.5835,11.7449,"60E2-486C-AE","PO7656113690"
331,20121028,20121109,20121104,403,282,1,100,4,"SO50313",18,1,1,469.794,469.794,0,0,486.7066,486.7066,469.794,37.5835,11.7449,"B452-44E9-91","PO7656143984"
333,20121028,20121109,20121104,403,282,1,100,4,"SO50313",35,1,1,469.794,469.794,0,0,486.7066,486.7066,469.794,37.5835,11.7449,"B452-44E9-91","PO7656143984"
343,20120129,20120210,20120205,259,282,1,100,4,"SO46960",16,1,1,469.794,469.794,0,0,486.7066,486.7066,469.794,37.5835,11.7449,"F05E-41EB-90","PO16762181648"
325,20120129,20120210,20120205,258,282,1,100,4,"SO46970",5,1,1,469.794,469.794,0,0,486.7066,486.7066,469.794,37.5835,11.7449,"01AF-420A-B9","PO15196114472"
341,20120129,20120210,20120205,258,282,1,100,4,"SO46970",10,1,1,469.794,469.794,0,0,486.7066,486.7066,469.794,37.5835,11.7449,"01AF-420A-B9","PO15196114472"
331,20120129,20120210,20120205,258,282,1,100,4,"SO46970",30,1,1,469.794,469.794,0,0,486.7066,486.7066,469.794,37.5835,11.7449,"01AF-420A-B9","PO15196114472"
335,20120129,20120210,20120205,78,282,1,100,4,"SO46988",27,1,1,469.794,469.794,0,0,486.7066,486.7066,469.794,37.5835,11.7449,"2D2E-4EC3-AC","PO12499171502"
323,20120129,20120210,20120205,97,282,1,100,4,"SO46992",3,1,1,469.794,469.794,0,0,486.7066,486.7066,469.794,37.5835,11.7449,"C958-4FD6-A0","PO11745117547"
