ID,ID 2,Name,Value,Custom Column,Table1 (2).Index,Custom
21770161,,Altitude,284,,,
21770161,,Width,5,,,
21770161,21779013.0,Purpose,Temporal,Survey 1,1.0,Survey1
21770161,21779155.0,Guideline Method,PDC Electric Fishing,Survey 2,2.0,Survey2
21770161,21779013.0,Survey Strategy,Quanitative,Survey 1,1.0,Survey1
21770161,21779013.0,Guideline Method,PDC Electric Fishing,Survey 1,1.0,Survey1
21770161,21779013.0,Repeat frequency,1 year,Survey 1,1.0,Survey1
21770161,21779296.0,Survey Strategy,Semi-quantitative,Survey 3,3.0,Survey3
21770161,21779013.0,Program,Core Fisheries Monitoring Program,Survey 1,1.0,Survey1
21770161,21779155.0,Repeat frequency,1 year,Survey 2,2.0,Survey2
21770161,21779296.0,Guideline Method,Electric Fishing,Survey 3,3.0,Survey3
21770161,21779296.0,Program,Water Framework Directive Programme,Survey 3,3.0,Survey3
21770161,21779296.0,Purpose,Salmonid,Survey 3,3.0,Survey3
21770161,21779296.0,Repeat frequency,6 years,Survey 3,3.0,Survey3
21770161,21779155.0,Survey Strategy,Semi-quantitative,Survey 2,2.0,Survey2
21770161,21779155.0,Program,Core Fisheries Monitoring Program,Survey 2,2.0,Survey2
21770161,21779155.0,Purpose,Temporal,Survey 2,2.0,Survey2
