areaname,areatype,zipresolve,cityresolve,stateresolve,latitude,longitude
"Albany","city",12201,"Albany","NY",42.614852,-73.970812
"Atlanta","city",30301,"Atlanta","GA",33.844371,-84.47405
"BaltimoreWashington","city",21201,"Baltimore","MD",39.295306,-76.62118
"Boise","city",83701,"Boise","ID",43.603768,-116.272921
"Boston","city",2101,"Boston","MA",42.370567,-71.026964
"BuffaloRochester","city",14201,"Buffalo","NY",42.896407,-78.88515
"California","region",93650,"Fresno","CA",36.841454,-119.79832
"Charlotte","city",28201,"Charlotte","NC",35.26002,-80.804151
"Chicago","city",60601,"Chicago","IL",41.886456,-87.62325
"CincinnatiDayton","city",45201,"Cincinnati","OH",39.166759,-84.53822
"Columbus","city",43085,"Columbus","OH",40.097796,-83.02076
"DallasFtWorth","city",75201,"Dallas","TX",32.787629,-96.79941
"Denver","city",80201,"Denver","CO",39.726303,-104.856808
"Detroit","city",48201,"Detroit","MI",42.343787,-83.05879
"GrandRapids","city",49501,"Grand Rapids","MI",42.984226,-85.629101
"GreatLakes","region",60088,"Madison","IL",42.312372,-87.85284
"HarrisburgScranton","city",17101,"Harrisburg","PA",40.261839,-79.88279
"HartfordSpringfield","city",6101,"Hartford","CT",41.78007,-72.677099
"Houston","city",77000,"Houston","TX",29.711257,-95.304936
"Indianapolis","city",46201,"Indianapolis","IN",39.775125,-86.10839
"Jacksonville","city",32099,"Jacksonville","FL",30.337538,-81.768622
"LasVegas","city",89101,"Las Vegas","NV",36.17022,-115.12785
"LosAngeles","city",90011,"Los Angeles","CA",33.989264,-118.250056
"Louisville","city",40201,"Louisville","KY",38.188962,-85.676819
"MiamiFtLauderdale","city",33101,"Miami","FL",25.779076,-80.19782
"Midsouth","region",65101,"Jefferson City","MO",38.535897,-92.13905
"Nashville","city",37201,"Nashville","TN",36.164556,-86.77738
"NewOrleansMobile","city",70112,"New Orleans","LA",29.956804,-90.07757
"NewYork","city",10001,"New York","NY",40.750742,-73.99653
"Northeast","region",20001,"Washington","DC",38.907711,-77.01732
"NorthernNewEngland","region",4330,"Augusta","ME",44.344406,-69.76345
"Orlando","city",32801,"Orlando","FL",28.541879,-81.37446
"Philadelphia","city",19019,"Philadelphia","PA",40.001810999999996,-75.11787
"PhoenixTucson","city",85001,"Phoenix","AZ",33.703967,-112.351835
"Pittsburgh","city",15201,"Pittsburgh","PA",40.471468,-79.95726
"Plains","region",59601,"Helena","MT",46.588803,-112.04193
"Portland","city",97201,"Portland","OR",45.49894,-122.68781
"RaleighGreensboro","city",27601,"Raleigh","NC",35.774451,-78.63274
"RichmondNorfolk","city",23218,"Richmond","VA",37.524246,-77.493157
"Roanoke","city",24001,"Roanoke","VA",37.274175,-79.95786
"Sacramento","city",94203,"Sacramento","CA",38.380456,-121.555406
"SanDiego","city",92101,"San Diego","CA",32.719601,-117.16246
"SanFrancisco","city",94101,"San Francisco","CA",37.784827,-122.727802
"Seattle","city",98060,"Seattle","WA",47.432251,-121.803388
"SouthCarolina","region",29201,"Columbia","SC",33.987454,-81.024864
"SouthCentral","region",72201,"Little Rock","AR",34.745692,-92.27987
"Southeast","region",36101,"Montgomery","AL",32.356988,-86.257817
"Spokane","city",99201,"Spokane","WA",47.663945,-117.43185
"StLouis","city",63105,"Saint Louis","MO",38.645484,-90.32888
"Syracuse","city",13201,"Syracuse","NY",43.02143,-76.197701
"Tampa","city",33601,"Tampa","FL",27.996097,-82.582035
"TotalUS","region",73101,"Oklahoma City","OK",35.491608,-97.562817
"West","region",84101,"Salt Lake City","UT",40.754746,-111.89875
"WestTexNewMexico","region",87101,"Albuquerque","NM",35.199592,-106.644831
