versao,valor_versao,cod_modelo
"YARIS SEDAN XS AT CONNECT 21/21",94455.9,4
"YARIS SEDAN XLS AT CONNECT 21/21",100748.9,4
"YARIS SEDAN XL PLUS CONNECT 21/21",89076.4,4
"YARIS SEDAN XL AT LIVE 21/21",83290.9,4
"YARIS SD XS AT CONNECT 21/22",94455.9,4
"YARIS SD XLS AT CONNECT 21/22",100748.9,4
"YARIS SD XL PLUS CONNECT 21/22",89076.4,4
"YARIS SD XL AT LIVE PPO 21/21",71039.849999999991,4
"YARIS SD XL AT LIVE 21/22",83290.9,4
"YARIS HB X-WAY CONNECT 21/22",95602.849999999991,3
"YARIS HB XS AT CONNECT 21/22",91847.349999999991,3
"YARIS HB XLS AT CONNECT 21/22",97226.849999999991,3
"YARIS HB XL PLUS CON AT 21/22",85351.349999999991,3
"YARIS HB XL AT LIVE 21/22",79971.849999999991,3
"YARIS HB S AT 21/21",91644.349999999991,3
"YARIS HATCH X-WAY CONNECT 21/21",95602.849999999991,3
"YARIS HATCH XS AT CONNECT 21/21",91847.349999999991,3
"YARIS HATCH XLS AT CONNECT 21/21",97226.849999999991,3
"YARIS HATCH XL PLUS CON AT 21/21",85351.349999999991,3
"YARIS HATCH XL MT LIVE 21/21",69517.349999999991,3
"YARIS HATCH XL AT LIVE 21/21",79971.849999999991,3
"UX250 LUX 21/21",301990,
"SW4 FFV 4X2 SRV AT 7S 21/21",244146.15,7
"SW4 FFV 4X2 SR AT 5S 21/21",223549.65,7
"SW4 DSL 4X4 SRX AT 7S 21/21",350078.39999999997,7
"SW4 DSL 4X4 SRX AT 5S 21/21",238971.15,7
"LEXUS NX300H LUXURY 21/21",343990,
"HILUX CS DSL 4X4 CHASSI 21/21",183960.9,6
"HILUX CS DSL 4X4 21/21",190688.4,6
"HILUX CD FFV 4X4 SRV AT 21/21",199175.4,6
"HILUX CD FFV 4X2 SRV AT 21/21",184995.9,6
"HILUX CD FFV 4X2 SR AT 21/21",172575.9,6
"HILUX CD DSL POWER PACK 21/21",204557.4,6
"HILUX CD DSL 4X4 SRX AT 21/21",269658.89999999997,6
"HILUX CD DSL 4X4 SRV AT 21/21",241610.4,6
"HILUX CD DSL 4X4 SR AT 21/21",224946.9,6
"ETIOS SEDAN X PLUS 15 MT 21/21",70660,2
"ETIOS SEDAN X PLUS 15 AT 21/21",76660,2
"ETIOS SEDAN X 15L MT 21/21",64360,2
"ETIOS SEDAN X 15L AT 21/21",70110,2
"ETIOS HATCH X PLUS 15 MT 21/21",67290,1
"ETIOS HATCH X PLUS 15 AT 21/21",73190,1
"ETIOS HATCH X 13L MT 21/21",58890,1
"ETIOS HATCH X 13L AT 21/21",63990,1
"COROLLA XEI 2.0L FFV CVT 21/22",134726,5
"COROLLA XEI 2.0L FFV CVT 21/21",132061,5
"COROLLA GR-S 2.0L FFV CVT 21/22",158096,5
"COROLLA GLI 2.0L FFV CVT 21/22",126115.99999999999,5
"COROLLA GLI 2.0L FFV CVT 21/21",126115.99999999999,5
"COROLLA CROSS XRX 1.8 HV 21/22",186795.99999999997,9
"COROLLA CROSS XRV 1.8 HV 21/22",179620.99999999997,9
"COROLLA CROSS XRE 2.0 21/22",156046,9
"COROLLA CROSS XR 2.0 21/22",145796,9
"COROLLA CROSS SPECIAL ED. 1.8 HV 21/22",193970.99999999997,9
"COROLLA ALTIS PREM 1.8L HV FFV CVT 21/21",165168.5,5
"COROLLA ALTIS 2.0L FFV CVT 21/22",157173.5,5
"COROLLA ALTIS 2.0L FFV CVT 21/21",157173.5,5
"COROLLA ALTIS 1.8L PREM HV FFV CVT 21/22",165168.5,5
"COROLLA ALTIS 1.8L HV FFV CVT 21/22",157173.5,5
"COROLLA ALTIS 1.8L HV FFV CVT 21/21",157173.5,5
