cod_pedido,versao,ISC,valor_venda,margem,valor_acessorios,emplacamento,seguro,captacao,data,cod_cliente,cod_vendedor,fext
11222,SW4 FFV 4X2 SR AT 5S 21/21,9.91,329264,7635,6867,1,0,0,2018-11-07 00:00:00.000,18,59,1
13893,COROLLA ALTIS 2.0L FFV CVT 21/22,9.68,120834,5104,6796,0,0,0,2020-08-16 00:00:00.000,17,47,0
14437,COROLLA GLI 2.0L FFV CVT 21/21,9.49,117399,28649,508,1,1,1,2020-12-28 00:00:00.000,3,8,1
14803,YARIS SD XLS AT CONNECT 21/22,9.0,71227,13581,7045,0,1,1,2021-03-28 00:00:00.000,9,30,0
13925,SW4 DSL 4X4 SRX AT 7S 21/21,9.72,301887,10773,3776,0,1,1,2020-08-24 00:00:00.000,19,42,0
11080,COROLLA ALTIS 1.8L PREM HV FFV CVT 21/22,9.9,131324,22865,5954,0,1,1,2018-09-30 00:00:00.000,6,39,0
12187,HILUX CD FFV 4X4 SRV AT 21/21,9.09,296587,13697,7473,1,0,0,2019-07-01 00:00:00.000,10,31,1
10574,SW4 DSL 4X4 SRX AT 5S 21/21,9.16,282860,28694,2572,0,0,0,2018-05-30 00:00:00.000,6,57,1
10255,SW4 FFV 4X2 SRV AT 7S 21/21,9.25,296647,25026,5310,0,1,1,2018-03-06 00:00:00.000,10,28,0
13172,YARIS HB XS AT CONNECT 21/22,9.75,98653,16113,3991,0,1,0,2020-02-14 00:00:00.000,2,14,1
14078,UX250 LUX 21/21,9.51,338784,26399,5981,1,0,1,2020-10-05 00:00:00.000,4,37,0
12330,YARIS SD XL PLUS CONNECT 21/22,9.02,87134,2782,3221,0,1,1,2019-08-02 00:00:00.000,13,24,0
14983,ETIOS HATCH X 13L MT 21/21,9.2,64822,5111,7776,1,1,1,2021-05-14 00:00:00.000,4,58,1
12106,YARIS SEDAN XL PLUS CONNECT 21/21,9.43,89413,9807,7115,0,0,1,2019-06-10 00:00:00.000,10,54,1
12577,ETIOS SEDAN X PLUS 15 MT 21/21,9.99,72219,28244,6024,0,0,0,2019-09-25 00:00:00.000,8,47,1
13643,YARIS HATCH XL PLUS CON AT 21/21,9.63,92447,8752,5491,1,0,0,2020-06-11 00:00:00.000,8,57,1
12156,COROLLA ALTIS 1.8L HV FFV CVT 21/21,9.68,114751,5652,7033,0,0,0,2019-06-23 00:00:00.000,13,32,1
13849,YARIS SD XL AT LIVE PPO 21/21,9.29,87728,10441,3674,0,0,1,2020-08-05 00:00:00.000,19,42,0
