identificador,latitud,longitud,tipo
"Plant001","67.95458019","30.95143418","planta"
"Plant002","18.38170216","-23.86330645","planta"
"Plant003","61.77910668","-29.66737339","planta"
"Plant004","78.66031164","81.44016527","planta"
"Plant005","53.05397278","-95.24078678","planta"
"DC001","-11.67114585","-83.22489278","DC"
"DC002","-81.95947549","72.9162695","DC"
"DC003","-14.22731698","64.43633751","DC"
"DC004","43.58105746","89.86685836","DC"
"DC005","84.11115264","-34.58885675","DC"
"Customer001","-69.7415041","5.7217254","cliente"
"Customer002","-17.74631895","7.71807615","cliente"
"Customer003","67.41158818","79.0660602","cliente"
"Customer004","-71.91233417","-25.39319369","cliente"
"Customer005","68.44101913","-62.49004925","cliente"
"Customer006","-58.8784902","-22.07052049","cliente"
"Customer007","27.39095208","-49.38065519","cliente"
