dim_st_marker_id,st_marker_id,load_id,loaded_on
"14584625-D27F-4C0D-81E6-2831034B2825","13332E","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"F5837E32-4E47-4B2C-923F-5D700B827064","8655W","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"495652CF-1104-44AA-9E64-5C3ECB74EED5","C7210","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"E8AC516D-A64B-42F9-B1AF-88106E70D972","6633S","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"B58C4820-155A-4378-98D5-54D795D0578C","C3078","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"2FA926DA-F840-40DA-8B24-5BCC3F45E94E","8319W","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"D7FADCFB-B3D0-4BA0-A2D4-1B5F2F5FD1D1","4468E","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"A7B77E2D-C40E-45C4-B131-59333108C481","2589S","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"5D178ED1-A295-4755-BA17-BB15F1825B06","5829W","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"4CC43CF4-5F11-4514-A825-C9B0A9231981","12412N","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"2D4133F4-7CF8-42EA-B2B2-2DA15ADF91BA","9945S","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"A0117DD2-2472-4BF1-8B57-0102690717D2","C5784","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"52843160-1E8D-4BDE-B452-E17AA6E7CE7F","C5772","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"059A3F63-3774-4C76-81C7-B2C174EC6102","C1172","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"F000F96C-1283-4885-A773-CBE5F2748E47","3446N","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"E0C69610-5FD2-462D-88F8-BBF51E54FB2E","C6038","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"31F7E51C-873E-42D1-A6B1-5A6237E150E8","11885W","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"3C15FA1F-D1B9-4350-9A40-6D07A1C4C0F5","5476E","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"58616684-6994-4618-8BC1-04D0602E1E48","3660N","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"21134169-3C08-4063-9401-E6FAD163F294","5238E","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"423D2A4D-77A1-419E-8C6C-50BC25FA7F7C","C6900","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"A257DB1D-2CC4-4C04-9D44-0AC74E4E7B97","4688Ea","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"01BD86F6-8AFA-48F5-8990-D4EFAE4EF710","1847S","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
"9C4A9038-822F-49E2-BE59-0F8EB1E38594","C5644","0e5694e0-95d2-43a5-a9e4-20ac3c367f76",2020-06-11 03:37:19.843
