Row ID,Product ID,Category,Sub-Category,Product Name
9,"OFF-BI-10003910","Office Supplies","Binders","DXL Angle-View Binders with Locking Rings by Samsill"
14,"OFF-BI-10003656","Office Supplies","Binders","Fellowes PB200 Plastic Comb Binding Machine"
16,"OFF-BI-10000756","Office Supplies","Binders","Storex DuraTech Recycled Plastic Frosted Binders"
21,"OFF-BI-10002215","Office Supplies","Binders","Wilson Jones Hanging View Binder, White, 1"""
26,"OFF-BI-10001634","Office Supplies","Binders","Wilson Jones Active Use Binders"
29,"OFF-BI-10000474","Office Supplies","Binders","Avery Recycled Flexi-View Covers for Binding Systems"
33,"OFF-BI-10001525","Office Supplies","Binders","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"
46,"OFF-BI-10003291","Office Supplies","Binders","Wilson Jones Leather-Like Binders with DublLock Round Rings"
50,"OFF-BI-10004410","Office Supplies","Binders","C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack"
61,"OFF-BI-10001460","Office Supplies","Binders","Plastic Binding Combs"
64,"OFF-BI-10001078","Office Supplies","Binders","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""
71,"OFF-BI-10004654","Office Supplies","Binders","Avery Binding System Hidden Tab Executive Style Index Sets"
76,"OFF-BI-10004182","Office Supplies","Binders","Economy Binders"
81,"OFF-BI-10002309","Office Supplies","Binders","Avery Heavy-Duty EZD  Binder With Locking Rings"
95,"OFF-BI-10002852","Office Supplies","Binders","Ibico Standard Transparent Covers"
96,"OFF-BI-10004738","Office Supplies","Binders","Flexible Leather- Look Classic Collection Ring Binder"
98,"OFF-BI-10001721","Office Supplies","Binders","Trimflex Flexible Post Binders"
102,"OFF-BI-10002609","Office Supplies","Binders","Avery Hidden Tab Dividers for Binding Systems"
106,"OFF-BI-10002794","Office Supplies","Binders","Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets"
113,"OFF-BI-10003981","Office Supplies","Binders","Avery Durable Plastic 1"" Binders"
119,"OFF-BI-10003650","Office Supplies","Binders","GBC DocuBind 300 Electric Binding Machine"
121,"OFF-BI-10003910","Office Supplies","Binders","DXL Angle-View Binders with Locking Rings by Samsill"
127,"OFF-BI-10003274","Office Supplies","Binders","Avery Durable Slant Ring Binders, No Labels"
138,"OFF-BI-10004781","Office Supplies","Binders","GBC Wire Binding Strips"
151,"OFF-BI-10002735","Office Supplies","Binders","GBC Prestige Therm-A-Bind Covers"
164,"OFF-BI-10004002","Office Supplies","Binders","Wilson Jones International Size A4 Ring Binders"
186,"OFF-BI-10001890","Office Supplies","Binders","Avery Poly Binder Pockets"
199,"OFF-BI-10000343","Office Supplies","Binders","Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue"
209,"OFF-BI-10003274","Office Supplies","Binders","Avery Durable Slant Ring Binders, No Labels"
222,"OFF-BI-10002852","Office Supplies","Binders","Ibico Standard Transparent Covers"
231,"OFF-BI-10001679","Office Supplies","Binders","GBC Instant Index System for Binding Systems"
234,"OFF-BI-10001679","Office Supplies","Binders","GBC Instant Index System for Binding Systems"
261,"OFF-BI-10003460","Office Supplies","Binders","Acco 3-Hole Punch"
274,"OFF-BI-10002557","Office Supplies","Binders","Presstex Flexible Ring Binders"
281,"OFF-BI-10004967","Office Supplies","Binders","Round Ring Binders"
287,"OFF-BI-10000778","Office Supplies","Binders","GBC VeloBinder Electric Binding Machine"
297,"OFF-BI-10004593","Office Supplies","Binders","Ibico Laser Imprintable Binding System Covers"
303,"OFF-BI-10002706","Office Supplies","Binders","Avery Premier Heavy-Duty Binder with Round Locking Rings"
307,"OFF-BI-10001072","Office Supplies","Binders","GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack"
324,"OFF-BI-10004593","Office Supplies","Binders","Ibico Laser Imprintable Binding System Covers"
331,"OFF-BI-10001524","Office Supplies","Binders","GBC Premium Transparent Covers with Diagonal Lined Pattern"
333,"OFF-BI-10001153","Office Supplies","Binders","Ibico Recycled Grain-Textured Covers"
334,"OFF-BI-10001982","Office Supplies","Binders","Wilson Jones Custom Binder Spines & Labels"
335,"OFF-BI-10001922","Office Supplies","Binders","Storex Dura Pro Binders"
337,"OFF-BI-10004140","Office Supplies","Binders","Avery Non-Stick Binders"
338,"OFF-BI-10003314","Office Supplies","Binders","Tuff Stuff Recycled Round Ring Binders"
342,"OFF-BI-10003656","Office Supplies","Binders","Fellowes PB200 Plastic Comb Binding Machine"
352,"OFF-BI-10002160","Office Supplies","Binders","Acco Hanging Data Binders"
354,"OFF-BI-10004995","Office Supplies","Binders","GBC DocuBind P400 Electric Binding System"
367,"OFF-BI-10002412","Office Supplies","Binders","Wilson Jones “Snap” Scratch Pad Binder Tool for Ring Binders"
373,"OFF-BI-10001982","Office Supplies","Binders","Wilson Jones Custom Binder Spines & Labels"
381,"OFF-BI-10000309","Office Supplies","Binders","GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black"
383,"OFF-BI-10002225","Office Supplies","Binders","Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8"""
390,"OFF-BI-10000050","Office Supplies","Binders","Angle-D Binders with Locking Rings, Label Holders"
394,"OFF-BI-10003982","Office Supplies","Binders","Wilson Jones Century Plastic Molded Ring Binders"
395,"OFF-BI-10004492","Office Supplies","Binders","Tuf-Vin Binders"
427,"OFF-BI-10001543","Office Supplies","Binders","GBC VeloBinder Manual Binding System"
430,"OFF-BI-10004584","Office Supplies","Binders","GBC ProClick 150 Presentation Binding System"
435,"OFF-BI-10000773","Office Supplies","Binders","Insertable Tab Post Binder Dividers"
462,"OFF-BI-10001098","Office Supplies","Binders","Acco D-Ring Binder w/DublLock"
465,"OFF-BI-10000315","Office Supplies","Binders","Poly Designer Cover & Back"
470,"OFF-BI-10002194","Office Supplies","Binders","Cardinal Hold-It CD Pocket"
497,"OFF-BI-10002498","Office Supplies","Binders","Clear Mylar Reinforcing Strips"
501,"OFF-BI-10001670","Office Supplies","Binders","Vinyl Sectional Post Binders"
502,"OFF-BI-10001658","Office Supplies","Binders","GBC Standard Therm-A-Bind Covers"
504,"OFF-BI-10000831","Office Supplies","Binders","Storex Flexible Poly Binders with Double Pockets"
506,"OFF-BI-10003274","Office Supplies","Binders","Avery Durable Slant Ring Binders, No Labels"
510,"OFF-BI-10003527","Office Supplies","Binders","Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind"
522,"OFF-BI-10000285","Office Supplies","Binders","XtraLife ClearVue Slant-D Ring Binders by Cardinal"
535,"OFF-BI-10002557","Office Supplies","Binders","Presstex Flexible Ring Binders"
537,"OFF-BI-10002429","Office Supplies","Binders","Premier Elliptical Ring Binder, Black"
538,"OFF-BI-10004528","Office Supplies","Binders","Cardinal Poly Pocket Divider Pockets for Ring Binders"
547,"OFF-BI-10000404","Office Supplies","Binders","Avery Printable Repositionable Plastic Tabs"
550,"OFF-BI-10004738","Office Supplies","Binders","Flexible Leather- Look Classic Collection Ring Binder"
561,"OFF-BI-10000069","Office Supplies","Binders","GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb"
568,"OFF-BI-10001107","Office Supplies","Binders","GBC White Gloss Covers, Plain Front"
573,"OFF-BI-10001922","Office Supplies","Binders","Storex Dura Pro Binders"
585,"OFF-BI-10002764","Office Supplies","Binders","Recycled Pressboard Report Cover with Reinforced Top Hinge"
591,"OFF-BI-10002498","Office Supplies","Binders","Clear Mylar Reinforcing Strips"
605,"OFF-BI-10000773","Office Supplies","Binders","Insertable Tab Post Binder Dividers"
606,"OFF-BI-10001543","Office Supplies","Binders","GBC VeloBinder Manual Binding System"
608,"OFF-BI-10000848","Office Supplies","Binders","Angle-D Ring Binders"
616,"OFF-BI-10002949","Office Supplies","Binders","Prestige Round Ring Binders"
619,"OFF-BI-10002824","Office Supplies","Binders","Recycled Easel Ring Binders"
622,"OFF-BI-10002103","Office Supplies","Binders","Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl"
629,"OFF-BI-10000605","Office Supplies","Binders","Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red"
637,"OFF-BI-10001989","Office Supplies","Binders","Premium Transparent Presentation Covers by GBC"
640,"OFF-BI-10004728","Office Supplies","Binders","Wilson Jones Turn Tabs Binder Tool for Ring Binders"
656,"OFF-BI-10002827","Office Supplies","Binders","Avery Durable Poly Binders"
659,"OFF-BI-10004654","Office Supplies","Binders","Avery Binding System Hidden Tab Executive Style Index Sets"
663,"OFF-BI-10003981","Office Supplies","Binders","Avery Durable Plastic 1"" Binders"
680,"OFF-BI-10004632","Office Supplies","Binders","Ibico Hi-Tech Manual Binding System"
681,"OFF-BI-10003305","Office Supplies","Binders","Avery Hanging File Binders"
700,"OFF-BI-10001575","Office Supplies","Binders","GBC Linen Binding Covers"
701,"OFF-BI-10001982","Office Supplies","Binders","Wilson Jones Custom Binder Spines & Labels"
710,"OFF-BI-10000050","Office Supplies","Binders","Angle-D Binders with Locking Rings, Label Holders"
716,"OFF-BI-10003355","Office Supplies","Binders","Cardinal Holdit Business Card Pockets"
719,"OFF-BI-10001658","Office Supplies","Binders","GBC Standard Therm-A-Bind Covers"
735,"OFF-BI-10003982","Office Supplies","Binders","Wilson Jones Century Plastic Molded Ring Binders"
736,"OFF-BI-10003291","Office Supplies","Binders","Wilson Jones Leather-Like Binders with DublLock Round Rings"
738,"OFF-BI-10000138","Office Supplies","Binders","Acco Translucent Poly Ring Binders"
742,"OFF-BI-10004094","Office Supplies","Binders","GBC Standard Plastic Binding Systems Combs"
750,"OFF-BI-10003638","Office Supplies","Binders","GBC Durable Plastic Covers"
753,"OFF-BI-10000546","Office Supplies","Binders","Avery Durable Binders"
759,"OFF-BI-10000848","Office Supplies","Binders","Angle-D Ring Binders"
767,"OFF-BI-10004187","Office Supplies","Binders","3-ring staple pack"
771,"OFF-BI-10001036","Office Supplies","Binders","Cardinal EasyOpen D-Ring Binders"
773,"OFF-BI-10000301","Office Supplies","Binders","GBC Instant Report Kit"
774,"OFF-BI-10003910","Office Supplies","Binders","DXL Angle-View Binders with Locking Rings by Samsill"
782,"OFF-BI-10001098","Office Supplies","Binders","Acco D-Ring Binder w/DublLock"
787,"OFF-BI-10000014","Office Supplies","Binders","Heavy-Duty E-Z-D Binders"
789,"OFF-BI-10001543","Office Supplies","Binders","GBC VeloBinder Manual Binding System"
791,"OFF-BI-10001132","Office Supplies","Binders","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11"""
796,"OFF-BI-10000546","Office Supplies","Binders","Avery Durable Binders"
819,"OFF-BI-10003094","Office Supplies","Binders","Self-Adhesive Ring Binder Labels"
821,"OFF-BI-10004230","Office Supplies","Binders","GBC Recycled Grain Textured Covers"
837,"OFF-BI-10001071","Office Supplies","Binders","GBC ProClick Punch Binding System"
843,"OFF-BI-10001294","Office Supplies","Binders","Fellowes Binding Cases"
844,"OFF-BI-10001636","Office Supplies","Binders","Ibico Plastic and Wire Spiral Binding Combs"
869,"OFF-BI-10003719","Office Supplies","Binders","Large Capacity Hanging Post Binders"
870,"OFF-BI-10000545","Office Supplies","Binders","GBC Ibimaster 500 Manual ProClick Binding System"
874,"OFF-BI-10000315","Office Supplies","Binders","Poly Designer Cover & Back"
879,"OFF-BI-10003712","Office Supplies","Binders","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue"
880,"OFF-BI-10003984","Office Supplies","Binders","Lock-Up Easel 'Spel-Binder'"
886,"OFF-BI-10002071","Office Supplies","Binders","Fellowes Black Plastic Comb Bindings"
888,"OFF-BI-10001078","Office Supplies","Binders","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11"""
891,"OFF-BI-10001098","Office Supplies","Binders","Acco D-Ring Binder w/DublLock"
896,"OFF-BI-10003364","Office Supplies","Binders","Binding Machine Supplies"
900,"OFF-BI-10004716","Office Supplies","Binders","Wilson Jones Hanging Recycled Pressboard Data Binders"
902,"OFF-BI-10001510","Office Supplies","Binders","Deluxe Heavy-Duty Vinyl Round Ring Binder"
909,"OFF-BI-10003684","Office Supplies","Binders","Wilson Jones Legal Size Ring Binders"
918,"OFF-BI-10002706","Office Supplies","Binders","Avery Premier Heavy-Duty Binder with Round Locking Rings"
925,"OFF-BI-10003650","Office Supplies","Binders","GBC DocuBind 300 Electric Binding Machine"
935,"OFF-BI-10004826","Office Supplies","Binders","JM Magazine Binder"
942,"OFF-BI-10001759","Office Supplies","Binders","Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue"
946,"OFF-BI-10002931","Office Supplies","Binders","Avery Trapezoid Extra Heavy Duty 4"" Binders"
958,"OFF-BI-10004465","Office Supplies","Binders","Avery Durable Slant Ring Binders"
962,"OFF-BI-10000145","Office Supplies","Binders","Zipper Ring Binder Pockets"
973,"OFF-BI-10001575","Office Supplies","Binders","GBC Linen Binding Covers"
976,"OFF-BI-10004492","Office Supplies","Binders","Tuf-Vin Binders"
977,"OFF-BI-10002012","Office Supplies","Binders","Wilson Jones Easy Flow II Sheet Lifters"
979,"OFF-BI-10000848","Office Supplies","Binders","Angle-D Ring Binders"
988,"OFF-BI-10004022","Office Supplies","Binders","Acco Suede Grain Vinyl Round Ring Binder"
992,"OFF-BI-10001036","Office Supplies","Binders","Cardinal EasyOpen D-Ring Binders"
995,"OFF-BI-10003925","Office Supplies","Binders","Fellowes PB300 Plastic Comb Binding Machine"
1008,"OFF-BI-10002049","Office Supplies","Binders","UniKeep View Case Binders"
1025,"OFF-BI-10000320","Office Supplies","Binders","GBC Plastic Binding Combs"
1035,"OFF-BI-10003460","Office Supplies","Binders","Acco 3-Hole Punch"
1036,"OFF-BI-10000474","Office Supplies","Binders","Avery Recycled Flexi-View Covers for Binding Systems"
1038,"OFF-BI-10003707","Office Supplies","Binders","Aluminum Screw Posts"
1056,"OFF-BI-10002735","Office Supplies","Binders","GBC Prestige Therm-A-Bind Covers"
1057,"OFF-BI-10003529","Office Supplies","Binders","Avery Round Ring Poly Binders"
