COD_FILIAL,DT_E_S,COD_ITEM,COR,TAMANHO,LOCAL_EST,QTD_EST,VL_CUSTO_EST,CENTRO_CUSTO,ESTAMPA,CHAVE_ESTOQUE
"2",2018-01-31 00:00:00.000,"3","ÚNICA","ÚNICA","PRINCIPAL",328,364.08,"2","ÚNICA",1
"2",2018-01-31 00:00:00.000,"16","ÚNICA","ÚNICA","PRINCIPAL",250,1880,"3","ÚNICA",6
"2",2018-01-31 00:00:00.000,"20","ÚNICA","ÚNICA","PRINCIPAL",411,3863.4,"8","ÚNICA",8
"2",2018-01-31 00:00:00.000,"25","ÚNICA","ÚNICA","PRINCIPAL",207,2639.25,"4","ÚNICA",9
"2",2018-01-31 00:00:00.000,"21","ÚNICA","ÚNICA","PRINCIPAL",400,3696,"7","ÚNICA",15
"2",2018-01-31 00:00:00.000,"23","ÚNICA","ÚNICA","PRINCIPAL",410,2829,"2","ÚNICA",17
"2",2018-01-31 00:00:00.000,"24","ÚNICA","ÚNICA","PRINCIPAL",253,2914.56,"6","ÚNICA",18
"2",2018-01-31 00:00:00.000,"10","ÚNICA","ÚNICA","PRINCIPAL",449,1391.9,"8","ÚNICA",21
"2",2018-01-31 00:00:00.000,"17","ÚNICA","ÚNICA","PRINCIPAL",361,3620.83,"1","ÚNICA",24
"2",2019-01-31 00:00:00.000,"3","ÚNICA","ÚNICA","PRINCIPAL",398,728.34,"1","ÚNICA",29
"2",2019-01-31 00:00:00.000,"11","ÚNICA","ÚNICA","PRINCIPAL",429,1557.27,"3","ÚNICA",32
"2",2019-01-31 00:00:00.000,"12","ÚNICA","ÚNICA","PRINCIPAL",435,3549.6,"1","ÚNICA",33
"2",2019-01-31 00:00:00.000,"16","ÚNICA","ÚNICA","PRINCIPAL",269,2238.08,"2","ÚNICA",34
"2",2019-01-31 00:00:00.000,"18","ÚNICA","ÚNICA","PRINCIPAL",263,1704.24,"3","ÚNICA",35
"2",2019-01-31 00:00:00.000,"20","ÚNICA","ÚNICA","PRINCIPAL",396,5464.8,"7","ÚNICA",36
"2",2019-01-31 00:00:00.000,"2","ÚNICA","ÚNICA","PRINCIPAL",453,597.96,"3","ÚNICA",39
"2",2019-01-31 00:00:00.000,"22","ÚNICA","ÚNICA","PRINCIPAL",406,4466,"1","ÚNICA",44
"2",2019-01-31 00:00:00.000,"24","ÚNICA","ÚNICA","PRINCIPAL",234,3481.92,"6","ÚNICA",46
"2",2019-01-31 00:00:00.000,"15","ÚNICA","ÚNICA","PRINCIPAL",454,4426.5,"8","ÚNICA",51
"2",2019-01-31 00:00:00.000,"19","ÚNICA","ÚNICA","PRINCIPAL",257,2002.03,"4","ÚNICA",53
"2",2019-01-31 00:00:00.000,"26","ÚNICA","ÚNICA","PRINCIPAL",394,4200.04,"2","ÚNICA",54
"2",2020-01-31 00:00:00.000,"16","ÚNICA","ÚNICA","PRINCIPAL",155,942.4,"2","ÚNICA",62
"2",2020-01-31 00:00:00.000,"25","ÚNICA","ÚNICA","PRINCIPAL",192,1344,"3","ÚNICA",65
"2",2020-01-31 00:00:00.000,"1","ÚNICA","ÚNICA","PRINCIPAL",221,44.2,"1","ÚNICA",66
"2",2020-01-31 00:00:00.000,"8","ÚNICA","ÚNICA","PRINCIPAL",187,329.12,"2","ÚNICA",69
"2",2020-01-31 00:00:00.000,"14","ÚNICA","ÚNICA","PRINCIPAL",129,559.86,"5","ÚNICA",70
"2",2020-01-31 00:00:00.000,"24","ÚNICA","ÚNICA","PRINCIPAL",171,1313.28,"6","ÚNICA",74
"2",2020-01-31 00:00:00.000,"6","ÚNICA","ÚNICA","PRINCIPAL",153,211.14,"2","ÚNICA",76
"2",2020-01-31 00:00:00.000,"15","ÚNICA","ÚNICA","PRINCIPAL",176,765.6,"2","ÚNICA",79
"2",2020-01-31 00:00:00.000,"17","ÚNICA","ÚNICA","PRINCIPAL",248,632.4,"5","ÚNICA",80
"2",2020-01-31 00:00:00.000,"19","ÚNICA","ÚNICA","PRINCIPAL",197,711.17,"4","ÚNICA",81
"2",2020-01-31 00:00:00.000,"27","ÚNICA","ÚNICA","PRINCIPAL",221,2386.8,"4","ÚNICA",83
"2",2018-02-28 00:00:00.000,"3","ÚNICA","ÚNICA","PRINCIPAL",210,422.1,"1","ÚNICA",85
"2",2018-02-28 00:00:00.000,"12","ÚNICA","ÚNICA","PRINCIPAL",285,1915.2,"6","ÚNICA",89
"2",2018-02-28 00:00:00.000,"16","ÚNICA","ÚNICA","PRINCIPAL",407,1953.6,"2","ÚNICA",90
"2",2018-02-28 00:00:00.000,"7","ÚNICA","ÚNICA","PRINCIPAL",225,787.5,"4","ÚNICA",96
"2",2018-02-28 00:00:00.000,"8","ÚNICA","ÚNICA","PRINCIPAL",423,2267.28,"3","ÚNICA",97
"2",2018-02-28 00:00:00.000,"4","ÚNICA","ÚNICA","PRINCIPAL",467,877.96,"8","ÚNICA",103
"2",2018-02-28 00:00:00.000,"13","ÚNICA","ÚNICA","PRINCIPAL",295,2339.35,"4","ÚNICA",106
"2",2018-02-28 00:00:00.000,"27","ÚNICA","ÚNICA","PRINCIPAL",296,3596.4,"1","ÚNICA",111
"2",2019-02-28 00:00:00.000,"11","ÚNICA","ÚNICA","PRINCIPAL",486,3367.98,"5","ÚNICA",116
"2",2019-02-28 00:00:00.000,"12","ÚNICA","ÚNICA","PRINCIPAL",345,2401.2,"5","ÚNICA",117
"2",2019-02-28 00:00:00.000,"18","ÚNICA","ÚNICA","PRINCIPAL",447,2816.1,"8","ÚNICA",119
"2",2019-02-28 00:00:00.000,"25","ÚNICA","ÚNICA","PRINCIPAL",361,4061.25,"3","ÚNICA",121
"2",2019-02-28 00:00:00.000,"1","ÚNICA","ÚNICA","PRINCIPAL",304,100.32,"5","ÚNICA",122
"2",2019-02-28 00:00:00.000,"14","ÚNICA","ÚNICA","PRINCIPAL",425,3213,"1","ÚNICA",126
"2",2019-02-28 00:00:00.000,"23","ÚNICA","ÚNICA","PRINCIPAL",404,4831.84,"3","ÚNICA",129
"2",2019-02-28 00:00:00.000,"13","ÚNICA","ÚNICA","PRINCIPAL",438,3928.86,"5","ÚNICA",134
"2",2019-02-28 00:00:00.000,"15","ÚNICA","ÚNICA","PRINCIPAL",212,1399.2,"6","ÚNICA",135
"2",2019-02-28 00:00:00.000,"17","ÚNICA","ÚNICA","PRINCIPAL",310,3320.1,"5","ÚNICA",136
"2",2020-02-29 00:00:00.000,"3","ÚNICA","ÚNICA","PRINCIPAL",102,82.62,"4","ÚNICA",141
"2",2020-02-29 00:00:00.000,"5","ÚNICA","ÚNICA","PRINCIPAL",194,184.3,"6","ÚNICA",142
"2",2020-02-29 00:00:00.000,"8","ÚNICA","ÚNICA","PRINCIPAL",204,408,"6","ÚNICA",153
"2",2020-02-29 00:00:00.000,"21","ÚNICA","ÚNICA","PRINCIPAL",157,1285.83,"1","ÚNICA",155
"2",2020-02-29 00:00:00.000,"24","ÚNICA","ÚNICA","PRINCIPAL",175,1554,"8","ÚNICA",158
"2",2020-02-29 00:00:00.000,"13","ÚNICA","ÚNICA","PRINCIPAL",119,293.93,"4","ÚNICA",162
"2",2020-02-29 00:00:00.000,"17","ÚNICA","ÚNICA","PRINCIPAL",181,1230.8,"8","ÚNICA",164
"2",2020-02-29 00:00:00.000,"26","ÚNICA","ÚNICA","PRINCIPAL",249,2265.9,"5","ÚNICA",166
"2",2020-02-29 00:00:00.000,"27","ÚNICA","ÚNICA","PRINCIPAL",102,963.9,"4","ÚNICA",167
"2",2020-02-29 00:00:00.000,"28","ÚNICA","ÚNICA","PRINCIPAL",176,739.2,"4","ÚNICA",168
"2",2018-03-31 00:00:00.000,"3","ÚNICA","ÚNICA","PRINCIPAL",381,342.9,"4","ÚNICA",169
"2",2018-03-31 00:00:00.000,"5","ÚNICA","ÚNICA","PRINCIPAL",457,1211.05,"1","ÚNICA",170
"2",2018-03-31 00:00:00.000,"12","ÚNICA","ÚNICA","PRINCIPAL",495,3623.4,"8","ÚNICA",173
"2",2018-03-31 00:00:00.000,"16","ÚNICA","ÚNICA","PRINCIPAL",342,3119.04,"5","ÚNICA",174
"2",2018-03-31 00:00:00.000,"2","ÚNICA","ÚNICA","PRINCIPAL",210,147,"1","ÚNICA",179
"2",2018-03-31 00:00:00.000,"14","ÚNICA","ÚNICA","PRINCIPAL",365,2555,"3","ÚNICA",182
"2",2018-03-31 00:00:00.000,"21","ÚNICA","ÚNICA","PRINCIPAL",234,1965.6,"4","ÚNICA",183
"2",2018-03-31 00:00:00.000,"23","ÚNICA","ÚNICA","PRINCIPAL",349,2648.91,"3","ÚNICA",185
"2",2018-03-31 00:00:00.000,"4","ÚNICA","ÚNICA","PRINCIPAL",311,858.36,"8","ÚNICA",187
"2",2018-03-31 00:00:00.000,"6","ÚNICA","ÚNICA","PRINCIPAL",438,1077.48,"4","ÚNICA",188
"2",2018-03-31 00:00:00.000,"10","ÚNICA","ÚNICA","PRINCIPAL",368,1508.8,"3","ÚNICA",189
"2",2018-03-31 00:00:00.000,"17","ÚNICA","ÚNICA","PRINCIPAL",397,3981.91,"5","ÚNICA",192
"2",2018-03-31 00:00:00.000,"19","ÚNICA","ÚNICA","PRINCIPAL",360,2736,"8","ÚNICA",193
