COD_ITEM,DESCR_ITEM,UNID_INV,TIPO_ITEM,COD_NCM,DEP_ITEM,SEC_ITEM,CAT_ITEM,MARCA_ITEM,SUB_CAT_ITEM,COLECAO_ITEM,REFERENCIA,PESOBRUTO,FORNECEDOR_ITEM,EMBALAGEMCOMPRA
"1","PRODUTO TESTE 1","UN","Produto Acabado","0000000","DEP1","SEC1","CAT1","MARCA1","SUBCAT1","COLECAO1","REFERENCIA1",1.09,31,12
"2","PRODUTO TESTE 2","UN","Produto Acabado","0000000","DEP2","SEC1","CAT2","MARCA2","SUBCAT1","COLECAO2","REFERENCIA2",4.32,32,10
"3","PRODUTO TESTE 3","UN","Produto Acabado","0000000","DEP2","SEC2","CAT3","MARCA1","SUBCAT1","COLECAO3","REFERENCIA3",3.82,33,1
"4","PRODUTO TESTE 4","UN","Produto Acabado","0000000","DEP2","SEC1","CAT4","MARCA2","SUBCAT1","COLECAO4","REFERENCIA4",5.71,34,1
"5","PRODUTO TESTE 5","UN","Produto Acabado","0000000","DEP3","SEC3","CAT5","MARCA1","SUBCAT1","COLECAO1","REFERENCIA5",3.65,35,1
"6","PRODUTO TESTE 6","UN","Produto Acabado","0000000","DEP3","SEC1","CAT6","MARCA2","SUBCAT1","COLECAO2","REFERENCIA6",2.43,36,1
"7","PRODUTO TESTE 7","UN","Produto Acabado","0000000","DEP3","SEC2","CAT7","MARCA1","SUBCAT1","COLECAO3","REFERENCIA7",3.61,37,1
"8","PRODUTO TESTE 8","UN","Produto Acabado","0000000","DEP3","SEC1","CAT8","MARCA2","SUBCAT1","COLECAO4","REFERENCIA8",5.38,31,1
"9","PRODUTO TESTE 9","UN","Produto Acabado","0000000","DEP4","SEC2","CAT9","MARCA1","SUBCAT1","COLECAO1","REFERENCIA9",4.16,32,1
"10","PRODUTO TESTE 10","UN","Produto Acabado","0000000","DEP4","SEC3","CAT10","MARCA2","SUBCAT1","COLECAO2","REFERENCIA10",2.68,33,1
"11","PRODUTO TESTE 11","UN","Produto Acabado","0000000","DEP2","SEC1","CAT1","MARCA1","SUBCAT1","COLECAO3","REFERENCIA11",8.23,34,1
"12","PRODUTO TESTE 12","UN","Produto Acabado","0000000","DEP3","SEC2","CAT2","MARCA2","SUBCAT1","COLECAO4","REFERENCIA12",8.87,35,1
"13","PRODUTO TESTE 13","UN","Produto Acabado","0000000","DEP5","SEC3","CAT3","MARCA1","SUBCAT1","COLECAO1","REFERENCIA13",5.93,36,1
"14","PRODUTO TESTE 14","UN","Produto Acabado","0000000","DEP5","SEC1","CAT4","MARCA2","SUBCAT1","COLECAO2","REFERENCIA14",5.96,37,1
"15","PRODUTO TESTE 15","UN","Produto Acabado","0000000","DEP5","SEC2","CAT5","MARCA1","SUBCAT1","COLECAO3","REFERENCIA15",4.03,31,1
"16","PRODUTO TESTE 16","UN","Produto Acabado","0000000","DEP5","SEC3","CAT6","MARCA2","SUBCAT1","COLECAO4","REFERENCIA16",5.27,32,1
"17","PRODUTO TESTE 17","UN","Produto Acabado","0000000","DEP5","SEC1","CAT7","MARCA1","SUBCAT1","COLECAO1","REFERENCIA17",5.02,33,1
"18","PRODUTO TESTE 18","UN","Produto Acabado","0000000","DEP4","SEC2","CAT8","MARCA2","SUBCAT1","COLECAO2","REFERENCIA18",5.84,34,1
"19","PRODUTO TESTE 19","UN","Produto Acabado","0000000","DEP3","SEC3","CAT9","MARCA1","SUBCAT1","COLECAO3","REFERENCIA19",1.73,35,1
"20","PRODUTO TESTE 20","UN","Matéria Prima","0000000","DEP3","SEC1","CAT10","MARCA2","SUBCAT1","COLECAO4","REFERENCIA20",2.81,36,1
"21","PRODUTO TESTE 21","UN","Produto Acabado","0000000","DEP2","SEC2","CAT1","MARCA1","SUBCAT1","COLECAO1","REFERENCIA21",7.67,37,1
"22","PRODUTO TESTE 22","UN","Produto Acabado","0000000","DEP2","SEC3","CAT2","MARCA2","SUBCAT1","COLECAO2","REFERENCIA22",6.44,31,1
"23","PRODUTO TESTE 23","UN","Produto Acabado","0000000","DEP3","SEC1","CAT3","MARCA1","SUBCAT1","COLECAO3","REFERENCIA23",3.67,32,1
"24","PRODUTO TESTE 24","UN","Produto Acabado","0000000","DEP4","SEC2","CAT4","MARCA2","SUBCAT1","COLECAO4","REFERENCIA24",5.94,33,1
"25","PRODUTO TESTE 25","UN","Produto Acabado","0000000","DEP5","SEC3","CAT5","MARCA1","SUBCAT1","COLECAO1","REFERENCIA25",7.37,34,1
"26","PRODUTO TESTE 26","UN","Produto Acabado","0000000","DEP2","SEC1","CAT6","MARCA2","SUBCAT1","COLECAO2","REFERENCIA26",6.15,35,1
"27","PRODUTO TESTE 27","UN","Produto Acabado","0000000","DEP3","SEC2","CAT7","MARCA1","SUBCAT1","COLECAO3","REFERENCIA27",1.2,36,1
"28","PRODUTO TESTE 28","UN","Produto Acabado","0000000","DEP4","SEC1","CAT8","MARCA1","SUBCAT1","COLECAO4","REFERENCIA28",7.42,37,1
