ID,ModelID,Name,IsActive,Type,CrossFilteringBehavior,JoinOnDateBehavior,RelyOnReferentialIntegrity,FromTableID,FromColumnID,FromCardinality,ToTableID,ToColumnID,ToCardinality,State,RelationshipStorageID,RelationshipStorage2ID,ModifiedTime,RefreshedTime,SecurityFilteringBehavior
641,1,"a8b84296-6ffe-4176-91b6-221e7bf32d4b",True,1,1,2,False,570,628,2,638,642,1,1,730,,2017-06-29 19:26:15.770,2017-06-29 19:26:15.770,1
1792,1,"2e2a9f3a-9630-42f0-964c-ef04aa337b60",True,1,2,1,False,273,277,2,570,601,1,1,1793,,2017-06-30 07:50:10.066,2017-06-30 07:50:10.066,1
1795,1,"03558a50-5e48-478b-b6bf-4d9b0d473254",True,1,1,1,False,333,337,2,570,601,1,1,1796,,2017-06-29 19:26:16.453,2017-06-29 19:26:16.453,1
1798,1,"b71289aa-8c6f-40b8-84b9-287232af7d8b",False,1,1,1,False,273,296,2,333,363,1,1,1799,,2017-06-30 07:50:10.066,2017-06-30 07:50:10.066,1
1806,1,"62d0403b-c145-4856-afd6-d401f950213b",True,1,1,1,False,273,323,2,440,467,1,1,1807,,2017-06-30 07:50:10.066,2017-06-30 07:50:10.066,1
1809,1,"6aa28dc7-768a-4ced-a1b7-77cff7a5f398",True,1,1,1,False,333,390,2,440,467,1,1,1810,,2017-06-29 19:26:16.453,2017-06-29 19:26:16.453,1
1812,1,"d8e96592-5377-4d8f-bc6a-795c1468d5a1",True,1,2,1,False,495,499,1,440,467,1,1,1813,1815,2017-06-29 19:26:16.453,2017-06-29 19:26:16.453,1
1817,1,"c0b207fc-0fbf-42f4-957c-0f8aee3764f2",True,1,1,1,False,570,649,2,400,404,1,1,1818,,2017-06-29 19:26:16.456,2017-06-29 19:26:16.456,1
1820,1,"3b5f5b3c-d3b1-4307-b157-013704175429",True,1,2,1,False,570,610,2,794,798,1,1,1821,,2017-06-29 19:46:15.416,2017-06-29 19:26:16.453,1
1977,1,"52efef0b-2df8-45f7-9b7a-0974fad29691",False,1,2,1,False,752,784,1,440,467,1,1,1978,1980,2017-06-30 07:49:33.513,2017-06-30 07:49:33.513,1
2429,1,"15d83a2f-4f0a-4831-8e02-fa96d8d9d525",True,1,2,1,False,333,363,2,752,784,1,1,2434,,2017-06-30 08:37:04.256,2017-06-30 08:37:04.256,1
