statisitcs_id,country_id,gender_id,age_group_id,suicides_no,population,generation_id,date
168,2,2,1,0,433193,5,2007-12-31 00:00:00.000
283,3,2,1,0,28225,5,2007-12-31 00:00:00.000
286,3,1,1,0,28953,5,2007-12-31 00:00:00.000
296,3,2,1,0,27972,5,2008-12-31 00:00:00.000
307,3,2,1,0,27474,5,2009-12-31 00:00:00.000
310,3,1,1,0,28311,5,2009-12-31 00:00:00.000
321,3,2,1,0,26732,5,2010-12-31 00:00:00.000
324,3,1,1,0,27620,5,2010-12-31 00:00:00.000
331,3,2,1,0,26108,5,2011-12-31 00:00:00.000
335,3,1,1,0,27054,5,2011-12-31 00:00:00.000
342,3,2,1,0,25670,5,2012-12-31 00:00:00.000
346,3,1,1,0,26675,5,2012-12-31 00:00:00.000
354,3,2,1,0,25435,5,2013-12-31 00:00:00.000
359,3,1,1,0,26496,5,2013-12-31 00:00:00.000
404,4,2,1,0,70861,5,2007-12-31 00:00:00.000
407,4,1,1,0,74222,5,2007-12-31 00:00:00.000
415,4,2,1,0,72955,5,2008-12-31 00:00:00.000
419,4,1,1,0,76617,5,2008-12-31 00:00:00.000
429,4,2,1,0,75122,5,2009-12-31 00:00:00.000
439,4,2,1,0,77140,5,2010-12-31 00:00:00.000
443,4,1,1,0,81414,5,2010-12-31 00:00:00.000
455,4,1,1,0,81209,5,2011-12-31 00:00:00.000
463,4,2,1,0,81275,5,2012-12-31 00:00:00.000
466,4,1,1,0,85538,5,2012-12-31 00:00:00.000
475,4,2,1,0,82726,5,2013-12-31 00:00:00.000
478,4,1,1,0,86269,5,2013-12-31 00:00:00.000
520,5,2,1,0,18772,5,2007-12-31 00:00:00.000
526,5,1,1,0,19359,5,2007-12-31 00:00:00.000
532,5,2,1,0,18667,5,2008-12-31 00:00:00.000
538,5,1,1,0,19341,5,2008-12-31 00:00:00.000
547,5,2,1,0,18606,5,2009-12-31 00:00:00.000
552,5,1,1,0,19379,5,2009-12-31 00:00:00.000
557,5,2,1,0,18590,5,2010-12-31 00:00:00.000
562,5,1,1,0,19462,5,2010-12-31 00:00:00.000
568,5,2,1,0,18501,5,2011-12-31 00:00:00.000
574,5,1,1,0,19431,5,2011-12-31 00:00:00.000
580,5,2,1,0,18436,5,2012-12-31 00:00:00.000
586,5,1,1,0,19402,5,2012-12-31 00:00:00.000
