gdp_id,country_id," gdp_for_year ($) ",date
1,10,1023196003075,2004-12-31 00:00:00.000
11,11,99210392858,2004-12-31 00:00:00.000
21,1,164657930453,2004-12-31 00:00:00.000
31,12,117074863822,2004-12-31 00:00:00.000
41,13,18529767934,2004-12-31 00:00:00.000
51,14,41574530816,2004-12-31 00:00:00.000
61,15,38203000000,2004-12-31 00:00:00.000
71,16,17422375000,2004-12-31 00:00:00.000
81,17,119162172468,2004-12-31 00:00:00.000
91,18,251373036671,2004-12-31 00:00:00.000
101,19,36591661000,2004-12-31 00:00:00.000
111,20,13724810900,2004-12-31 00:00:00.000
121,21,12059201242,2004-12-31 00:00:00.000
131,2,300904221505,2004-12-31 00:00:00.000
141,22,196768065557,2004-12-31 00:00:00.000
151,23,2115742488205,2004-12-31 00:00:00.000
161,24,2819245095605,2004-12-31 00:00:00.000
171,25,240521260988,2004-12-31 00:00:00.000
181,26,599118593,2004-12-31 00:00:00.000
191,27,23965275996,2004-12-31 00:00:00.000
201,28,785918770,2004-12-31 00:00:00.000
211,29,104066609518,2004-12-31 00:00:00.000
221,30,13722824251,2004-12-31 00:00:00.000
231,31,193870350137,2004-12-31 00:00:00.000
241,3,9055290000,2004-12-31 00:00:00.000
251,32,135445033199,2004-12-31 00:00:00.000
261,33,1798314750435,2004-12-31 00:00:00.000
271,34,4815148854362,2004-12-31 00:00:00.000
281,35,43151647003,2004-12-31 00:00:00.000
291,36,59440108585,2004-12-31 00:00:00.000
301,37,2211535312,2004-12-31 00:00:00.000
311,38,14373269156,2004-12-31 00:00:00.000
321,39,22649930576,2004-12-31 00:00:00.000
331,40,34685281848,2004-12-31 00:00:00.000
341,41,6062780269,2004-12-31 00:00:00.000
351,4,13150166755,2004-12-31 00:00:00.000
361,42,6385695187,2004-12-31 00:00:00.000
371,43,782240601985,2004-12-31 00:00:00.000
381,44,650532654582,2004-12-31 00:00:00.000
391,45,103904537815,2004-12-31 00:00:00.000
401,46,264357494659,2004-12-31 00:00:00.000
411,47,15013381700,2004-12-31 00:00:00.000
421,48,8033877360,2004-12-31 00:00:00.000
431,49,255102252843,2004-12-31 00:00:00.000
441,50,80322313000,2004-12-31 00:00:00.000
451,51,31734065934,2004-12-31 00:00:00.000
461,5,3514350000,2004-12-31 00:00:00.000
471,52,764880644711,2004-12-31 00:00:00.000
481,53,76216441462,2004-12-31 00:00:00.000
491,54,591016690743,2004-12-31 00:00:00.000
501,55,521975111,2004-12-31 00:00:00.000
511,56,24861483281,2004-12-31 00:00:00.000
521,57,839319927,2004-12-31 00:00:00.000
531,58,114188557567,2004-12-31 00:00:00.000
541,59,34470227454,2004-12-31 00:00:00.000
551,60,228937347866,2004-12-31 00:00:00.000
561,61,1069555500372,2004-12-31 00:00:00.000
571,6,370885026074,2004-12-31 00:00:00.000
581,62,1484092538,2004-12-31 00:00:00.000
591,63,381705425302,2004-12-31 00:00:00.000
601,64,394163688621,2004-12-31 00:00:00.000
611,65,172895476153,2004-12-31 00:00:00.000
621,66,6838351088,2004-12-31 00:00:00.000
631,67,2398555474185,2004-12-31 00:00:00.000
641,68,12274928000000,2004-12-31 00:00:00.000
651,7,1057845500,2004-12-31 00:00:00.000
661,8,669316654017,2004-12-31 00:00:00.000
671,9,25957970922,2004-12-31 00:00:00.000
2,10,1169357979865,2005-12-31 00:00:00.000
12,11,122964812046,2005-12-31 00:00:00.000
22,1,198737095012,2005-12-31 00:00:00.000
32,12,146566264837,2005-12-31 00:00:00.000
42,13,19952156475,2005-12-31 00:00:00.000
52,14,45416358502,2005-12-31 00:00:00.000
62,15,42643836075,2005-12-31 00:00:00.000
72,16,18703146375,2005-12-31 00:00:00.000
82,17,136280689891,2005-12-31 00:00:00.000
92,18,264467308109,2005-12-31 00:00:00.000
102,19,41507085000,2005-12-31 00:00:00.000
112,20,14698001400,2005-12-31 00:00:00.000
122,21,14006088297,2005-12-31 00:00:00.000
132,2,315974418605,2005-12-31 00:00:00.000
142,22,204436015421,2005-12-31 00:00:00.000
152,23,2196126103718,2005-12-31 00:00:00.000
162,24,2861410272354,2005-12-31 00:00:00.000
172,25,247783001865,2005-12-31 00:00:00.000
182,26,695370296,2005-12-31 00:00:00.000
192,27,27211377225,2005-12-31 00:00:00.000
202,28,824880550,2005-12-31 00:00:00.000
212,29,113035361317,2005-12-31 00:00:00.000
222,30,16691490114,2005-12-31 00:00:00.000
232,31,211650764830,2005-12-31 00:00:00.000
242,3,9836200000,2005-12-31 00:00:00.000
252,32,142462925574,2005-12-31 00:00:00.000
262,33,1852661982341,2005-12-31 00:00:00.000
272,34,4755410630912,2005-12-31 00:00:00.000
282,35,57123671734,2005-12-31 00:00:00.000
292,36,80797945205,2005-12-31 00:00:00.000
302,37,2460248026,2005-12-31 00:00:00.000
312,38,16922504045,2005-12-31 00:00:00.000
322,39,26125575942,2005-12-31 00:00:00.000
332,40,37347394603,2005-12-31 00:00:00.000
342,41,6394851387,2005-12-31 00:00:00.000
352,4,15968726862,2005-12-31 00:00:00.000
362,42,6283803256,2005-12-31 00:00:00.000
372,43,877476221382,2005-12-31 00:00:00.000
