country_id,country_name,country_region,OECD_member,country_code
1,"Argentina","Latin America & Caribbean","Non-Member","ARG"
2,"Austria","Europe & Central Asia","Member","AUT"
3,"Bahamas","Latin America & Caribbean","Non-Member","BHS"
4,"Bahrain","Middle East & North Africa","Non-Member","BHR"
5,"Barbados","Latin America & Caribbean","Non-Member","BRB"
6,"Belgium","Europe & Central Asia","Member","BEL"
7,"Belize","Latin America & Caribbean","Non-Member","BLZ"
8,"Brazil","Latin America & Caribbean","Non-Member","BRA"
9,"Bulgaria","Europe & Central Asia","Non-Member","BGR"
10,"Canada","North America","Member","CAN"
11,"Chile","Latin America & Caribbean","Member","CHL"
12,"Colombia","Latin America & Caribbean","Non-Member","COL"
13,"Costa Rica","Latin America & Caribbean","Non-Member","CRI"
14,"Croatia","Europe & Central Asia","Non-Member","HRV"
15,"Cuba","Latin America & Caribbean","Non-Member","CUB"
16,"Cyprus","Europe & Central Asia","Non-Member","CYP"
17,"Czech Republic","Europe & Central Asia","Member","CZE"
18,"Denmark","Europe & Central Asia","Member","DNK"
19,"Ecuador","Latin America & Caribbean","Non-Member","ECU"
20,"El Salvador","Latin America & Caribbean","Non-Member","SLV"
21,"Estonia","Europe & Central Asia","Member","EST"
22,"Finland","Europe & Central Asia","Member","FIN"
23,"France","Europe & Central Asia","Member","FRA"
24,"Germany","Europe & Central Asia","Member","DEU"
25,"Greece","Europe & Central Asia","Member","GRC"
26,"Grenada","Latin America & Caribbean","Non-Member","GRD"
27,"Guatemala","Latin America & Caribbean","Non-Member","GTM"
28,"Guyana","Latin America & Caribbean","Non-Member","GUY"
29,"Hungary","Europe & Central Asia","Member","HUN"
30,"Iceland","Europe & Central Asia","Member","ISL"
31,"Ireland","Europe & Central Asia","Member","IRL"
32,"Israel","Middle East & North Africa","Member","ISR"
33,"Italy","Europe & Central Asia","Member","ITA"
34,"Japan","East Asia & Pacific","Member","JPN"
35,"Kazakhstan","Europe & Central Asia","Non-Member","KAZ"
36,"Kuwait","Middle East & North Africa","Non-Member","KWT"
37,"Kyrgyzstan","Europe & Central Asia","Non-Member","KGZ"
38,"Latvia","Europe & Central Asia","Member","LVA"
39,"Lithuania","Europe & Central Asia","Non-Member","LTU"
40,"Luxembourg","Europe & Central Asia","Member","LUX"
41,"Malta","Middle East & North Africa","Non-Member","MLT"
42,"Mauritius","Sub-Saharan Africa","Non-Member","MUS"
43,"Mexico","Latin America & Caribbean","Member","MEX"
44,"Netherlands","Europe & Central Asia","Member","NLD"
45,"New Zealand","East Asia & Pacific","Member","NZL"
46,"Norway","Europe & Central Asia","Member","NOR"
47,"Panama","Latin America & Caribbean","Non-Member","PAN"
48,"Paraguay","Latin America & Caribbean","Non-Member","PRY"
49,"Poland","Europe & Central Asia","Member","POL"
50,"Puerto Rico","Latin America & Caribbean","Non-Member","PRI"
51,"Qatar","Middle East & North Africa","Non-Member","QAT"
52,"Republic of Korea","East Asia & Pacific","Non-Member","KOR"
53,"Romania","Europe & Central Asia","Non-Member","ROU"
54,"Russian Federation","Europe & Central Asia","Non-Member","RUS"
55,"Saint Vincent and Grenadines","Latin America & Caribbean","Non-Member","VCT"
56,"Serbia","Europe & Central Asia","Non-Member","SRB"
57,"Seychelles","Sub-Saharan Africa","Non-Member","SYC"
58,"Singapore","East Asia & Pacific","Non-Member","SGP"
59,"Slovenia","Europe & Central Asia","Member","SVN"
60,"South Africa","Sub-Saharan Africa","Non-Member","ZAF"
61,"Spain","Europe & Central Asia","Member","ESP"
62,"Suriname","Latin America & Caribbean","Non-Member","SUR"
63,"Sweden","Europe & Central Asia","Member","SWE"
64,"Switzerland","Europe & Central Asia","Member","CHE"
65,"Thailand","East Asia & Pacific","Non-Member","THA"
66,"Turkmenistan","Europe & Central Asia","Non-Member","TKM"
67,"United Kingdom","Europe & Central Asia","Member","GBR"
68,"United States","North America","Member","USA"
