ProductKey,OrderDateKey,DueDateKey,ShipDateKey,ResellerKey,EmployeeKey,PromotionKey,CurrencyKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber
409,20020801,20020813,20020808,312,282,1,100,4,"SO47028",35,1,2,209.256,418.512,0,0,185.8193,371.6386,418.512,33.481,10.4628,"8DA0-456D-8F","PO3799132728"
412,20020801,20020813,20020808,312,282,1,100,4,"SO47028",20,1,2,180.129,360.258,0,0,133.2955,266.591,360.258,28.8206,9.0065,"8DA0-456D-8F","PO3799132728"
351,20010801,20010813,20010808,312,282,1,100,4,"SO43897",3,1,2,2024.994,4049.988,0,0,1898.0944,3796.1888,4049.988,323.999,101.2497,"128F-4FD9-A4","PO3799116239"
292,20011101,20011113,20011108,312,282,1,100,4,"SO44544",3,1,2,818.7,1637.4,0,0,706.811,1413.622,1637.4,130.992,40.935,"E01E-42FD-93","PO3799116414"
412,20021101,20021113,20021108,312,282,1,100,4,"SO48049",11,1,2,180.129,360.258,0,0,133.2955,266.591,360.258,28.8206,9.0065,"C09A-49F5-80","PO3799136256"
232,20010801,20010813,20010808,312,282,1,100,4,"SO43897",7,1,2,28.8404,57.6808,0,0,31.7244,63.4488,57.6808,4.6145,1.442,"128F-4FD9-A4","PO3799116239"
344,20011101,20011113,20011108,312,282,1,100,4,"SO44544",10,1,2,2039.994,4079.988,0,0,1912.1544,3824.3088,4079.988,326.399,101.9997,"E01E-42FD-93","PO3799116414"
409,20021101,20021113,20021108,312,282,1,100,4,"SO48049",22,1,2,209.256,418.512,0,0,185.8193,371.6386,418.512,33.481,10.4628,"C09A-49F5-80","PO3799136256"
309,20030801,20030813,20030808,312,282,1,100,4,"SO51845",33,1,2,818.7,1637.4,0,0,747.2002,1494.4004,1637.4,130.992,40.935,"6AB8-4CEA-A9","PO3799111961"
401,20021101,20021113,20021108,312,282,1,100,4,"SO48049",1,1,2,65.6018,131.2036,0,0,48.5453,97.0906,131.2036,10.4963,3.2801,"C09A-49F5-80","PO3799136256"
351,20011101,20011113,20011108,312,282,1,100,4,"SO44544",8,1,2,2024.994,4049.988,0,0,1898.0944,3796.1888,4049.988,323.999,101.2497,"E01E-42FD-93","PO3799116414"
235,20010801,20010813,20010808,312,282,1,100,4,"SO43897",1,1,2,28.8404,57.6808,0,0,31.7244,63.4488,57.6808,4.6145,1.442,"128F-4FD9-A4","PO3799116239"
458,20021101,20021113,20021108,312,282,1,100,4,"SO48049",13,1,2,44.994,89.988,0,0,30.9334,61.8668,89.988,7.199,2.2497,"C09A-49F5-80","PO3799136256"
349,20011101,20011113,20011108,312,282,1,100,4,"SO44544",9,1,2,2024.994,4049.988,0,0,1898.0944,3796.1888,4049.988,323.999,101.2497,"E01E-42FD-93","PO3799116414"
346,20020501,20020513,20020508,312,282,1,100,4,"SO46082",2,1,2,2039.994,4079.988,0,0,1912.1544,3824.3088,4079.988,326.399,101.9997,"E8B4-45CF-8C","PO3799169418"
348,20010801,20010813,20010808,312,282,1,100,4,"SO43897",5,1,2,2024.994,4049.988,0,0,1898.0944,3796.1888,4049.988,323.999,101.2497,"128F-4FD9-A4","PO3799116239"
