id,top_level_status,start_date,end_date,data_source,months_in_status,project_status_metadata.status_order,project_status_metadata.status_name
"c12bacc9-ba63-4016-a2b2-89f84e5d9c95","completed_construction",2019-04-10 00:00:00.000,,"dbi",40,4,"Completed"
"5621ae3d-0832-4b84-9958-ac889dbe1002","completed_construction",2019-10-31 00:00:00.000,,"dbi",34,4,"Completed"
"e2f32f99-2021-447f-9380-a3b791c05659","completed_construction",2019-07-15 00:00:00.000,,"dbi",37,4,"Completed"
"e354c4e3-4b42-42f2-a596-15d9c7690319","completed_construction",2019-05-15 00:00:00.000,,"dbi",39,4,"Completed"
"df612bae-7520-46ff-b031-5ef76ef7aed8","completed_construction",2013-10-03 00:00:00.000,,"dbi",106,4,"Completed"
"0ecf64f2-b5cb-404f-a57b-287f7007d162","completed_construction",2019-10-01 00:00:00.000,,"dbi",34,4,"Completed"
"e89741e9-8676-4283-91fb-b45a73179da6","completed_construction",2019-06-26 00:00:00.000,,"dbi",38,4,"Completed"
"b8fbf907-1f56-4d41-a78e-04f3cf927124","completed_construction",2018-09-27 00:00:00.000,,"dbi",47,4,"Completed"
"a2129175-187b-4aef-8f59-c11113662204","completed_construction",2019-11-05 00:00:00.000,,"dbi",33,4,"Completed"
"7de0d28b-1341-4b7b-bbf8-19beb96b36f5","completed_construction",2018-09-24 00:00:00.000,,"dbi",47,4,"Completed"
"fc2f9f90-2faa-4405-a3fa-9f6c733a672b","completed_construction",2019-07-26 00:00:00.000,,"dbi",37,4,"Completed"
"c17d8f30-f37b-420f-81fb-30b1f78ce4a1","completed_construction",2013-01-08 00:00:00.000,,"dbi",115,4,"Completed"
"fafe79bf-df72-40d0-973a-da7174455074","completed_construction",2018-01-16 00:00:00.000,,"dbi",55,4,"Completed"
"97bd28a7-c61c-41dc-b88b-2c8c5a159533","completed_construction",2005-02-02 00:00:00.000,,"dbi",210,4,"Completed"
"44dbb110-07d0-4a76-a253-bc1301bca295","completed_construction",2013-11-12 00:00:00.000,,"dbi",105,4,"Completed"
"fdb0ae6e-9fe6-4f1a-9dc3-65350a06c9c8","completed_construction",2015-12-22 00:00:00.000,,"dbi",80,4,"Completed"
"b55b7a36-a606-4658-96d6-72ecdd73c120","completed_construction",2016-09-29 00:00:00.000,,"dbi",71,4,"Completed"
"cd3aa4be-8bbd-483f-bcff-57731788bbda","completed_construction",2017-03-28 00:00:00.000,,"dbi",65,4,"Completed"
"c347aae1-a998-41c8-9a7b-cc9e66a4e8ac","completed_construction",1996-08-14 00:00:00.000,,"dbi",312,4,"Completed"
"4afa508e-1a54-4d68-bd04-60bab40084ea","completed_construction",2009-01-21 00:00:00.000,,"dbi",163,4,"Completed"
"572f170a-1f11-4f0f-b22c-835c4f6059e8","completed_construction",2015-02-27 00:00:00.000,,"dbi",90,4,"Completed"
"4e6d3a66-2874-4bc3-bfc9-f4714d62e9df","completed_construction",2017-12-11 00:00:00.000,,"dbi",56,4,"Completed"
"385cc724-42e1-459e-9c52-28219671aae8","completed_construction",2017-01-06 00:00:00.000,,"dbi",67,4,"Completed"
"0b7197d6-dd97-462c-9ed7-74095b3772b6","completed_construction",2008-03-18 00:00:00.000,,"dbi",173,4,"Completed"
"e34e1153-ad5a-43af-bf45-ae4b82ae0bc2","completed_construction",2016-05-31 00:00:00.000,,"dbi",75,4,"Completed"
"192bb595-2abc-476a-baea-e3b92e6c3c21","completed_construction",2017-09-27 00:00:00.000,,"dbi",59,4,"Completed"
"d1657f47-0c99-4081-b2d2-57fb1ef2b377","completed_construction",2000-11-09 00:00:00.000,,"dbi",261,4,"Completed"
"6ae043af-8ac0-4bff-b1b3-e5b5eee463d2","completed_construction",2014-06-11 00:00:00.000,,"dbi",98,4,"Completed"
"fd25491c-f0f2-4d80-b903-9bf26be652ce","completed_construction",2015-11-09 00:00:00.000,,"dbi",81,4,"Completed"
"9d8fa865-021a-47e5-ad5e-23187ee09308","completed_construction",2010-05-14 00:00:00.000,,"dbi",147,4,"Completed"
"c426b0ac-a23e-440f-b679-e654184e9612","completed_construction",2016-06-28 00:00:00.000,,"dbi",74,4,"Completed"
"3cc01881-2331-4deb-86f0-b4431d39ce19","completed_construction",2016-11-23 00:00:00.000,,"dbi",69,4,"Completed"
"08fbea8b-dec7-4744-8a10-4becd25eb965","completed_construction",2004-02-27 00:00:00.000,,"dbi",222,4,"Completed"
"618076c3-5d42-4864-94b9-5c332f4ef836","completed_construction",2013-11-21 00:00:00.000,,"dbi",105,4,"Completed"
"8c05092d-5aff-477c-b732-ffad0ab0569e","completed_construction",2017-11-15 00:00:00.000,,"dbi",57,4,"Completed"
"217af4cb-76fd-4659-9a73-38ea9fccbe53","completed_construction",2005-06-09 00:00:00.000,,"dbi",206,4,"Completed"
"a5b7734e-c435-46cd-95b8-1b000218fdea","completed_construction",2018-01-04 00:00:00.000,,"dbi",55,4,"Completed"
"c5daadc9-c47e-4e5e-8da8-d2491bb1cffe","completed_construction",2016-07-22 00:00:00.000,,"dbi",73,4,"Completed"
"7706ed69-4bb6-4ca2-8951-13a48c6d98ef","completed_construction",2014-03-14 00:00:00.000,,"dbi",101,4,"Completed"
"612632c9-0cf9-4dd5-9ee1-acce270d3130","completed_construction",2011-04-19 00:00:00.000,,"dbi",136,4,"Completed"
"bc58b325-0596-48a9-8b24-df09bf4b11df","completed_construction",2017-09-11 00:00:00.000,,"dbi",59,4,"Completed"
"fffb5faf-7fbe-47e8-99f8-c646bc11170d","completed_construction",2014-07-22 00:00:00.000,,"dbi",97,4,"Completed"
"9efbff8b-c0f7-45dd-a9ff-63fbf3a09688","completed_construction",2007-11-08 00:00:00.000,,"dbi",177,4,"Completed"
"e60af499-5aeb-4e23-8dbb-28e0a0536768","completed_construction",2017-02-27 00:00:00.000,,"dbi",66,4,"Completed"
"9296a44e-1304-4eb6-8e6d-890d28c2b043","completed_construction",2017-02-22 00:00:00.000,,"dbi",66,4,"Completed"
"f15b31e9-b039-40ad-9a40-5b81126014fd","completed_construction",2014-06-30 00:00:00.000,,"dbi",98,4,"Completed"
"09682729-0212-4a7d-bf09-e83a81997e34","completed_construction",2018-07-26 00:00:00.000,,"dbi",49,4,"Completed"
"e3cd6dd6-8e44-425e-a380-290f1234c658","completed_construction",2017-08-21 00:00:00.000,,"dbi",60,4,"Completed"
"1801080d-7ccb-4c1d-bc98-621edc3412b4","completed_construction",2016-06-23 00:00:00.000,,"dbi",74,4,"Completed"
"600ccb54-cf6d-4e48-855e-ee0bbe1f4234","completed_construction",2006-06-30 00:00:00.000,,"dbi",194,4,"Completed"
"2dee0673-f6d1-4859-af15-1be1cdf021bc","completed_construction",2011-07-28 00:00:00.000,,"dbi",133,4,"Completed"
"5ebea56f-6543-4153-b37f-9b80c5cbf702","completed_construction",2009-01-29 00:00:00.000,,"dbi",163,4,"Completed"
"4ea47ae9-639b-42db-ab5b-691390655076","completed_construction",2016-03-02 00:00:00.000,,"dbi",77,4,"Completed"
"98314e20-64cd-4746-bd11-1bb6625b937a","completed_construction",2008-04-03 00:00:00.000,,"dbi",172,4,"Completed"
"97559091-a7ca-4dee-81a8-05db73b1f8f9","completed_construction",2018-02-15 00:00:00.000,,"dbi",54,4,"Completed"
"3115d781-edec-4998-abee-451742b6d245","completed_construction",2014-03-28 00:00:00.000,,"dbi",101,4,"Completed"
"a655c210-140d-4d83-a158-0bab07f7c4a9","completed_construction",2016-09-29 00:00:00.000,,"dbi",71,4,"Completed"
"28ecdd84-edc5-4d24-a9d7-bca391e25d0d","completed_construction",2007-05-04 00:00:00.000,,"dbi",183,4,"Completed"
"9031d3dc-8027-48ec-94b3-36d57b4516aa","completed_construction",1996-02-12 00:00:00.000,,"dbi",318,4,"Completed"
"73ca43ec-78a0-4ac4-9384-5f83ad0d703e","completed_construction",2008-06-25 00:00:00.000,,"dbi",170,4,"Completed"
"89b22516-673f-4bac-b4b5-7079e3b22be9","completed_construction",2017-08-17 00:00:00.000,,"dbi",60,4,"Completed"
"65169985-605a-49ef-8c7c-eb63360dab92","completed_construction",2011-05-02 00:00:00.000,,"dbi",135,4,"Completed"
"f7779a21-5f08-4ca6-8572-c04e6ce01d2a","completed_construction",2017-04-26 00:00:00.000,,"dbi",64,4,"Completed"
"9551be17-accf-4f16-95a0-9839467920bd","completed_construction",2015-02-27 00:00:00.000,,"dbi",90,4,"Completed"
"2a734a33-2f74-4931-8a84-67dcfce07631","completed_construction",2005-08-11 00:00:00.000,,"dbi",204,4,"Completed"
"840b2bbe-8448-4251-a098-558fcffd0e91","completed_construction",2009-04-24 00:00:00.000,,"dbi",160,4,"Completed"
"082e6075-4755-4ac7-80b4-3205d27fa07a","completed_construction",2018-02-23 00:00:00.000,,"dbi",54,4,"Completed"
"0fa05e6b-1f09-4f69-9102-a291b9ca0e32","completed_construction",2013-03-14 00:00:00.000,,"dbi",113,4,"Completed"
"15eda224-0ea4-4333-8c39-67cea7442c6b","completed_construction",2013-05-01 00:00:00.000,,"dbi",111,4,"Completed"
"1d4acde0-96fe-4ada-8483-2aad6d4bd27a","completed_construction",2017-03-07 00:00:00.000,,"dbi",65,4,"Completed"
"a42da9e2-3ffc-41d9-8f77-b57c5e3ea715","completed_construction",2016-07-20 00:00:00.000,,"dbi",73,4,"Completed"
"58813db9-da1b-4b39-b6eb-dbd14d512ee8","completed_construction",2008-05-08 00:00:00.000,,"dbi",171,4,"Completed"
"e51a8524-a232-4710-90d7-1dc8aa9718e7","completed_construction",2004-03-18 00:00:00.000,,"dbi",221,4,"Completed"
"442ce03e-ff92-4b07-94a2-aa42d29e600a","completed_construction",2017-08-17 00:00:00.000,,"dbi",60,4,"Completed"
"12be460d-c95d-44b1-aba0-2a11173514b2","completed_construction",1998-07-20 00:00:00.000,,"dbi",289,4,"Completed"
"22b9f97a-9dc5-4c4c-abae-243d95eacc86","completed_construction",2017-03-27 00:00:00.000,,"dbi",65,4,"Completed"
