Brand,Month,Seasonality Factor
"BuildNow","January",0.02
"BuildNow","February",0.04
"BuildNow","March",0.05
"BuildNow","April",0.05
"BuildNow","May",0.05
"BuildNow","June",0.03
"BuildNow","July",0.04
"BuildNow","August",0.06
"BuildNow","September",0.1
"BuildNow","October",0.12
"BuildNow","November",0.2
"BuildNow","December",0.24
"LookSharp","January",0.02
"LookSharp","February",0.02
"LookSharp","March",0.03
"LookSharp","April",0.02
"LookSharp","May",0.02
"LookSharp","June",0.03
"LookSharp","July",0.04
"LookSharp","August",0.03
"LookSharp","September",0.1
"LookSharp","October",0.12
"LookSharp","November",0.24
"LookSharp","December",0.33
"Newbi","January",0.05
"Newbi","February",0.05
"Newbi","March",0.1
"Newbi","April",0.15
"Newbi","May",0.17
"Newbi","June",0.17
"Newbi","July",0.22
"Newbi","August",0.09
"SmoothDrive","January",0.02
"SmoothDrive","February",0.02
"SmoothDrive","March",0.03
"SmoothDrive","April",0.02
"SmoothDrive","May",0.02
"SmoothDrive","June",0.03
"SmoothDrive","July",0.04
"SmoothDrive","August",0.03
"SmoothDrive","September",0.1
"SmoothDrive","October",0.12
"SmoothDrive","November",0.24
"SmoothDrive","December",0.33
"Stealth","January",0.02
"Stealth","February",0.02
"Stealth","March",0.03
"Stealth","April",0.02
"Stealth","May",0.02
"Stealth","June",0.03
"Stealth","July",0.04
"Stealth","August",0.03
"Stealth","September",0.1
"Stealth","October",0.12
"Stealth","November",0.24
"Stealth","December",0.33
"Wheelers","January",0.02
"Wheelers","February",0.02
"Wheelers","March",0.02
"Wheelers","April",0.02
"Wheelers","May",0.02
"Wheelers","June",0.02
"Wheelers","July",0.02
"Wheelers","August",0.02
"Wheelers","September",0.03
"Wheelers","October",0.03
"Wheelers","November",0.34
"Wheelers","December",0.44
"ZEGO","January",0.02
"ZEGO","February",0.02
"ZEGO","March",0.03
"ZEGO","April",0.02
"ZEGO","May",0.02
"ZEGO","June",0.03
"ZEGO","July",0.04
"ZEGO","August",0.03
"ZEGO","September",0.1
"ZEGO","October",0.12
"ZEGO","November",0.24
"ZEGO","December",0.33
"ZORVEL","January",0.02
"ZORVEL","February",0.02
"ZORVEL","March",0.02
"ZORVEL","April",0.02
"ZORVEL","May",0.02
"ZORVEL","June",0.02
"ZORVEL","July",0.02
"ZORVEL","August",0.02
"ZORVEL","September",0.03
"ZORVEL","October",0.03
"ZORVEL","November",0.34
"ZORVEL","December",0.44
