Store Index,Retail,Retail_idx,City,Zip,Zip_ID,Store_Sq_Ft,Sales_Person
"1","Top Dollar","3"," ATHERTON","94027","1",1000,"Will S"
"2","Top Dollar","3"," MANALAPAN","33462","2",1000,"Will S"
"3","Top Dollar","3"," LOS ALTOS","94022","3",1000,"Will S"
"4","Top Dollar","3"," PALO ALTO","94301","4",1000,"Will S"
"5","Top Dollar","3","ROSS","94957","5",1000,"Joe B"
"6","Top Dollar","3"," SAGAPONACK","11962","6",1000,"Joe B"
"7","Top Dollar","3"," WOODY CREEK","81656","7",1000,"Joe B"
"8","Top Dollar","3"," BEVERLY HILLS","90210","8",1000,"Joe B"
"9","Top Dollar","3","LONGMEADOW","1106","9",1000,"Bill S"
"10","Top Dollar","3","COLORADO SPRINGS","80922","10",1000,"Jim S"
"11","Top Dollar","3","STOCKTON","95202","12",1400,""
"12","Top Dollar","3","PHILADELPHIA","19019","11",1400,""
"13","Top Dollar","3","TUCSON","85713","13",1000,"Peter F"
"14","Top Dollar","3","Hartford","6101","14",1000,"Bill S"
"15","Top Dollar","3","Dover","19901","15",1000,"Bill S"
"16","Top Dollar","3","Washington","20001","16",1000,"Bill S"
"17","Top Dollar","3","Atlanta","30301","17",1400,"Peter F"
"18","Top Dollar","3","Huntsville","35801","18",1000,"Peter F"
"19","Top Dollar","3","Indianapolis","46201","19",1400,"George T"
"20","Top Dollar","3","Little Rock","72201","20",1000,"George T"
"21","Top Dollar","3","Denver","80201","21",1400,"Jim S"
"22","Top Dollar","3","Montpelier","83254","22",1000,"Bill S"
"23","Top Dollar","3","Phoenix","85001","23",1000,"Peter F"
"24","Top Dollar","3","Honolulu","96801","24",300,"Will S"
"25","Top Dollar","3","Anchorage","99501","25",300,"Will S"
"26","CryptoMrt","2"," ATHERTON","94027","1",600,"Will S"
"27","CryptoMrt","2"," MANALAPAN","33462","2",600,"Will S"
"28","CryptoMrt","2"," LOS ALTOS","94022","3",600,"Will S"
"29","CryptoMrt","2"," PALO ALTO","94301","4",600,"Will S"
"30","CryptoMrt","2","ROSS","94957","5",600,"Joe B"
"31","CryptoMrt","2"," SAGAPONACK","11962","6",600,"Joe B"
"32","CryptoMrt","2"," WOODY CREEK","81656","7",600,"Joe B"
"33","CryptoMrt","2"," BEVERLY HILLS","90210","8",600,"Joe B"
"34","CryptoMrt","2","LONGMEADOW","1106","9",600,"Bill S"
"35","CryptoMrt","2","COLORADO SPRINGS","80922","10",800,"Jim S"
"36","CryptoMrt","2","STOCKTON","95202","12",600,""
"37","CryptoMrt","2","PHILADELPHIA","19019","11",1000,""
"38","CryptoMrt","2","TUCSON","85713","13",600,"Peter F"
"39","CryptoMrt","2","Hartford","6101","14",600,"Bill S"
"40","CryptoMrt","2","Dover","19901","15",600,"Bill S"
"41","CryptoMrt","2","Washington","20001","16",600,"Bill S"
"42","CryptoMrt","2","Atlanta","30301","17",1200,"Peter F"
"43","CryptoMrt","2","Huntsville","35801","18",600,"Peter F"
"44","CryptoMrt","2","Indianapolis","46201","19",800,"George T"
"45","CryptoMrt","2","Little Rock","72201","20",600,"George T"
"46","CryptoMrt","2","Denver","80201","21",1000,"Jim S"
"47","CryptoMrt","2","Montpelier","83254","22",600,"Bill S"
"48","CryptoMrt","2","Phoenix","85001","23",1000,"Peter F"
"49","Cost Plus","1"," ATHERTON","94027","1",1200,"Will S"
"50","Cost Plus","1"," LOS ALTOS","94022","3",400,"Will S"
"51","Cost Plus","1"," PALO ALTO","94301","4",400,"Will S"
"52","Cost Plus","1","ROSS","94957","5",1200,"Joe B"
"53","Cost Plus","1"," WOODY CREEK","81656","7",1200,"Joe B"
"54","Cost Plus","1"," BEVERLY HILLS","90210","8",400,"Joe B"
"55","Cost Plus","1","COLORADO SPRINGS","80922","10",1500,"Jim S"
"56","Cost Plus","1","STOCKTON","95202","12",1200,""
"57","Cost Plus","1","TUCSON","85713","13",1200,"Peter F"
"58","Cost Plus","1","Washington","20001","16",1200,"Bill S"
"59","Cost Plus","1","Denver","80201","21",1500,"Jim S"
"60","Cost Plus","1","Montpelier","83254","22",1200,"Bill S"
"61","Cost Plus","1","Phoenix","85001","23",1500,"Peter F"
"62","Hockey & More","4","Toronto, Canada","M5V 2A5","26",75000,"Bill S"
"63","Hockey & More","4","Motreal, Canada","QC H2L","27",50000,"Bill S"
"64","Hockey & More","4","Quebec, Canada","QC G1R","28",50000,"Bill S"
