ID-Produto,Produto,Categoria,Segmento,Fabricante
SKU-0000331,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000164,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000380,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000215,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000099,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000196,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000116,Impressora Deskjet,Eletrônicos,Doméstico,HP
SKU-0000339,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000452,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000149,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000010,Geladeira Duplex,Eletrodomésticos,Doméstico,Electrolux
SKU-0000112,Impressora Deskjet,Eletrônicos,Doméstico,HP
SKU-0000079,Grill,Eletrodomésticos,Doméstico,Panasonic
SKU-0000394,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000420,Impressora Deskjet,Eletrônicos,Doméstico,HP
SKU-0000192,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000408,Processador de Alimentos,Eletroportáteis,Doméstico,Philco
SKU-0000289,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000093,Ar Condicionado,Eletrodomésticos,Industrial,Samsung
SKU-0000301,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000295,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000071,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000224,Grill,Eletrodomésticos,Doméstico,Consul
SKU-0000019,Lavadora 11 Kg,Eletrodomésticos,Doméstico,Electrolux
SKU-0000217,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000421,Impressora Deskjet,Eletrônicos,Doméstico,HP
SKU-0000298,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000173,Samsung Galaxy 8,Celulares,Corporativo,Samsung
SKU-0000029,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000277,Impressora Deskjet,Eletrônicos,Doméstico,Epson
SKU-0000423,Impressora Deskjet,Eletrônicos,Doméstico,HP
SKU-0000248,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000056,Desktop HP 16 GB,Eletrônicos,Corporativo,HP
SKU-0000006,Lavadora 11 Kg,Eletrodomésticos,Doméstico,Brastemp
SKU-0000177,Samsung Galaxy 8,Celulares,Corporativo,Samsung
SKU-0000293,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000283,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000361,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000026,Lavadora 11 Kg,Eletrodomésticos,Doméstico,Brastemp
SKU-0000297,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000296,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000316,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000129,Secadora Vapor,Eletrodomésticos,Doméstico,Brastemp
SKU-0000290,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000096,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000292,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000457,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000234,Micro-Ondas,Eletrodomésticos,Doméstico,Consul
SKU-0000048,Notebook Dell 8 GB,Eletrônicos,Corporativo,Dell
SKU-0000325,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000263,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000153,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000246,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000356,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000040,Notebook Dell 8 GB,Eletrônicos,Corporativo,Dell
SKU-0000064,Micro-Ondas,Eletrodomésticos,Industrial,Consul
SKU-0000031,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000444,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000035,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000170,Samsung Galaxy 8,Celulares,Corporativo,Samsung
SKU-0000446,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000002,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000039,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000312,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000413,Liquidificador,Eletroportáteis,Doméstico,Arno
SKU-0000193,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000142,Sony Experia XA,Celulares,Doméstico,Sony
SKU-0000431,Ventilador,Eletroportáteis,Doméstico,Arno
SKU-0000329,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000206,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000332,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000427,Impressora Deskjet,Eletrônicos,Doméstico,HP
SKU-0000143,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000407,Processador de Alimentos,Eletroportáteis,Doméstico,Philco
SKU-0000200,Fritadeira,Eletroportáteis,Doméstico,Arno
SKU-0000334,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000167,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000124,Secadora Vapor,Eletrodomésticos,Doméstico,Brastemp
SKU-0000174,Samsung Galaxy 8,Celulares,Corporativo,Samsung
SKU-0000018,Lavadora 11 Kg,Eletrodomésticos,Doméstico,Brastemp
SKU-0000401,Ar Condicionado,Eletrodomésticos,Doméstico,Samsung
SKU-0000370,Processador de Alimentos,Eletroportáteis,Doméstico,Philco
SKU-0000314,Morotola Moto G5,Celulares,Doméstico,Motorola
SKU-0000138,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000183,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000159,Samsung Galaxy 8,Celulares,Corporativo,Samsung
SKU-0000243,Ar Condicionado,Eletrodomésticos,Industrial,Samsung
SKU-0000076,Micro-Ondas,Eletrodomésticos,Doméstico,Panasonic
SKU-0000319,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000440,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000098,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000141,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000037,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000451,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000044,Notebook Dell 8 GB,Eletrônicos,Corporativo,Dell
SKU-0000359,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000150,Geladeira Duplex,Eletrodomésticos,Doméstico,Brastemp
SKU-0000304,Geladeira Duplex,Eletrodomésticos,Doméstico,Consul
SKU-0000353,Aspirador,Eletroportáteis,Doméstico,Britânia
SKU-0000065,Grill,Eletrodomésticos,Doméstico,Panasonic
