%event_id,event_name,deadline_time,average_entry_score,finished,data_checked,highest_scoring_entry,highest_score,is_previous,is_current,is_next,chip_plays,most_selected_player_id,most_transferred_in_player_id,most_points_player_id,top_element_info,transfers_made,gameweek_number,deadline_date,deadline_time(2),cup_leagues_created,h2h_ko_matches_created
1,"Gameweek 1",2021-08-13 17:30:00.000,69,True,True,5059647,150,False,False,False,"[{'chip_name': 'bboost', 'num_played': 145658}, {'chip_name': '3xc', 'num_played': 225749}]",275,1,277,"{'id': 277, 'points': 20}",0,1,2021-08-13 00:00:00.000,1899-12-30 17:30:00.000,"False","False"
2,"Gameweek 2",2021-08-21 10:00:00.000,56,True,True,6882931,146,False,False,False,"[{'chip_name': 'bboost', 'num_played': 95038}, {'chip_name': 'freehit', 'num_played': 102410}, {'chip_name': 'wildcard', 'num_played': 277209}, {'chip_name': '3xc', 'num_played': 269514}]",277,272,142,"{'id': 142, 'points': 18}",12038724,2,2021-08-21 00:00:00.000,1899-12-30 10:00:00.000,"False","False"
3,"Gameweek 3",2021-08-28 10:00:00.000,54,True,True,7516002,119,False,False,False,"[{'chip_name': 'bboost', 'num_played': 94049}, {'chip_name': 'freehit', 'num_played': 117627}, {'chip_name': 'wildcard', 'num_played': 372083}, {'chip_name': '3xc', 'num_played': 138714}]",277,419,268,"{'id': 268, 'points': 18}",15553648,3,2021-08-28 00:00:00.000,1899-12-30 10:00:00.000,"False","False"
4,"Gameweek 4",2021-09-11 10:00:00.000,57,True,True,7797969,120,False,False,False,"[{'chip_name': 'bboost', 'num_played': 77204}, {'chip_name': 'freehit', 'num_played': 168976}, {'chip_name': 'wildcard', 'num_played': 1117718}, {'chip_name': '3xc', 'num_played': 157121}]",233,579,432,"{'id': 432, 'points': 13}",28985870,4,2021-09-11 00:00:00.000,1899-12-30 10:00:00.000,"False","False"
5,"Gameweek 5",2021-09-17 17:30:00.000,55,True,True,3139954,144,False,False,False,"[{'chip_name': 'bboost', 'num_played': 49533}, {'chip_name': 'freehit', 'num_played': 127510}, {'chip_name': 'wildcard', 'num_played': 708431}, {'chip_name': '3xc', 'num_played': 104192}]",233,579,44,"{'id': 44, 'points': 15}",18706283,5,2021-09-17 00:00:00.000,1899-12-30 17:30:00.000,"False","False"
6,"Gameweek 6",2021-09-25 10:00:00.000,43,True,True,1367510,117,False,False,False,"[{'chip_name': 'bboost', 'num_played': 76495}, {'chip_name': 'freehit', 'num_played': 98223}, {'chip_name': 'wildcard', 'num_played': 308300}, {'chip_name': '3xc', 'num_played': 134785}]",233,413,36,"{'id': 36, 'points': 15}",13021763,6,2021-09-25 00:00:00.000,1899-12-30 10:00:00.000,"False","False"
7,"Gameweek 7",2021-10-02 10:00:00.000,38,True,True,8298401,102,False,False,False,"[{'chip_name': 'bboost', 'num_played': 58931}, {'chip_name': 'freehit', 'num_played': 89810}, {'chip_name': 'wildcard', 'num_played': 292085}, {'chip_name': '3xc', 'num_played': 75135}]",233,127,190,"{'id': 190, 'points': 15}",12625013,7,2021-10-02 00:00:00.000,1899-12-30 10:00:00.000,"False","False"
8,"Gameweek 8",2021-10-16 10:00:00.000,49,True,True,8392863,122,False,False,False,"[{'chip_name': 'bboost', 'num_played': 54764}, {'chip_name': 'freehit', 'num_played': 74544}, {'chip_name': 'wildcard', 'num_played': 274188}, {'chip_name': '3xc', 'num_played': 102108}]",233,256,228,"{'id': 228, 'points': 20}",12142633,8,2021-10-16 00:00:00.000,1899-12-30 10:00:00.000,"False","False"
9,"Gameweek 9",2021-10-22 17:30:00.000,64,True,True,8103512,165,False,False,False,"[{'chip_name': 'bboost', 'num_played': 46614}, {'chip_name': 'freehit', 'num_played': 85712}, {'chip_name': 'wildcard', 'num_played': 167651}, {'chip_name': '3xc', 'num_played': 49975}]",233,205,138,"{'id': 138, 'points': 24}",11147906,9,2021-10-22 00:00:00.000,1899-12-30 17:30:00.000,"False","False"
10,"Gameweek 10",2021-10-30 10:00:00.000,42,True,True,8257657,116,False,False,False,"[{'chip_name': 'bboost', 'num_played': 50931}, {'chip_name': 'freehit', 'num_played': 96697}, {'chip_name': 'wildcard', 'num_played': 189850}, {'chip_name': '3xc', 'num_played': 156449}]",233,138,142,"{'id': 142, 'points': 21}",12690241,10,2021-10-30 00:00:00.000,1899-12-30 10:00:00.000,"False","False"
