DivisionId,Garda Division,Location,Location Group
"11","Cavan/Monaghan Garda Division","Cavan/Monaghan","Others"
"12","Donegal Garda Division","Donegal","Others"
"13","Sligo/Leitrim Garda Division","Sligo/Leitrim","Others"
"14","Louth Garda Division","Louth","Others"
"21","Clare Garda Division","Clare","Others"
"22","Mayo Garda Division","Mayo","Others"
"23","Galway Garda Division","Galway","Others"
"24","Roscommon/Longford Garda Division","Roscommon/Longford","Others"
"31","Cork City Garda Division","Cork","Others"
"32","Cork North Garda Division","Cork","Others"
"33","Cork West Garda Division","Cork","Others"
"34","Kerry Garda Division","Kerry","Others"
"35","Limerick Garda Division","Limerick","Others"
"41","Laois/Offaly Garda Division","Laois/Offaly","Others"
"42","Meath Garda Division","Meath","Others"
"43","Wicklow Garda Division","Wicklow","Others"
"44","Westmeath Garda Division","Westmeath","Others"
"45","Kildare Garda Division","Kildare","Others"
"51","Tipperary Garda Division","Tipperary","Others"
"52","Wexford Garda Division","Wexford","Others"
"53","Kilkenny/Carlow Garda Division","Kilkenny/Carlow","Others"
"54","Waterford Garda Division","Waterford","Others"
"61","D.M.R. South Central Garda Division","Dublin","Dublin"
"62","D.M.R. North Central Garda Division","Dublin","Dublin"
"63","D.M.R. Northern Garda Division","Dublin","Dublin"
"64","D.M.R. Southern Garda Division","Dublin","Dublin"
"65","D.M.R. Eastern Garda Division","Dublin","Dublin"
"66","D.M.R. Western Garda Division","Dublin","Dublin"
