Column1,Column2,Column3,Column
"Red","One","A","RedOneA"
"Red","One","B","RedOneB"
"Red","One","C","RedOneC"
"Red","Two","A","RedTwoA"
"Red","Two","B","RedTwoB"
"Red","Two","C","RedTwoC"
"Red","Three","A","RedThreeA"
"Red","Three","B","RedThreeB"
"Red","Three","C","RedThreeC"
"Green","One","A","GreenOneA"
"Green","One","B","GreenOneB"
"Green","One","C","GreenOneC"
"Green","Two","A","GreenTwoA"
"Green","Two","B","GreenTwoB"
"Green","Two","C","GreenTwoC"
"Green","Three","A","GreenThreeA"
"Green","Three","B","GreenThreeB"
"Green","Three","C","GreenThreeC"
"Blue","One","A","BlueOneA"
"Blue","One","B","BlueOneB"
"Blue","One","C","BlueOneC"
"Blue","Two","A","BlueTwoA"
"Blue","Two","B","BlueTwoB"
"Blue","Two","C","BlueTwoC"
"Blue","Three","A","BlueThreeA"
"Blue","Three","B","BlueThreeB"
"Blue","Three","C","BlueThreeC"
