Value,ID,Start,End,Number
2019-01-01 00:00:00.000,100,2019-01-01 00:00:00.000,2019-01-03 00:00:00.000,50000
2019-01-02 00:00:00.000,100,2019-01-01 00:00:00.000,2019-01-03 00:00:00.000,50000
2019-01-03 00:00:00.000,100,2019-01-01 00:00:00.000,2019-01-03 00:00:00.000,50000
2019-01-05 00:00:00.000,101,2019-01-05 00:00:00.000,2019-01-09 00:00:00.000,60000
2019-01-06 00:00:00.000,101,2019-01-05 00:00:00.000,2019-01-09 00:00:00.000,60000
2019-01-07 00:00:00.000,101,2019-01-05 00:00:00.000,2019-01-09 00:00:00.000,60000
2019-01-08 00:00:00.000,101,2019-01-05 00:00:00.000,2019-01-09 00:00:00.000,60000
2019-01-09 00:00:00.000,101,2019-01-05 00:00:00.000,2019-01-09 00:00:00.000,60000
2019-02-01 00:00:00.000,102,2019-02-01 00:00:00.000,2019-02-05 00:00:00.000,70000
2019-02-02 00:00:00.000,102,2019-02-01 00:00:00.000,2019-02-05 00:00:00.000,70000
2019-02-03 00:00:00.000,102,2019-02-01 00:00:00.000,2019-02-05 00:00:00.000,70000
2019-02-04 00:00:00.000,102,2019-02-01 00:00:00.000,2019-02-05 00:00:00.000,70000
2019-02-05 00:00:00.000,102,2019-02-01 00:00:00.000,2019-02-05 00:00:00.000,70000
