B00_QT,DEL,LDG,PICK,PREQ,QTY,RETAIL,SOURCE,TRANS,U_MCH
"0","1/30/2019","69","1/28/2019","1/20/2019","6","203581","D060","1/27/2019","M003310"
"0","1/30/2019","69","1/28/2019","1/20/2019","6","203581","D060","1/27/2019","M003310"
"0","1/30/2019","69","1/28/2019","1/20/2019","6","203581","D060","1/27/2019","M003310"
"0","1/30/2019","69","1/28/2019","1/20/2019","6","203581","D060","1/27/2019","M003310"
"0","1/30/2019","69","1/31/2019","1/20/2019","6","203581","D060","1/27/2019","M003310"
"0","1/30/2019","69","1/31/2019","1/20/2019","6","203581","D060","1/27/2019","M003310"
"0","1/30/2019","69","1/31/2019","1/20/2019","6","203581","D060","1/27/2019","M003310"
"0","1/30/2019","69","1/31/2019","1/20/2019","6","203581","D060","1/27/2019","M003310"
"0","1/30/2019","69","1/31/2019","1/20/2019","11","203581","D060","1/27/2019","M003310"
"0","1/30/2019","69","1/31/2019","1/20/2019","6","203581","D060","1/27/2019","M003310"
"0","1/30/2019","69","1/31/2019","1/20/2019","6","203581","D060","1/27/2019","M003310"
"0","1/30/2019","69","1/31/2019","1/20/2019","6","203581","D060","1/27/2019","M003310"
"0","1/30/2019","69","1/31/2019","1/20/2019","6","203581","D060","1/27/2019","M003310"
"0","1/30/2019","69","1/31/2019","1/20/2019","6","203581","D060","1/28/2019","M003310"
"0","1/30/2019","69","1/31/2019","1/20/2019","6","203581","D060","1/29/2019","M003310"
"0","1/30/2019","69","1/31/2019","1/20/2019","6","203581","D060","1/29/2019","M003310"
