Unique ID,Payment Types,Column
1,"Payment Scheme","Payment Scheme"
1,"Standard","Payment Scheme"
2,"Payment Scheme","Payment Scheme"
2,"Standard","Payment Scheme"
3,"Payment Scheme","Payment Scheme"
3,"Standard","Payment Scheme"
4,"Refund","Standard"
4,"Standard","Standard"
5,"Payment Scheme","Payment Scheme"
5,"Standard","Payment Scheme"
6,"Invoice","Invoice"
6,"Standard","Invoice"
7,"Refund","Standard"
7,"Standard","Standard"
8,"Refund","Standard"
8,"Standard","Standard"
9,"Pay4Later","Payment Scheme"
9,"Payment Scheme","Payment Scheme"
9,"Refund","Payment Scheme"
10,"Payment Scheme","Payment Scheme"
10,"Standard","Payment Scheme"
11,"Invoice","Invoice"
11,"Standard","Invoice"
12,"Invoice","Invoice"
12,"Standard","Invoice"
