Date,Month,Item,Import,Quantity
2018-10-17 00:00:00.000,10,"Alusa pvc",19990,1
2018-10-04 00:00:00.000,10,"rallador",15546,1
2018-10-01 00:00:00.000,10,"Alusa pvc",14980,1
2018-10-09 00:00:00.000,10,"cafesenza",11900,1
2018-10-18 00:00:00.000,10,"drambui",9619,1
2018-10-04 00:00:00.000,10,"cheesecake",9100,1
2018-10-12 00:00:00.000,10,"cheesecake",9100,1
2018-10-19 00:00:00.000,10,"cheesecake",9100,1
2018-10-23 00:00:00.000,10,"cheesecake",9100,1
2018-10-30 00:00:00.000,10,"cheesecake",9100,1
2018-10-01 00:00:00.000,10,"queso rallado granel",8618,1
2018-10-18 00:00:00.000,10,"queso rallado granel",8618,1
2018-10-17 00:00:00.000,10,"dispensador jabon liquido",8500,1
2018-10-05 00:00:00.000,10,"crema baileys",8429,1
2018-10-19 00:00:00.000,10,"kuchen arandano",7400,1
2018-10-04 00:00:00.000,10,"kuchen nuez",7400,1
2018-10-12 00:00:00.000,10,"kuchen nuez",7400,1
2018-10-23 00:00:00.000,10,"kuchen nuez",7400,1
2018-10-08 00:00:00.000,10,"balde c/escurridor",7000,1
2018-10-12 00:00:00.000,10,"nescafe lata 400 grs",6579,1
2018-10-19 00:00:00.000,10,"queso gauda laminado",4748,1
2018-10-18 00:00:00.000,10,"cafe instantaneo 500 g",4717,1
2018-10-04 00:00:00.000,10,"cuchillo puntilla",4302,1
2018-10-03 00:00:00.000,10,"co2 bebidas",4145,1
2018-10-18 00:00:00.000,10,"ron havana especial litro",4131,1
2018-10-17 00:00:00.000,10,"champiñon",3900,1
2018-10-29 00:00:00.000,10,"salsa de queso",3835,1
2018-10-19 00:00:00.000,10,"ajo cabeza",3800,1
2018-10-09 00:00:00.000,10,"champiñon",3780,1
2018-10-03 00:00:00.000,10,"chorizillo cocktail",3750,1
2018-10-22 00:00:00.000,10,"chorizillo cocktail",3750,1
2018-10-01 00:00:00.000,10,"salsa española",3396,1
2018-10-10 00:00:00.000,10,"salsa española",3396,1
2018-10-24 00:00:00.000,10,"salsa española",3396,1
2018-10-26 00:00:00.000,10,"semillas maravilla",3361,1
2018-10-12 00:00:00.000,10,"gorro chef",3319,1
2018-10-24 00:00:00.000,10,"botella mistral 40",3203,1
2018-10-10 00:00:00.000,10,"salsa inglesa litro",3100,1
2018-10-01 00:00:00.000,10,"aji de color",2990,1
2018-10-19 00:00:00.000,10,"arvejas congeladas",2874,1
2018-10-04 00:00:00.000,10,"Miel",2700,1
2018-10-03 00:00:00.000,10,"manteca vegetal",2680,1
2018-10-17 00:00:00.000,10,"manteca vegetal",2569,1
2018-10-26 00:00:00.000,10,"fondo alcachofas frasco kilo",2521,1
2018-10-11 00:00:00.000,10,"huesillos extra grande",2521,1
2018-10-02 00:00:00.000,10,"papaya",2521,1
2018-10-02 00:00:00.000,10,"espatula cocina",2513,1
2018-10-25 00:00:00.000,10,"spaghetti  kilo",2417,1
2018-10-02 00:00:00.000,10,"limon de pica",2300,1
2018-10-19 00:00:00.000,10,"limon de pica",2300,1
2018-10-04 00:00:00.000,10,"polvo de hornear",2300,1
2018-10-09 00:00:00.000,10,"salsa barbecue",2159,1
2018-10-26 00:00:00.000,10,"pepinillo coctel",2017,1
2018-10-17 00:00:00.000,10,"cibulet",2000,1
2018-10-23 00:00:00.000,10,"cibulet",2000,1
2018-10-30 00:00:00.000,10,"cilantro",2000,1
2018-10-23 00:00:00.000,10,"perejil",2000,1
2018-10-09 00:00:00.000,10,"salsa de frambueza",1929,1
2018-10-29 00:00:00.000,10,"poroto verde",1900,1
2018-10-12 00:00:00.000,10,"cilantro",1800,1
2018-10-08 00:00:00.000,10,"espinacas",1800,1
2018-10-08 00:00:00.000,10,"rucula bolsa 500 gr",1800,1
2018-10-17 00:00:00.000,10,"rucula bolsa 500 gr",1800,1
2018-10-25 00:00:00.000,10,"rucula bolsa 500 gr",1680,1
2018-10-12 00:00:00.000,10,"mayonesa especial harol",1570,1
2018-10-08 00:00:00.000,10,"curry de pollo",1560,1
2018-10-18 00:00:00.000,10,"caldo costilla kilo",1521,1
2018-10-19 00:00:00.000,10,"albahaca por mata",1300,1
2018-10-01 00:00:00.000,10,"repollo morado procesado",1130,1
2018-10-02 00:00:00.000,10,"repollo morado procesado",1130,1
2018-10-03 00:00:00.000,10,"repollo morado procesado",1130,1
2018-10-04 00:00:00.000,10,"repollo morado procesado",1130,1
2018-10-08 00:00:00.000,10,"repollo morado procesado",1130,1
2018-10-10 00:00:00.000,10,"repollo morado procesado",1130,1
2018-10-11 00:00:00.000,10,"repollo morado procesado",1130,1
2018-10-12 00:00:00.000,10,"repollo morado procesado",1130,1
2018-10-16 00:00:00.000,10,"repollo morado procesado",1130,1
2018-10-17 00:00:00.000,10,"repollo morado procesado",1130,1
2018-10-18 00:00:00.000,10,"repollo morado procesado",1130,1
2018-10-22 00:00:00.000,10,"repollo morado procesado",1130,1
2018-10-23 00:00:00.000,10,"repollo morado procesado",1130,1
2018-10-25 00:00:00.000,10,"repollo morado procesado",1130,1
2018-10-29 00:00:00.000,10,"repollo morado procesado",1130,1
2018-10-30 00:00:00.000,10,"repollo morado procesado",1130,1
2018-10-01 00:00:00.000,10,"repollo blanco procesado",1123,1
2018-10-02 00:00:00.000,10,"repollo blanco procesado",1123,1
2018-10-03 00:00:00.000,10,"repollo blanco procesado",1123,1
2018-10-04 00:00:00.000,10,"repollo blanco procesado",1123,1
2018-10-05 00:00:00.000,10,"repollo blanco procesado",1123,1
2018-10-08 00:00:00.000,10,"repollo blanco procesado",1123,1
2018-10-10 00:00:00.000,10,"repollo blanco procesado",1123,1
2018-10-11 00:00:00.000,10,"repollo blanco procesado",1123,1
2018-10-16 00:00:00.000,10,"repollo blanco procesado",1123,1
2018-10-17 00:00:00.000,10,"repollo blanco procesado",1123,1
2018-10-18 00:00:00.000,10,"repollo blanco procesado",1123,1
2018-10-19 00:00:00.000,10,"repollo blanco procesado",1123,1
2018-10-22 00:00:00.000,10,"repollo blanco procesado",1123,1
2018-10-23 00:00:00.000,10,"repollo blanco procesado",1123,1
2018-10-24 00:00:00.000,10,"repollo blanco procesado",1123,1
2018-10-25 00:00:00.000,10,"repollo blanco procesado",1123,1
2018-10-29 00:00:00.000,10,"repollo blanco procesado",1123,1
2018-10-30 00:00:00.000,10,"repollo blanco procesado",1123,1
2018-10-08 00:00:00.000,10,"Mopa",1100,1
2018-10-12 00:00:00.000,10,"zanahoria juliana procesada",1090,1
2018-10-25 00:00:00.000,10,"apio mata",1000,1
