MAC,DATE,STATUS,Index,Column
"ABCEERDDF",2018-12-05 00:00:00.000,"WORST",5,4
"ABCEERDDF",2018-12-07 00:00:00.000,"WORST",7,5
"ABCEERDDF",2018-12-08 00:00:00.000,"WORST",8,4
"ABCEERDDF",2018-12-09 00:00:00.000,"WORST",9,4
"ABCEERDDF",2018-12-10 00:00:00.000,"WORST",10,4
"ABCEERDDF",2018-12-11 00:00:00.000,"WORST",11,4
"ABCEERDDF",2018-12-13 00:00:00.000,"WORST",13,3
"ABCEERDDF",2018-12-14 00:00:00.000,"WORST",14,2
"ABCEERDDF",2018-12-15 00:00:00.000,"WORST",15,1
"YDSHHSKJL",2018-12-01 00:00:00.000,"WORST",16,4
"YDSHHSKJL",2018-12-03 00:00:00.000,"WORST",18,5
"YDSHHSKJL",2018-12-04 00:00:00.000,"WORST",19,4
"YDSHHSKJL",2018-12-05 00:00:00.000,"WORST",20,4
"YDSHHSKJL",2018-12-06 00:00:00.000,"WORST",21,4
"YDSHHSKJL",2018-12-07 00:00:00.000,"WORST",22,4
"YDSHHSKJL",2018-12-09 00:00:00.000,"WORST",24,5
"YDSHHSKJL",2018-12-10 00:00:00.000,"WORST",25,4
"YDSHHSKJL",2018-12-11 00:00:00.000,"WORST",26,3
"YDSHHSKJL",2018-12-12 00:00:00.000,"WORST",27,2
"YDSHHSKJL",2018-12-13 00:00:00.000,"WORST",28,1
"ZDHWLHWL",2018-12-13 00:00:00.000,"WORST",58,1
