Store,Date,Time,Hour,Quantity,Staff Type
"Peters",2018-02-01 00:00:00.000,1899-12-30 09:00:00.000,9,4,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 09:05:00.000,9,4,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 09:10:00.000,9,4,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 09:15:00.000,9,4,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 09:20:00.000,9,4,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 09:25:00.000,9,4,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 09:30:00.000,9,4,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 09:35:00.000,9,4,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 09:40:00.000,9,4,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 09:45:00.000,9,4,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 09:50:00.000,9,4,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 09:55:00.000,9,4,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 10:00:00.000,10,6,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 10:05:00.000,10,6,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 10:10:00.000,10,6,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 10:15:00.000,10,6,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 10:20:00.000,10,6,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 10:25:00.000,10,6,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 10:30:00.000,10,6,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 10:35:00.000,10,6,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 10:40:00.000,10,6,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 10:45:00.000,10,6,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 10:50:00.000,10,6,"Cashier"
"Peters",2018-02-01 00:00:00.000,1899-12-30 10:55:00.000,10,6,"Cashier"
