Date,Year,QuarterOfYear,MonthOfYear,DayOfMonth,DateInt,MonthName,MonthInCalendar,QuarterInCalendar,DayInWeek,DayOfWeekName,WeekEnding,Week Number,MonthnYear,QuarternYear,ShortYear,FY,StartOfWeek,Start of Month,Year In Last Four Years,WeekOrder,Start of Wk Display,Start Of Week Display Year
2017-07-01 00:00:00.000,"2017",3,7,1,20170701,"July","Jul 2017","Q3 2017",6,"Saturday",2017-07-01 00:00:00.000,26,20170700,20170300,"17","FY18",2017-06-25 00:00:00.000,2017-07-01 00:00:00.000,"Y",-42911,2017-06-25 00:00:00.000,2017
2017-07-02 00:00:00.000,"2017",3,7,2,20170702,"July","Jul 2017","Q3 2017",0,"Sunday",2017-07-08 00:00:00.000,27,20170700,20170300,"17","FY18",2017-07-02 00:00:00.000,2017-07-01 00:00:00.000,"Y",-42918,2017-07-02 00:00:00.000,2017
2017-07-03 00:00:00.000,"2017",3,7,3,20170703,"July","Jul 2017","Q3 2017",1,"Monday",2017-07-08 00:00:00.000,27,20170700,20170300,"17","FY18",2017-07-02 00:00:00.000,2017-07-01 00:00:00.000,"Y",-42918,2017-07-02 00:00:00.000,2017
2017-07-04 00:00:00.000,"2017",3,7,4,20170704,"July","Jul 2017","Q3 2017",2,"Tuesday",2017-07-08 00:00:00.000,27,20170700,20170300,"17","FY18",2017-07-02 00:00:00.000,2017-07-01 00:00:00.000,"Y",-42918,2017-07-02 00:00:00.000,2017
2017-07-05 00:00:00.000,"2017",3,7,5,20170705,"July","Jul 2017","Q3 2017",3,"Wednesday",2017-07-08 00:00:00.000,27,20170700,20170300,"17","FY18",2017-07-02 00:00:00.000,2017-07-01 00:00:00.000,"Y",-42918,2017-07-02 00:00:00.000,2017
2017-07-06 00:00:00.000,"2017",3,7,6,20170706,"July","Jul 2017","Q3 2017",4,"Thursday",2017-07-08 00:00:00.000,27,20170700,20170300,"17","FY18",2017-07-02 00:00:00.000,2017-07-01 00:00:00.000,"Y",-42918,2017-07-02 00:00:00.000,2017
2017-07-07 00:00:00.000,"2017",3,7,7,20170707,"July","Jul 2017","Q3 2017",5,"Friday",2017-07-08 00:00:00.000,27,20170700,20170300,"17","FY18",2017-07-02 00:00:00.000,2017-07-01 00:00:00.000,"Y",-42918,2017-07-02 00:00:00.000,2017
2017-07-08 00:00:00.000,"2017",3,7,8,20170708,"July","Jul 2017","Q3 2017",6,"Saturday",2017-07-08 00:00:00.000,27,20170700,20170300,"17","FY18",2017-07-02 00:00:00.000,2017-07-01 00:00:00.000,"Y",-42918,2017-07-02 00:00:00.000,2017
2017-07-09 00:00:00.000,"2017",3,7,9,20170709,"July","Jul 2017","Q3 2017",0,"Sunday",2017-07-15 00:00:00.000,28,20170700,20170300,"17","FY18",2017-07-09 00:00:00.000,2017-07-01 00:00:00.000,"Y",-42925,2017-07-09 00:00:00.000,2017
2017-07-10 00:00:00.000,"2017",3,7,10,20170710,"July","Jul 2017","Q3 2017",1,"Monday",2017-07-15 00:00:00.000,28,20170700,20170300,"17","FY18",2017-07-09 00:00:00.000,2017-07-01 00:00:00.000,"Y",-42925,2017-07-09 00:00:00.000,2017
2017-07-11 00:00:00.000,"2017",3,7,11,20170711,"July","Jul 2017","Q3 2017",2,"Tuesday",2017-07-15 00:00:00.000,28,20170700,20170300,"17","FY18",2017-07-09 00:00:00.000,2017-07-01 00:00:00.000,"Y",-42925,2017-07-09 00:00:00.000,2017
2017-07-12 00:00:00.000,"2017",3,7,12,20170712,"July","Jul 2017","Q3 2017",3,"Wednesday",2017-07-15 00:00:00.000,28,20170700,20170300,"17","FY18",2017-07-09 00:00:00.000,2017-07-01 00:00:00.000,"Y",-42925,2017-07-09 00:00:00.000,2017
2017-07-13 00:00:00.000,"2017",3,7,13,20170713,"July","Jul 2017","Q3 2017",4,"Thursday",2017-07-15 00:00:00.000,28,20170700,20170300,"17","FY18",2017-07-09 00:00:00.000,2017-07-01 00:00:00.000,"Y",-42925,2017-07-09 00:00:00.000,2017
