ID Produto,EMBALAGEM,PREÇO,ID Categoria,CUSTO DO PRODUTO,Produto,Peso,Sabor
1,"Saquinho",3.5,1,1.17,"fruit ice melancia"," 250g"," melancia"
2,"Pote",22.5,2,7.5,"cream ice napolitano"," 2 litros"," napolitano"
3,"Saquinho",4,1,1.33,"fruit ice uva"," 350g"," uva"
4,"Saquinho",4.5,1,1.5,"fruit ice melancia"," 350g"," melancia"
5,"Saquinho",2.5,1,0.83,"fruit ice limão"," 250g"," limão"
6,"Pote",20,3,6.66,"cream ice goiabinha"," 2 litros"," goiabinha"
7,"Pote",16.5,3,5.5,"cream ice pedaços de frutas"," 1,5 litros"," maça"
8,"Saquinho",6,1,2,"fruit ice pedaços de frutas"," 350g"," cereja/maça"
9,"Saquinho",7,1,2.33,"fruit ice açai"," 350g"," açai"
10,"Saquinho",4.5,1,1.5,"fruit ice kiwi"," 250g"," kiwi"
11,"Saquinho",3,1,1,"fruit ice maracujá"," 250g"," maracujá"
12,"Pote",16.5,2,5.5,"cream ice flocos"," 1,5 litros"," flocos"
13,"Pote",17,2,5.66,"cream ice chocolate"," 1,5 litros"," chocolate"
14,"Pote",16,3,5.33,"cream ice morango"," 1,5 litros"," morango"
15,"Saquinho",3.5,1,1.17,"fruit ice manga"," 250g"," manga"
16,"Pote",14.5,2,4.83,"cream ice abacaxi"," 1,5 litros"," abacaxi"
17,"Saquinho",4.5,4,1.5,"fruit ice creme","  350g"," creme"
18,"Saquinho",4.5,4,1.5,"fruit ice flocos"," 350g"," flocos"
19,"Saquinho",3.5,1,1.17,"fruit ice limão"," 350g"," limão"
20,"Pote",24,3,8,"cream ice morango"," 2 litros"," morango"
21,"Pote",23,2,7.67,"cream ice flocos"," 2 litros"," flocos"
22,"Pote",22,2,7.34,"cream ice chocolate"," 2 litros"," chocolate"
23,"Pote",24,2,8,"cream ice pistache"," 2 litros"," pistache"
24,"Saquinho",4.5,1,1.5,"fruit ice melão"," 250g"," melão"
25,"Saquinho",5,4,1.67,"fruit ice chocolate"," 350g"," chocolate"
26,"Saquinho",3.5,1,1.17,"fruit ice morango"," 250g"," morango"
27,"Saquinho",4.5,4,1.5,"fruit ice napolitano"," 350g"," napolitano"
28,"Saquinho",7.5,1,2.5,"fruit ice cereja/maça"," 350g"," cereja/maça"
29,"Pote",20,2,6.67,"cream ice doce de leite"," 1,5 litros"," doce de leite"
30,"Pote",20,2,6.67,"cream ice pistache"," 1,5 litros"," pistache"
31,"Pote",24,2,8,"cream ice doce de leite"," 2 litros"," doce de leite"
32,"Pote",18,3,6,"cream ice açai"," 1,5 litros"," açai"
33,"Pote",22,3,7.34,"cream ice açai"," 2 litros"," açai"
