Source.Name,custSupID,custSupName,Link,AantalBoekstukken
"ExactOnline_V32_2016.xaf","1","ABC Producten & Diensten B.V.","ExactOnline_V32_2016.xaf-1",1
"ExactOnline_V32_2016.xaf","18","Rakers Sport B.V.","ExactOnline_V32_2016.xaf-18",1
"ExactOnline_V32_2016.xaf","11","Mijn Magazijn B.V.","ExactOnline_V32_2016.xaf-11",1
"ExactOnline_V32_2016.xaf","22","Fittsport BV","ExactOnline_V32_2016.xaf-22",1
"ExactOnline_V32_2016.xaf","12","Warmtebedrijf Eneco Delft B.V.","ExactOnline_V32_2016.xaf-12",1
"ExactOnline_V32_2016.xaf","35","CJIB","ExactOnline_V32_2016.xaf-35",1
"ExactOnline_V32_2016.xaf","32","IT Alignment Associates","ExactOnline_V32_2016.xaf-32",1
"ExactOnline_V32_2016.xaf","19","High Jumper","ExactOnline_V32_2016.xaf-19",1
"ExactOnline_V32_2016.xaf","30","Pantheon","ExactOnline_V32_2016.xaf-30",1
"ExactOnline_V32_2016.xaf","20","Supersnacks","ExactOnline_V32_2016.xaf-20",1
"ExactOnline_V32_2016.xaf","21","Terrie Sport","ExactOnline_V32_2016.xaf-21",1
"ExactOnline_V32_2016.xaf","29","Villa Borghesia","ExactOnline_V32_2016.xaf-29",1
"ExactOnline_V32_2016.xaf","36","Restaurant Fyra B.V.","ExactOnline_V32_2016.xaf-36",1
"ExactOnline_V32_2016.xaf","24","Sportmart B.V.","ExactOnline_V32_2016.xaf-24",1
"ExactOnline_V32_2016.xaf","25","Belgium Bouncers","ExactOnline_V32_2016.xaf-25",1
"ExactOnline_V32_2016.xaf","34","deboer grafische industrie","ExactOnline_V32_2016.xaf-34",1
"Twinfield_V31_2016.xaf","1001","Witteveen","Twinfield_V31_2016.xaf-1001",1
"Twinfield_V31_2016.xaf","1003","Samkalde","Twinfield_V31_2016.xaf-1003",1
"Twinfield_V31_2016.xaf","2000","Jab Gordijnstoffen","Twinfield_V31_2016.xaf-2000",1
"Twinfield_V31_2016.xaf","2001","Kendix","Twinfield_V31_2016.xaf-2001",1
"Twinfield_V31_2016.xaf","2005","DeSede","Twinfield_V31_2016.xaf-2005",1
"Twinfield_V31_2016.xaf","2006","Rolf Benz","Twinfield_V31_2016.xaf-2006",1
"Twinfield_V31_2016.xaf","2007","Pastoe","Twinfield_V31_2016.xaf-2007",1
"Twinfield_V31_2016.xaf","2008","Banzbord","Twinfield_V31_2016.xaf-2008",1
"Twinfield_V31_2016.xaf","2009","Lumina","Twinfield_V31_2016.xaf-2009",1
"Twinfield_V31_2016.xaf","2010","Floors & Units","Twinfield_V31_2016.xaf-2010",1
"Twinfield_V31_2016.xaf","2012","Auping","Twinfield_V31_2016.xaf-2012",1
"Twinfield_V31_2016.xaf","2013","Artemide","Twinfield_V31_2016.xaf-2013",1
"Twinfield_V31_2016.xaf","2014","Blommesteijn","Twinfield_V31_2016.xaf-2014",1
"Twinfield_V31_2016.xaf","2015","Makelaardij Gerwich","Twinfield_V31_2016.xaf-2015",1
"Twinfield_V31_2016.xaf","2016","KPN","Twinfield_V31_2016.xaf-2016",1
"Twinfield_V31_2016.xaf","2017","Twinfield","Twinfield_V31_2016.xaf-2017",1
"Twinfield_V31_2016.xaf","2018","Eijkelenboom","Twinfield_V31_2016.xaf-2018",1
"Twinfield_V31_2016.xaf","2019","Heuvel BV","Twinfield_V31_2016.xaf-2019",1
"Twinfield_V31_2016.xaf","2020","Franken","Twinfield_V31_2016.xaf-2020",1
"Twinfield_V31_2016.xaf","2024","Van den Berg B.V.","Twinfield_V31_2016.xaf-2024",1
"Twinfield_V31_2016.xaf","2025","Jansen","Twinfield_V31_2016.xaf-2025",1
"Twinfield_V31_2016.xaf","2026","Nyenrode","Twinfield_V31_2016.xaf-2026",1
"Twinfield_V31_2016.xaf","2027","Rosenthal Assurantiën","Twinfield_V31_2016.xaf-2027",1
"Twinfield_V31_2016.xaf","2029","Reeds Elsevier","Twinfield_V31_2016.xaf-2029",1
"Twinfield_V31_2016.xaf","2030","Makro Online","Twinfield_V31_2016.xaf-2030",1
"Twinfield_V31_2016.xaf","2031","Artanis BV","Twinfield_V31_2016.xaf-2031",1
"Twinfield_V31_2016.xaf","2032","Samsung","Twinfield_V31_2016.xaf-2032",1
"Twinfield_V31_2016.xaf","2033","Van Heydenrijk","Twinfield_V31_2016.xaf-2033",1
"Twinfield_V31_2016.xaf","2035","Zaffa Records","Twinfield_V31_2016.xaf-2035",1
"Twinfield_V31_2016.xaf","2037","Apple","Twinfield_V31_2016.xaf-2037",1
"Twinfield_V31_2016.xaf","2041","bedrijvengidsonline","Twinfield_V31_2016.xaf-2041",1
"Twinfield_V31_2016.xaf","1005","Meijer","Twinfield_V31_2016.xaf-1005",1
"Twinfield_V31_2016.xaf","1006","Zonneveld","Twinfield_V31_2016.xaf-1006",1
"Twinfield_V31_2016.xaf","1008","Jansen","Twinfield_V31_2016.xaf-1008",1
"Twinfield_V31_2016.xaf","1009","Ruis","Twinfield_V31_2016.xaf-1009",1
"Twinfield_V31_2016.xaf","1010","Verstraete","Twinfield_V31_2016.xaf-1010",1
"Twinfield_V31_2016.xaf","1011","Spoelder","Twinfield_V31_2016.xaf-1011",1
"Twinfield_V31_2016.xaf","1012","Tenson","Twinfield_V31_2016.xaf-1012",1
"Twinfield_V31_2016.xaf","1013","Dalman","Twinfield_V31_2016.xaf-1013",1
"Twinfield_V31_2016.xaf","1014","Goedhart","Twinfield_V31_2016.xaf-1014",1
"Twinfield_V31_2016.xaf","1015","Verbeek","Twinfield_V31_2016.xaf-1015",1
"Twinfield_V31_2016.xaf","1016","Stalknecht","Twinfield_V31_2016.xaf-1016",1
"Twinfield_V31_2016.xaf","1017","Rendez Vous","Twinfield_V31_2016.xaf-1017",1
"Twinfield_V31_2016.xaf","1018","Gebroeders Walter","Twinfield_V31_2016.xaf-1018",1
"Twinfield_V31_2016.xaf","1021","Jacobus Recourt","Twinfield_V31_2016.xaf-1021",1
"Twinfield_V31_2016.xaf","1022","Dijkstra","Twinfield_V31_2016.xaf-1022",1
"Twinfield_V31_2016.xaf","1025","De Brael B.V.","Twinfield_V31_2016.xaf-1025",1
"Twinfield_V31_2016.xaf","1026","De Voetzoeker B.V.","Twinfield_V31_2016.xaf-1026",1
"XmlAuditfileFinancieel3.2_test.xaf","String","String","XmlAuditfileFinancieel3.2_test.xaf-String",1
"ExactOnline_V32_2016.xaf","10","Belastingdienst","ExactOnline_V32_2016.xaf-10",0
"ExactOnline_V32_2016.xaf","33","Koroma","ExactOnline_V32_2016.xaf-33",2
"ExactOnline_V32_2016.xaf","13","Ziggo B.V.","ExactOnline_V32_2016.xaf-13",0
"ExactOnline_V32_2016.xaf","14","Exact Software Nederland B.V.","ExactOnline_V32_2016.xaf-14",0
"ExactOnline_V32_2016.xaf","17","Picasso","ExactOnline_V32_2016.xaf-17",0
"ExactOnline_V32_2016.xaf","23","Sportmagazijn","ExactOnline_V32_2016.xaf-23",0
"ExactOnline_V32_2016.xaf","26","King","ExactOnline_V32_2016.xaf-26",0
"ExactOnline_V32_2016.xaf","27","J bv","ExactOnline_V32_2016.xaf-27",0
"ExactOnline_V32_2016.xaf","28","testklant","ExactOnline_V32_2016.xaf-28",0
"Multivers_V32_2017.xaf","D1003","Van Haaften International B.V.","Multivers_V32_2017.xaf-D1003",4
"Multivers_V32_2017.xaf","C7013","Ass.kantoor """"OP GOED GELUK""""","Multivers_V32_2017.xaf-C7013",3
"ExactOnline_V32_2016.xaf","31","Atomium","ExactOnline_V32_2016.xaf-31",0
"Multivers_V32_2017.xaf","C7005","L. de Lange Aardewerk","Multivers_V32_2017.xaf-C7005",6
"Multivers_V32_2017.xaf","C7001","Cornel's Tuinartikelen","Multivers_V32_2017.xaf-C7001",6
"Multivers_V32_2017.xaf","C7002","Firma Jansen en de Witte Marketing","Multivers_V32_2017.xaf-C7002",6
"Multivers_V32_2017.xaf","C7006","Gemeentelijk Energiebedrijf","Multivers_V32_2017.xaf-C7006",4
"Multivers_V32_2017.xaf","C7008","Firma Muller's Kantoorbenodigdheden","Multivers_V32_2017.xaf-C7008",4
"Multivers_V32_2017.xaf","C7014","De Terrafirm B.V.","Multivers_V32_2017.xaf-C7014",6
"ExactOnline_V32_2016.xaf","37","Eccentrade B.V.","ExactOnline_V32_2016.xaf-37",0
"Multivers_V32_2017.xaf","C7004","Merit Garden Products Ltd","Multivers_V32_2017.xaf-C7004",6
"ExactOnline_V32_2016.xaf","38","Belastingdienst","ExactOnline_V32_2016.xaf-38",0
"Multivers_V32_2017.xaf","C7010","McDonall Douglas Co.","Multivers_V32_2017.xaf-C7010",2
"ExactOnline_V32_2016.xaf","000000","Toro Rosso BV","ExactOnline_V32_2016.xaf-000000",0
"Multivers_V32_2017.xaf","C7011","Janssens & Zn B.V. Plantenkwekerij","Multivers_V32_2017.xaf-C7011",4
"Multivers_V32_2017.xaf","D1001","Van Bekkerem B.V.","Multivers_V32_2017.xaf-D1001",9
"Multivers_V32_2017.xaf","C7009","Vogelaar Elektronica B.V.","Multivers_V32_2017.xaf-C7009",3
"Multivers_V32_2017.xaf","D1002","Fa. Brokma Blokhutten v/h Gebr. Brokma","Multivers_V32_2017.xaf-D1002",4
"Multivers_V32_2017.xaf","C7003","Von Lee Gartenh�user GmbH","Multivers_V32_2017.xaf-C7003",3
"Multivers_V32_2017.xaf","C7015","Van Dalen Grond en bestratingen","Multivers_V32_2017.xaf-C7015",3
"Multivers_V32_2017.xaf","D1004","Garden Impressions Beverly","Multivers_V32_2017.xaf-D1004",3
"Multivers_V32_2017.xaf","D1014","Steenplaza F. de Vries","Multivers_V32_2017.xaf-D1014",3
"Multivers_V32_2017.xaf","D1005","Gartencenter L�wenbrau","Multivers_V32_2017.xaf-D1005",0
"Multivers_V32_2017.xaf","D1006","Tuinwereld Van Schaik B.V.","Multivers_V32_2017.xaf-D1006",11
"Multivers_V32_2017.xaf","D1007","Van Dongen Interieurbeplanting","Multivers_V32_2017.xaf-D1007",3
"Multivers_V32_2017.xaf","D1008","Hoveniersbedrijf Knol B.V.","Multivers_V32_2017.xaf-D1008",0
"Multivers_V32_2017.xaf","D1009","MELBICKS Garden & Leisure","Multivers_V32_2017.xaf-D1009",2
"Multivers_V32_2017.xaf","D1010","Van Onna Groenvoorziening B.V.","Multivers_V32_2017.xaf-D1010",4
"Multivers_V32_2017.xaf","D1015","Vijver- en Tuincentrum Pelckmans","Multivers_V32_2017.xaf-D1015",5
"Multivers_V32_2017.xaf","D1011","Tuincentrum 'Amsterdam'","Multivers_V32_2017.xaf-D1011",3
"Multivers_V32_2017.xaf","D1012","Gemeente IJsselstein","Multivers_V32_2017.xaf-D1012",0
"Multivers_V32_2017.xaf","D1013","Inkoopcombinatie CO-OP","Multivers_V32_2017.xaf-D1013",3
"Twinfield_V31_2016.xaf","1000","Waardedijk","Twinfield_V31_2016.xaf-1000",2
"Multivers_V32_2017.xaf","D9999","Directe verkoop geen klant","Multivers_V32_2017.xaf-D9999",0
"Twinfield_V31_2016.xaf","2011","Hülsta","Twinfield_V31_2016.xaf-2011",2
"Twinfield_V31_2016.xaf","2004","Leolux","Twinfield_V31_2016.xaf-2004",2
"Twinfield_V31_2016.xaf","2021","Brainwave","Twinfield_V31_2016.xaf-2021",2
"Twinfield_V31_2016.xaf","2002","Ploeg","Twinfield_V31_2016.xaf-2002",3
"Twinfield_V31_2016.xaf","2034","Douwe Egberts","Twinfield_V31_2016.xaf-2034",3
"Twinfield_V31_2016.xaf","2036","Mr. Globologist","Twinfield_V31_2016.xaf-2036",2
"Twinfield_V31_2016.xaf","2022","Garagebedrijf Poortman","Twinfield_V31_2016.xaf-2022",2
"Multivers_V32_2017.xaf","C7007","Onderhoudsbedrijf S.S.N. Bouw B.V.","Multivers_V32_2017.xaf-C7007",0
"Twinfield_V31_2016.xaf","2003","Beco Adviesgroep","Twinfield_V31_2016.xaf-2003",3
"Twinfield_V31_2016.xaf","2028","Verwoerdt BV","Twinfield_V31_2016.xaf-2028",2
"Twinfield_V31_2016.xaf","2023","Autototaal Car Lease","Twinfield_V31_2016.xaf-2023",2
"Twinfield_V31_2016.xaf","1002","Bosman","Twinfield_V31_2016.xaf-1002",2
"Multivers_V32_2017.xaf","C7012","Unit4 Business Software B.V.","Multivers_V32_2017.xaf-C7012",0
"Twinfield_V31_2016.xaf","2038","Chesterfield","Twinfield_V31_2016.xaf-2038",0
"Twinfield_V31_2016.xaf","2039","Klasema","Twinfield_V31_2016.xaf-2039",0
"Twinfield_V31_2016.xaf","2040","Klein","Twinfield_V31_2016.xaf-2040",0
"Twinfield_V31_2016.xaf","2042","Centraal Boekenhuis B.V.","Twinfield_V31_2016.xaf-2042",0
"Twinfield_V31_2016.xaf","1004","De Jong","Twinfield_V31_2016.xaf-1004",0
"Twinfield_V31_2016.xaf","1007","De Wit","Twinfield_V31_2016.xaf-1007",2
"Twinfield_V31_2016.xaf","1019","Roelofsen","Twinfield_V31_2016.xaf-1019",0
"Twinfield_V31_2016.xaf","1020","Concorde Group BV","Twinfield_V31_2016.xaf-1020",3
"Twinfield_V31_2016.xaf","1023","Lans","Twinfield_V31_2016.xaf-1023",0
"Twinfield_V31_2016.xaf","1024","Van Geenhuizen","Twinfield_V31_2016.xaf-1024",0
"Twinfield_V31_2016.xaf","1027","Multicycle B.V.","Twinfield_V31_2016.xaf-1027",0
