Link_CustSup,AantalBoekstukken
"ExactOnline_V32_2016.xaf-18",1
"ExactOnline_V32_2016.xaf-22",1
"ExactOnline_V32_2016.xaf-35",1
"ExactOnline_V32_2016.xaf-32",1
"ExactOnline_V32_2016.xaf-19",1
"ExactOnline_V32_2016.xaf-12",1
"ExactOnline_V32_2016.xaf-30",1
"ExactOnline_V32_2016.xaf-20",1
"ExactOnline_V32_2016.xaf-1",1
"ExactOnline_V32_2016.xaf-29",1
"ExactOnline_V32_2016.xaf-36",1
"ExactOnline_V32_2016.xaf-25",1
"ExactOnline_V32_2016.xaf-34",1
"ExactOnline_V32_2016.xaf-21",1
"ExactOnline_V32_2016.xaf-24",1
"ExactOnline_V32_2016.xaf-11",1
"Twinfield_V31_2016.xaf-1001",1
"Twinfield_V31_2016.xaf-1003",1
"Twinfield_V31_2016.xaf-1005",1
"Twinfield_V31_2016.xaf-1006",1
"Twinfield_V31_2016.xaf-1008",1
"Twinfield_V31_2016.xaf-1009",1
"Twinfield_V31_2016.xaf-1010",1
"Twinfield_V31_2016.xaf-1011",1
"Twinfield_V31_2016.xaf-1012",1
"Twinfield_V31_2016.xaf-1013",1
"Twinfield_V31_2016.xaf-1014",1
"Twinfield_V31_2016.xaf-1015",1
"Twinfield_V31_2016.xaf-1016",1
"Twinfield_V31_2016.xaf-1017",1
"Twinfield_V31_2016.xaf-1018",1
"Twinfield_V31_2016.xaf-1021",1
"Twinfield_V31_2016.xaf-1022",1
"Twinfield_V31_2016.xaf-1025",1
"Twinfield_V31_2016.xaf-1026",1
"Twinfield_V31_2016.xaf-2000",1
"Twinfield_V31_2016.xaf-2001",1
"Twinfield_V31_2016.xaf-2005",1
"Twinfield_V31_2016.xaf-2006",1
"Twinfield_V31_2016.xaf-2007",1
"Twinfield_V31_2016.xaf-2008",1
"Twinfield_V31_2016.xaf-2009",1
"Twinfield_V31_2016.xaf-2010",1
"Twinfield_V31_2016.xaf-2012",1
"Twinfield_V31_2016.xaf-2013",1
"Twinfield_V31_2016.xaf-2014",1
"Twinfield_V31_2016.xaf-2015",1
"Twinfield_V31_2016.xaf-2016",1
"Twinfield_V31_2016.xaf-2017",1
"Twinfield_V31_2016.xaf-2018",1
"Twinfield_V31_2016.xaf-2019",1
"Twinfield_V31_2016.xaf-2020",1
"Twinfield_V31_2016.xaf-2024",1
"Twinfield_V31_2016.xaf-2025",1
"Twinfield_V31_2016.xaf-2026",1
"Twinfield_V31_2016.xaf-2027",1
"Twinfield_V31_2016.xaf-2029",1
"Twinfield_V31_2016.xaf-2030",1
"Twinfield_V31_2016.xaf-2031",1
"Twinfield_V31_2016.xaf-2032",1
"Twinfield_V31_2016.xaf-2033",1
"Twinfield_V31_2016.xaf-2035",1
"Twinfield_V31_2016.xaf-2037",1
"Twinfield_V31_2016.xaf-2041",1
"XmlAuditfileFinancieel3.2_test.xaf-String",1
"",33
"ExactOnline_V32_2016.xaf-33",2
"Multivers_V32_2017.xaf-D1003",4
"Multivers_V32_2017.xaf-C7013",3
"Multivers_V32_2017.xaf-C7005",6
"Multivers_V32_2017.xaf-C7001",6
"Multivers_V32_2017.xaf-C7002",6
"Multivers_V32_2017.xaf-C7006",4
"Multivers_V32_2017.xaf-C7008",4
"Multivers_V32_2017.xaf-C7014",6
"Multivers_V32_2017.xaf-C7004",6
"Multivers_V32_2017.xaf-C7010",2
"Multivers_V32_2017.xaf-C7011",4
"Multivers_V32_2017.xaf-C7009",3
"Multivers_V32_2017.xaf-C7003",3
"Multivers_V32_2017.xaf-C7015",3
"Multivers_V32_2017.xaf-D1014",3
"Multivers_V32_2017.xaf-D1001",9
"Multivers_V32_2017.xaf-D1006",11
"Multivers_V32_2017.xaf-D1002",4
"Multivers_V32_2017.xaf-D1007",3
"Multivers_V32_2017.xaf-D1010",4
"Multivers_V32_2017.xaf-D1015",5
"Multivers_V32_2017.xaf-D1004",3
"Multivers_V32_2017.xaf-D1009",2
"Multivers_V32_2017.xaf-D1011",3
"Multivers_V32_2017.xaf-D1013",3
"Twinfield_V31_2016.xaf-1000",2
"Twinfield_V31_2016.xaf-2011",2
"Twinfield_V31_2016.xaf-2004",2
"Twinfield_V31_2016.xaf-2021",2
"Twinfield_V31_2016.xaf-2002",3
"Twinfield_V31_2016.xaf-2034",3
"Twinfield_V31_2016.xaf-2036",2
"Twinfield_V31_2016.xaf-2022",2
"Twinfield_V31_2016.xaf-2003",3
"Twinfield_V31_2016.xaf-2028",2
"Twinfield_V31_2016.xaf-2023",2
"Twinfield_V31_2016.xaf-1002",2
"Twinfield_V31_2016.xaf-1007",2
"Twinfield_V31_2016.xaf-1020",3
