Source.Name,custSupID,custSupName,taxRegistrationCountry,custSupTp,bankAccNr,bankIdCd,Bank_Country,Afwijkende Landcode
"ExactOnline_V32_2016.xaf","10","Belastingdienst","NL","S","2445588","PSTBNL21","24","1"
"ExactOnline_V32_2016.xaf","14","Exact Software Nederland B.V.","NL","S","0500453233","ABNANL2A","05","1"
"ExactOnline_V32_2016.xaf","17","Picasso","NL","S","0123456789","INGBNL2A","01","1"
"ExactOnline_V32_2016.xaf","18","Rakers Sport B.V.","NL","S","0123456789","","01","1"
"Multivers_V32_2017.xaf","D1001","Van Bekkerem B.V.","NL","","0343022443","DORDRECHT","03","1"
"Multivers_V32_2017.xaf","D1002","Fa. Brokma Blokhutten v/h Gebr. Brokma","NL","","102028","LEIDEN","10","1"
"Multivers_V32_2017.xaf","D1003","Van Haaften International B.V.","NL","","0159202078","HILVERSUM","01","1"
"Multivers_V32_2017.xaf","D1006","Tuinwereld Van Schaik B.V.","NL","","415779464","DEN OSSE","41","1"
"Multivers_V32_2017.xaf","D1007","Van Dongen Interieurbeplanting","NL","","1212444","VOORHOUT","12","1"
"Multivers_V32_2017.xaf","D1008","Hoveniersbedrijf Knol B.V.","NL","","0123456789","DORDRECHT","01","1"
"Multivers_V32_2017.xaf","D1010","Van Onna Groenvoorziening B.V.","NL","","0415779464","DORDRECHT","04","1"
"Multivers_V32_2017.xaf","D1012","Gemeente IJsselstein","NL","","6543210","IJSSELSTEIN","65","1"
"Multivers_V32_2017.xaf","D1013","Inkoopcombinatie CO-OP","NL","","43210","ASPEREN","43","1"
"Multivers_V32_2017.xaf","D1014","Steenplaza F. de Vries","NL","","0105995207","AMSTERDAM","01","1"
"Multivers_V32_2017.xaf","C7001","Cornel's Tuinartikelen","NL","","0415779456","DOETINCHEM","04","1"
"Multivers_V32_2017.xaf","C7002","Firma Jansen en de Witte Marketing","NL","","325582564","AMSTERDAM","32","1"
"Multivers_V32_2017.xaf","C7005","L. de Lange Aardewerk","NL","","0676510736","VEENENDAAL","06","1"
"Multivers_V32_2017.xaf","C7006","Gemeentelijk Energiebedrijf","NL","","0361723881","DORDRECHT","03","1"
"Multivers_V32_2017.xaf","C7007","Onderhoudsbedrijf S.S.N. Bouw B.V.","NL","","0395305632","SCHIEDAM","03","1"
"Multivers_V32_2017.xaf","C7007","Onderhoudsbedrijf S.S.N. Bouw B.V.","NL","","0400598698","SCHIEDAM","04","1"
"Multivers_V32_2017.xaf","C7008","Firma Muller's Kantoorbenodigdheden","NL","","0508680255","ZWIJNDRECHT","05","1"
"Multivers_V32_2017.xaf","C7009","Vogelaar Elektronica B.V.","NL","","0129729183","NUMANSDORP","01","1"
"Multivers_V32_2017.xaf","C7011","Janssens & Zn B.V. Plantenkwekerij","NL","","0161045359","ZWIJNDRECHT","01","1"
"Multivers_V32_2017.xaf","C7012","Unit4 Business Software B.V.","NL","","0661262286","SLIEDRECHT","06","1"
"Multivers_V32_2017.xaf","C7013","Ass.kantoor """"OP GOED GELUK""""","NL","","0123456789","DEDEMSVAART","01","1"
"Multivers_V32_2017.xaf","C7014","De Terrafirm B.V.","NL","","0357241088","RIDDERKERK","03","1"
"Twinfield_V31_2016.xaf","2000","Jab Gordijnstoffen","NL","S","4653","INGBNL2A","46","1"
"Twinfield_V31_2016.xaf","2002","Ploeg","NL","S","23456","INGBNL2A","23","1"
"Twinfield_V31_2016.xaf","2003","Beco Adviesgroep","NL","S","345678","INGBNL2A","34","1"
"Twinfield_V31_2016.xaf","2004","Leolux","NL","S","56789","INGBNL2A","56","1"
"Twinfield_V31_2016.xaf","2005","DeSede","NL","S","7787661","INGBNL2A","77","1"
"Twinfield_V31_2016.xaf","2006","Rolf Benz","NL","S","7890123","INGBNL2A","78","1"
"Twinfield_V31_2016.xaf","2007","Pastoe","NL","S","7787667","INGBNL2A","77","1"
"Twinfield_V31_2016.xaf","2008","Banzbord","NL","S","901234567","SNSBNL2A","90","1"
"Twinfield_V31_2016.xaf","2009","Lumina","NL","S","8520147","INGBNL2A","85","1"
"Twinfield_V31_2016.xaf","2011","Hülsta","NL","S","8916158","INGBNL2A","89","1"
"Twinfield_V31_2016.xaf","2012","Auping","NL","S","5645125","INGBNL2A","56","1"
"Twinfield_V31_2016.xaf","2013","Artemide","NL","S","891","INGBNL2A","89","1"
"Twinfield_V31_2016.xaf","2014","Blommesteijn","NL","S","778766","INGBNL2A","77","1"
"Twinfield_V31_2016.xaf","2015","Makelaardij Gerwich","NL","S","8978988","INGBNL2A","89","1"
"Twinfield_V31_2016.xaf","2016","KPN","NL","S","162522","","16","1"
"Twinfield_V31_2016.xaf","2017","Twinfield","NL","S","663503620","INGBNL2A","66","1"
"Twinfield_V31_2016.xaf","2018","Eijkelenboom","NL","S","34568","INGBNL2A","34","1"
"Twinfield_V31_2016.xaf","2019","Heuvel BV","NL","S","1296471","INGBNL2A","12","1"
"Twinfield_V31_2016.xaf","2020","Franken","NL","S","465345","INGBNL2A","46","1"
"Twinfield_V31_2016.xaf","2021","Brainwave","NL","S","370137361","","37","1"
"Twinfield_V31_2016.xaf","2022","Garagebedrijf Poortman","NL","S","65482","INGBNL2A","65","1"
"Twinfield_V31_2016.xaf","2023","Autototaal Car Lease","NL","S","989898","INGBNL2A","98","1"
"Twinfield_V31_2016.xaf","2024","Van den Berg B.V.","NL","S","799545","INGBNL2A","79","1"
"Twinfield_V31_2016.xaf","2025","Jansen","NL","S","32541","INGBNL2A","32","1"
"Twinfield_V31_2016.xaf","2026","Nyenrode","NL","S","12345","INGBNL2A","12","1"
"Twinfield_V31_2016.xaf","2027","Rosenthal Assurantiën","NL","S","25789","INGBNL2A","25","1"
"Twinfield_V31_2016.xaf","2028","Verwoerdt BV","NL","S","410184","INGBNL2A","41","1"
"Twinfield_V31_2016.xaf","2029","Reeds Elsevier","NL","S","585858","INGBNL2A","58","1"
"Twinfield_V31_2016.xaf","2030","Makro Online","NL","S","4101202","INGBNL2A","41","1"
"Twinfield_V31_2016.xaf","2031","Artanis BV","NL","S","129535","INGBNL2A","12","1"
"Twinfield_V31_2016.xaf","2032","Samsung","NL","S","653768","INGBNL2A","65","1"
"Twinfield_V31_2016.xaf","2033","Van Heydenrijk","NL","S","635767","INGBNL2A","63","1"
"Twinfield_V31_2016.xaf","2034","Douwe Egberts","NL","S","4563627","INGBNL2A","45","1"
"Twinfield_V31_2016.xaf","2035","Zaffa Records","NL","S","410184152","ABNANL2A","41","1"
"Twinfield_V31_2016.xaf","2037","Apple","NL","S","7678368","INGBNL2A","76","1"
"Twinfield_V31_2016.xaf","2038","Chesterfield","NL","S","123454","INGBNL2A","12","1"
"Twinfield_V31_2016.xaf","2039","Klasema","NL","S","676543","INGBNL2A","67","1"
