Source.Name,nr,jrnID,trNr,trLineNr,desc,amnt,amntTp,docRef,custSupID,invRef,invPurSalTp,invTp,invDt,mutTp,invDueDt,Debet,Credit,Link_CustSupl,Link_Journal
"Twinfield_V31_2016.xaf","1","BNK","201600001","2","",2653,"C","201600001","1000","","","",,"P",,0,2653,"Twinfield_V31_2016.xaf-1000","Twinfield_V31_2016.xaf-BNK"
"Twinfield_V31_2016.xaf","1","JAAREIND-BAL","36","45","Jaarafsluiting 2015",23176.19,"C","36","2000","","","",,"Z",,0,23176.19,"Twinfield_V31_2016.xaf-2000","Twinfield_V31_2016.xaf-JAAREIND-BAL"
"Twinfield_V31_2016.xaf","1","JAAREIND-BAL","36","46","Jaarafsluiting 2015",11221.88,"C","36","2001","","","",,"Z",,0,11221.88,"Twinfield_V31_2016.xaf-2001","Twinfield_V31_2016.xaf-JAAREIND-BAL"
"Twinfield_V31_2016.xaf","1","JAAREIND-BAL","36","47","Jaarafsluiting 2015",30410.71,"C","36","2002","","","",,"Z",,0,30410.71,"Twinfield_V31_2016.xaf-2002","Twinfield_V31_2016.xaf-JAAREIND-BAL"
"Twinfield_V31_2016.xaf","1","JAAREIND-BAL","36","48","Jaarafsluiting 2015",45992.64,"C","36","2003","","","",,"Z",,0,45992.64,"Twinfield_V31_2016.xaf-2003","Twinfield_V31_2016.xaf-JAAREIND-BAL"
"Twinfield_V31_2016.xaf","1","JAAREIND-BAL","36","49","Jaarafsluiting 2015",48291.41,"C","36","2004","","","",,"Z",,0,48291.41,"Twinfield_V31_2016.xaf-2004","Twinfield_V31_2016.xaf-JAAREIND-BAL"
"Twinfield_V31_2016.xaf","1","JAAREIND-BAL","36","50","Jaarafsluiting 2015",153730.79,"C","36","2005","","","",,"Z",,0,153730.79,"Twinfield_V31_2016.xaf-2005","Twinfield_V31_2016.xaf-JAAREIND-BAL"
"Twinfield_V31_2016.xaf","1","JAAREIND-BAL","36","51","Jaarafsluiting 2015",41035.38,"C","36","2006","","","",,"Z",,0,41035.38,"Twinfield_V31_2016.xaf-2006","Twinfield_V31_2016.xaf-JAAREIND-BAL"
"Twinfield_V31_2016.xaf","1","JAAREIND-BAL","36","52","Jaarafsluiting 2015",37941.18,"C","36","2007","","","",,"Z",,0,37941.18,"Twinfield_V31_2016.xaf-2007","Twinfield_V31_2016.xaf-JAAREIND-BAL"
"Twinfield_V31_2016.xaf","1","JAAREIND-BAL","36","53","Jaarafsluiting 2015",9664.74,"C","36","2008","","","",,"Z",,0,9664.74,"Twinfield_V31_2016.xaf-2008","Twinfield_V31_2016.xaf-JAAREIND-BAL"
"Twinfield_V31_2016.xaf","1","JAAREIND-BAL","36","54","Jaarafsluiting 2015",8647.08,"C","36","2009","","","",,"Z",,0,8647.08,"Twinfield_V31_2016.xaf-2009","Twinfield_V31_2016.xaf-JAAREIND-BAL"
