Source.Name,periodNumber,startDatePeriod,endDatePeriod,periodDesc,startTimePeriod,endTimePeriod,Link
"ExactOnline_V32_2016.xaf","1",2016-01-01 00:00:00.000,2016-01-31 00:00:00.000,"","","","ExactOnline_V32_2016.xaf-1"
"ExactOnline_V32_2016.xaf","2",2016-02-01 00:00:00.000,2016-02-29 00:00:00.000,"","","","ExactOnline_V32_2016.xaf-2"
"ExactOnline_V32_2016.xaf","3",2016-03-01 00:00:00.000,2016-03-31 00:00:00.000,"","","","ExactOnline_V32_2016.xaf-3"
"ExactOnline_V32_2016.xaf","4",2016-04-01 00:00:00.000,2016-04-30 00:00:00.000,"","","","ExactOnline_V32_2016.xaf-4"
"ExactOnline_V32_2016.xaf","5",2016-05-01 00:00:00.000,2016-05-31 00:00:00.000,"","","","ExactOnline_V32_2016.xaf-5"
"ExactOnline_V32_2016.xaf","6",2016-06-01 00:00:00.000,2016-06-30 00:00:00.000,"","","","ExactOnline_V32_2016.xaf-6"
"ExactOnline_V32_2016.xaf","7",2016-07-01 00:00:00.000,2016-07-31 00:00:00.000,"","","","ExactOnline_V32_2016.xaf-7"
"ExactOnline_V32_2016.xaf","8",2016-08-01 00:00:00.000,2016-08-31 00:00:00.000,"","","","ExactOnline_V32_2016.xaf-8"
"ExactOnline_V32_2016.xaf","9",2016-09-01 00:00:00.000,2016-09-30 00:00:00.000,"","","","ExactOnline_V32_2016.xaf-9"
"ExactOnline_V32_2016.xaf","10",2016-10-01 00:00:00.000,2016-10-31 00:00:00.000,"","","","ExactOnline_V32_2016.xaf-10"
"ExactOnline_V32_2016.xaf","11",2016-11-01 00:00:00.000,2016-11-30 00:00:00.000,"","","","ExactOnline_V32_2016.xaf-11"
"ExactOnline_V32_2016.xaf","12",2016-12-01 00:00:00.000,2016-12-31 00:00:00.000,"","","","ExactOnline_V32_2016.xaf-12"
"Multivers_V32_2017.xaf","1",2017-01-01 00:00:00.000,2017-01-31 00:00:00.000,"","00:00:00+00:00","23:59:59+00:00","Multivers_V32_2017.xaf-1"
"Multivers_V32_2017.xaf","2",2017-02-01 00:00:00.000,2017-02-28 00:00:00.000,"","00:00:00+00:00","23:59:59+00:00","Multivers_V32_2017.xaf-2"
"Multivers_V32_2017.xaf","3",2017-03-01 00:00:00.000,2017-03-31 00:00:00.000,"","00:00:00+00:00","23:59:59+00:00","Multivers_V32_2017.xaf-3"
"Multivers_V32_2017.xaf","4",2017-04-01 00:00:00.000,2017-04-30 00:00:00.000,"","00:00:00+00:00","23:59:59+00:00","Multivers_V32_2017.xaf-4"
"Multivers_V32_2017.xaf","5",2017-05-01 00:00:00.000,2017-05-31 00:00:00.000,"","00:00:00+00:00","23:59:59+00:00","Multivers_V32_2017.xaf-5"
"Multivers_V32_2017.xaf","6",2017-06-01 00:00:00.000,2017-06-30 00:00:00.000,"","00:00:00+00:00","23:59:59+00:00","Multivers_V32_2017.xaf-6"
"Multivers_V32_2017.xaf","7",2017-07-01 00:00:00.000,2017-07-31 00:00:00.000,"","00:00:00+00:00","23:59:59+00:00","Multivers_V32_2017.xaf-7"
"Multivers_V32_2017.xaf","8",2017-08-01 00:00:00.000,2017-08-31 00:00:00.000,"","00:00:00+00:00","23:59:59+00:00","Multivers_V32_2017.xaf-8"
"Multivers_V32_2017.xaf","9",2017-09-01 00:00:00.000,2017-09-30 00:00:00.000,"","00:00:00+00:00","23:59:59+00:00","Multivers_V32_2017.xaf-9"
"Multivers_V32_2017.xaf","10",2017-10-01 00:00:00.000,2017-10-31 00:00:00.000,"","00:00:00+00:00","23:59:59+00:00","Multivers_V32_2017.xaf-10"
"Multivers_V32_2017.xaf","11",2017-11-01 00:00:00.000,2017-11-30 00:00:00.000,"","00:00:00+00:00","23:59:59+00:00","Multivers_V32_2017.xaf-11"
"Multivers_V32_2017.xaf","12",2017-12-01 00:00:00.000,2017-12-31 00:00:00.000,"","00:00:00+00:00","23:59:59+00:00","Multivers_V32_2017.xaf-12"
