Source.Name,accID,accDesc,accTp,leadCode,leadDescription,leadReference,Link
"Twinfield_V31_2016.xaf","4000","Salaris","P","","","","Twinfield_V31_2016.xaf-4000"
"Twinfield_V31_2016.xaf","4004","Bonussen/gratificaties","P","","","","Twinfield_V31_2016.xaf-4004"
"Twinfield_V31_2016.xaf","4006","vakantiegeld","P","","","","Twinfield_V31_2016.xaf-4006"
"Twinfield_V31_2016.xaf","4008","Overhevelingstoeslag","P","","","","Twinfield_V31_2016.xaf-4008"
"Twinfield_V31_2016.xaf","4009","Overige kosten","P","","","","Twinfield_V31_2016.xaf-4009"
"Twinfield_V31_2016.xaf","4010","Ontvangen ziekengeld","P","","","","Twinfield_V31_2016.xaf-4010"
"Twinfield_V31_2016.xaf","4030","Sociale lasten","P","","","","Twinfield_V31_2016.xaf-4030"
"Twinfield_V31_2016.xaf","4032","Ingehouden sociale lasten","P","","","","Twinfield_V31_2016.xaf-4032"
"Twinfield_V31_2016.xaf","4034","Pensioenpremie","P","","","","Twinfield_V31_2016.xaf-4034"
"Twinfield_V31_2016.xaf","4036","Eigen bijdr.pensioen","P","","","","Twinfield_V31_2016.xaf-4036"
"Twinfield_V31_2016.xaf","4042","WAO-gat premie","P","","","","Twinfield_V31_2016.xaf-4042"
"Twinfield_V31_2016.xaf","4044","Eigen bijdr. WAO-gat pr.","P","","","","Twinfield_V31_2016.xaf-4044"
"Twinfield_V31_2016.xaf","4046","VUT-premie","P","","","","Twinfield_V31_2016.xaf-4046"
"Twinfield_V31_2016.xaf","4048","Eigen bijdr. VUT-premie","P","","","","Twinfield_V31_2016.xaf-4048"
"Twinfield_V31_2016.xaf","4050","Verzekering ziektewet","P","","","","Twinfield_V31_2016.xaf-4050"
"Twinfield_V31_2016.xaf","4055","Verzekering ziektewet deel 1","P","","","","Twinfield_V31_2016.xaf-4055"
"Twinfield_V31_2016.xaf","4060","Kosten spaarloon","P","","","","Twinfield_V31_2016.xaf-4060"
"Twinfield_V31_2016.xaf","4062","Kosten premiespaarloon","P","","","","Twinfield_V31_2016.xaf-4062"
"Twinfield_V31_2016.xaf","4064","Onbel.onkostenvergoeding","P","","","","Twinfield_V31_2016.xaf-4064"
"Twinfield_V31_2016.xaf","4066","Onbelaste uitkeringen","P","","","","Twinfield_V31_2016.xaf-4066"
"Twinfield_V31_2016.xaf","4072","Kosten arbodienst","P","","","","Twinfield_V31_2016.xaf-4072"
"Twinfield_V31_2016.xaf","4074","Personeelskosten","P","","","","Twinfield_V31_2016.xaf-4074"
"Twinfield_V31_2016.xaf","4080","Onbelaste reiskstvergoed.","P","","","","Twinfield_V31_2016.xaf-4080"
"Twinfield_V31_2016.xaf","4082","Belaste reiskstvergoeding","P","","","","Twinfield_V31_2016.xaf-4082"
"Twinfield_V31_2016.xaf","4084","Reiskosten woon-werk","P","","","","Twinfield_V31_2016.xaf-4084"
"Twinfield_V31_2016.xaf","4086","Kilometervergoedingen","P","","","","Twinfield_V31_2016.xaf-4086"
"Twinfield_V31_2016.xaf","4088","Kosten overnachtingen","P","","","","Twinfield_V31_2016.xaf-4088"
"Twinfield_V31_2016.xaf","4092","Overige reis & verblijfk.","P","","","","Twinfield_V31_2016.xaf-4092"
"Twinfield_V31_2016.xaf","4100","Huur","P","","","","Twinfield_V31_2016.xaf-4100"
"Twinfield_V31_2016.xaf","4105","Onderhoud terrein","P","","","","Twinfield_V31_2016.xaf-4105"
"Twinfield_V31_2016.xaf","4110","Onderhoud gebouwen","P","","","","Twinfield_V31_2016.xaf-4110"
"Twinfield_V31_2016.xaf","4120","Gas/water/electriciteit","P","","","","Twinfield_V31_2016.xaf-4120"
"Twinfield_V31_2016.xaf","4130","Zakelijke belastingen","P","","","","Twinfield_V31_2016.xaf-4130"
"Twinfield_V31_2016.xaf","4135","Verzekeringen onr.goed","P","","","","Twinfield_V31_2016.xaf-4135"
"Twinfield_V31_2016.xaf","4140","Schoonmaakkosten","P","","","","Twinfield_V31_2016.xaf-4140"
"Twinfield_V31_2016.xaf","4145","Kantinekosten","P","","","","Twinfield_V31_2016.xaf-4145"
"Twinfield_V31_2016.xaf","4150","Onderhoud inventaris","P","","","","Twinfield_V31_2016.xaf-4150"
"Twinfield_V31_2016.xaf","4160","Overige huisvestingskst","P","","","","Twinfield_V31_2016.xaf-4160"
"Twinfield_V31_2016.xaf","4305","Reclame/advertenties","P","","","","Twinfield_V31_2016.xaf-4305"
"Twinfield_V31_2016.xaf","4320","Representatiekosten","P","","","","Twinfield_V31_2016.xaf-4320"
"Twinfield_V31_2016.xaf","4330","Relatiegeschenken","P","","","","Twinfield_V31_2016.xaf-4330"
"Twinfield_V31_2016.xaf","4340","Overige verkoopkosten","P","","","","Twinfield_V31_2016.xaf-4340"
"Twinfield_V31_2016.xaf","4660","Autokosten","P","","","","Twinfield_V31_2016.xaf-4660"
"Twinfield_V31_2016.xaf","4661","Parkeerkosten","P","","","","Twinfield_V31_2016.xaf-4661"
"Twinfield_V31_2016.xaf","4664","Brandstofkosten","P","","","","Twinfield_V31_2016.xaf-4664"
"Twinfield_V31_2016.xaf","4665","Leasekosten","P","","","","Twinfield_V31_2016.xaf-4665"
"Twinfield_V31_2016.xaf","4670","Boetes","P","","","","Twinfield_V31_2016.xaf-4670"
"Twinfield_V31_2016.xaf","4700","Afschr kstn goodwill","P","","","","Twinfield_V31_2016.xaf-4700"
"Twinfield_V31_2016.xaf","4705","Testrekening waalre","P","","","","Twinfield_V31_2016.xaf-4705"
"Twinfield_V31_2016.xaf","4710","Afschr kstn gebouwen","P","","","","Twinfield_V31_2016.xaf-4710"
"Twinfield_V31_2016.xaf","4720","Afschr kstn verbouwing","P","","","","Twinfield_V31_2016.xaf-4720"
"Twinfield_V31_2016.xaf","4730","Afschr kstn machines","P","","","","Twinfield_V31_2016.xaf-4730"
"Twinfield_V31_2016.xaf","4740","Afschr kstn gereedschap","P","","","","Twinfield_V31_2016.xaf-4740"
"Twinfield_V31_2016.xaf","4750","Afschr kstn inventaris","P","","","","Twinfield_V31_2016.xaf-4750"
"Twinfield_V31_2016.xaf","4760","Afschr kstn computers","P","","","","Twinfield_V31_2016.xaf-4760"
"Twinfield_V31_2016.xaf","4770","Afschr kstn transportmid.","P","","","","Twinfield_V31_2016.xaf-4770"
"Twinfield_V31_2016.xaf","4800","Kantoorartikelen","P","","","","Twinfield_V31_2016.xaf-4800"
"Twinfield_V31_2016.xaf","4805","Drukwerk/papier","P","","","","Twinfield_V31_2016.xaf-4805"
"Twinfield_V31_2016.xaf","4820","Abonnementen","P","","","","Twinfield_V31_2016.xaf-4820"
"Twinfield_V31_2016.xaf","4825","Contributies en bijdragen","P","","","","Twinfield_V31_2016.xaf-4825"
"Twinfield_V31_2016.xaf","4830","Telefoon- en faxkosten","P","","","","Twinfield_V31_2016.xaf-4830"
"Twinfield_V31_2016.xaf","4835","Internetkosten","P","","","","Twinfield_V31_2016.xaf-4835"
"Twinfield_V31_2016.xaf","4840","Verzendkosten","P","","","","Twinfield_V31_2016.xaf-4840"
"Twinfield_V31_2016.xaf","4845","Opleidingen en studiematerialen","P","","","","Twinfield_V31_2016.xaf-4845"
"Twinfield_V31_2016.xaf","4852","Verzekeringen algemeen","P","","","","Twinfield_V31_2016.xaf-4852"
"Twinfield_V31_2016.xaf","4854","Accountantskosten","P","","","","Twinfield_V31_2016.xaf-4854"
"Twinfield_V31_2016.xaf","4855","Oprichtingskosten","P","","","","Twinfield_V31_2016.xaf-4855"
"Twinfield_V31_2016.xaf","4856","Advieskosten","P","","","","Twinfield_V31_2016.xaf-4856"
"Twinfield_V31_2016.xaf","4858","Dotatie voorz.dub.deb.","P","","","","Twinfield_V31_2016.xaf-4858"
"Twinfield_V31_2016.xaf","4868","Automatiseringskosten","P","","","","Twinfield_V31_2016.xaf-4868"
"Twinfield_V31_2016.xaf","4875","Overige kantoorkosten","P","","","","Twinfield_V31_2016.xaf-4875"
"Twinfield_V31_2016.xaf","4885","Overige algemene kosten","P","","","","Twinfield_V31_2016.xaf-4885"
"Twinfield_V31_2016.xaf","5500","Ov. consumpwerknemers (buiten werkplek)","P","","","","Twinfield_V31_2016.xaf-5500"
"Twinfield_V31_2016.xaf","5550","Verteer werknemers op werkplek (geen maa","P","","","","Twinfield_V31_2016.xaf-5550"
"Twinfield_V31_2016.xaf","5700","Maaltijden met zakelijke relaties","P","","","","Twinfield_V31_2016.xaf-5700"
"Twinfield_V31_2016.xaf","7110","Inkoop banken","P","","","","Twinfield_V31_2016.xaf-7110"
"Twinfield_V31_2016.xaf","7115","Inkoop kasten","P","","","","Twinfield_V31_2016.xaf-7115"
"Twinfield_V31_2016.xaf","7120","Inkoop lampen","P","","","","Twinfield_V31_2016.xaf-7120"
"Twinfield_V31_2016.xaf","7125","Inkoop overig","P","","","","Twinfield_V31_2016.xaf-7125"
"Twinfield_V31_2016.xaf","7130","Inkoop bedden","P","","","","Twinfield_V31_2016.xaf-7130"
"Twinfield_V31_2016.xaf","8010","Omzet waterbedden","P","","","","Twinfield_V31_2016.xaf-8010"
"Twinfield_V31_2016.xaf","8020","Omzet kasten","P","","","","Twinfield_V31_2016.xaf-8020"
"Twinfield_V31_2016.xaf","8022","Omzet zitmeubelen","P","","","","Twinfield_V31_2016.xaf-8022"
"Twinfield_V31_2016.xaf","8024","Omzet verlichting","P","","","","Twinfield_V31_2016.xaf-8024"
"Twinfield_V31_2016.xaf","8026","Omzet overige","P","","","","Twinfield_V31_2016.xaf-8026"
