Source.Name,jrnID,desc,jrnTp,offsetAccID,bankAccNr,Link
"ExactOnline_V32_2016.xaf","10","Kasboek","C","1000","","ExactOnline_V32_2016.xaf-10"
"ExactOnline_V32_2016.xaf","20","Bankboek","B","1100","1111111111","ExactOnline_V32_2016.xaf-20"
"ExactOnline_V32_2016.xaf","21","473677091","B","1101","473677091","ExactOnline_V32_2016.xaf-21"
"ExactOnline_V32_2016.xaf","22","bank test","B","1102","0444144803","ExactOnline_V32_2016.xaf-22"
"ExactOnline_V32_2016.xaf","60","Inkoopboek","P","1600","","ExactOnline_V32_2016.xaf-60"
"ExactOnline_V32_2016.xaf","70","Verkoopboek","S","1300","","ExactOnline_V32_2016.xaf-70"
"ExactOnline_V32_2016.xaf","90","Memoriaal","M","","","ExactOnline_V32_2016.xaf-90"
"ExactOnline_V32_2016.xaf","95","Activamutaties","M","","","ExactOnline_V32_2016.xaf-95"
"Multivers_V32_2017.xaf","A","Activadagboek","Z","2017","","Multivers_V32_2017.xaf-A"
"Multivers_V32_2017.xaf","AA","ABN AMRO BANK","B","1200","614973465","Multivers_V32_2017.xaf-AA"
"Multivers_V32_2017.xaf","I","Inkoopboek","P","7090","","Multivers_V32_2017.xaf-I"
"Multivers_V32_2017.xaf","ING","ING BANK","B","1110","661262286","Multivers_V32_2017.xaf-ING"
"Multivers_V32_2017.xaf","IO","Inkooporders","P","3090","","Multivers_V32_2017.xaf-IO"
"Multivers_V32_2017.xaf","K","Kasboek","C","1000","","Multivers_V32_2017.xaf-K"
"Multivers_V32_2017.xaf","M","Memoriaalboek","M","2000","","Multivers_V32_2017.xaf-M"
"Multivers_V32_2017.xaf","MPR","Memoriaal Projecten","M","2000","","Multivers_V32_2017.xaf-MPR"
"Multivers_V32_2017.xaf","V","Verkoopboek","S","8090","","Multivers_V32_2017.xaf-V"
"Multivers_V32_2017.xaf","VGO","Voorraad goederenontvangst","Z","2020","","Multivers_V32_2017.xaf-VGO"
"Multivers_V32_2017.xaf","VMU","Voorraadmutaties","Z","2020","","Multivers_V32_2017.xaf-VMU"
"Twinfield_V31_2016.xaf","ACTIVA","Activa","Z","","","Twinfield_V31_2016.xaf-ACTIVA"
"Twinfield_V31_2016.xaf","BNK","ABN-Amro","B","1015","123456789","Twinfield_V31_2016.xaf-BNK"
"Twinfield_V31_2016.xaf","INK","Inkoopfactuur","P","","","Twinfield_V31_2016.xaf-INK"
"Twinfield_V31_2016.xaf","JAAREIND-BAL","Jaarafsluiting","O","","","Twinfield_V31_2016.xaf-JAAREIND-BAL"
"Twinfield_V31_2016.xaf","KAS","Kas","C","1000","","Twinfield_V31_2016.xaf-KAS"
"Twinfield_V31_2016.xaf","MEMO","test_journal","M","","","Twinfield_V31_2016.xaf-MEMO"
"Twinfield_V31_2016.xaf","SALARIS","Salarissen","Y","","","Twinfield_V31_2016.xaf-SALARIS"
"Twinfield_V31_2016.xaf","VJP","Voorafgaande Journaalposten","Z","","","Twinfield_V31_2016.xaf-VJP"
"Twinfield_V31_2016.xaf","VRK","Verkoopfactuur","S","","","Twinfield_V31_2016.xaf-VRK"
"XmlAuditfileFinancieel3.2_test.xaf","String","String","B","String","String","XmlAuditfileFinancieel3.2_test.xaf-String"
