Week number,Unnamed: 1,variable,value
Week ended,,1,2019-01-04 00:00:00.000
"Total deaths, all ages",,1,10955
Total deaths: average of corresponding,,1,12273
Week ended,,2,2019-01-11 00:00:00.000
"Total deaths, all ages",,2,12609
Total deaths: average of corresponding,,2,13670
Week ended,,3,2019-01-18 00:00:00.000
"Total deaths, all ages",,3,11860
Total deaths: average of corresponding,,3,13056
Week ended,,4,2019-01-25 00:00:00.000
"Total deaths, all ages",,4,11740
Total deaths: average of corresponding,,4,12486
Week ended,,5,2019-02-01 00:00:00.000
"Total deaths, all ages",,5,11297
Total deaths: average of corresponding,,5,11998
Week ended,,6,2019-02-08 00:00:00.000
"Total deaths, all ages",,6,11660
Total deaths: average of corresponding,,6,11623
Week ended,,7,2019-02-15 00:00:00.000
"Total deaths, all ages",,7,11824
Total deaths: average of corresponding,,7,11301
Week ended,,8,2019-02-22 00:00:00.000
"Total deaths, all ages",,8,11295
Total deaths: average of corresponding,,8,11383
Week ended,,9,2019-03-01 00:00:00.000
"Total deaths, all ages",,9,11044
Total deaths: average of corresponding,,9,11051
Week ended,,10,2019-03-08 00:00:00.000
"Total deaths, all ages",,10,10898
Total deaths: average of corresponding,,10,11286
Week ended,,11,2019-03-15 00:00:00.000
"Total deaths, all ages",,11,10567
Total deaths: average of corresponding,,11,11095
Week ended,,12,2019-03-22 00:00:00.000
"Total deaths, all ages",,12,10402
Total deaths: average of corresponding,,12,10456
Week ended,,13,2019-03-29 00:00:00.000
"Total deaths, all ages",,13,9867
Total deaths: average of corresponding,,13,10076
Week ended,,14,2019-04-05 00:00:00.000
"Total deaths, all ages",,14,10126
Total deaths: average of corresponding,,14,10268
Week ended,,15,2019-04-12 00:00:00.000
"Total deaths, all ages",,15,10291
Total deaths: average of corresponding,,15,10362
Week ended,,16,2019-04-19 00:00:00.000
"Total deaths, all ages",,16,9025
Total deaths: average of corresponding,,16,10291
Week ended,,17,2019-04-26 00:00:00.000
"Total deaths, all ages",,17,10059
Total deaths: average of corresponding,,17,10317
Week ended,,18,2019-05-03 00:00:00.000
"Total deaths, all ages",,18,11207
Total deaths: average of corresponding,,18,9804
Week ended,,19,2019-05-10 00:00:00.000
"Total deaths, all ages",,19,9055
Total deaths: average of corresponding,,19,9488
Week ended,,20,2019-05-17 00:00:00.000
"Total deaths, all ages",,20,10272
Total deaths: average of corresponding,,20,10036
Week ended,,21,2019-05-24 00:00:00.000
"Total deaths, all ages",,21,10284
