%manager_id,GW,GW_points,benched_points,gw_rank,transfers,hits,total_points,overall_rank,team_value,Chips Used,bulk_rank
1174308,3,71,2,616314,1,0,273,2903,101.1,"","Top 10k"
1174308,5,66,3,1641766,1,0,413,1698,101.3,"","Top 10k"
1174308,7,48,8,1510840,1,0,508,3401,101.9,"","Top 10k"
1174308,9,105,19,226128,1,0,680,744,101.7,"","Top 10k"
1174308,11,65,27,337277,1,0,798,1145,102.7,"","Top 10k"
1174308,13,54,0,1968491,1,0,922,2356,103.8,"","Top 10k"
1174308,14,60,3,4502702,1,0,982,3810,104.1,"","Top 10k"
1174308,17,69,0,436330,1,0,1183,1065,104.5,"","Top 10k"
1174308,18,48,0,2708723,1,0,1231,2663,104.6,"","Top 10k"
1174308,22,100,3,43214,1,0,1503,657,104.2,"","Top 10k"
1174308,23,40,9,2699191,1,0,1543,475,104.5,"","Top 10k"
272984,3,68,7,1009652,1,0,224,714289,100.7,"","Top 1mil"
272984,6,42,10,4398230,1,0,415,259729,101.1,"","Top 1mil"
272984,10,51,9,2053587,1,0,626,578583,101.6,"","Top 1mil"
272984,13,75,4,86393,1,0,874,45509,102.5,"","Top 100k"
272984,15,54,4,1464746,1,0,1004,22251,103.1,"","Top 100k"
272984,16,57,0,4194010,1,0,1061,39680,103.4,"","Top 100k"
272984,19,77,0,57733,1,0,1274,4771,103.7,"","Top 10k"
272984,21,77,9,646351,1,0,1414,1929,103.6,"","Top 10k"
272984,23,31,6,5878282,1,0,1517,2111,104.4,"","Top 10k"
272984,24,72,7,1358480,1,0,1589,2230,104.8,"","Top 10k"
272984,25,74,8,446544,1,0,1663,1937,104.9,"","Top 10k"
49759,3,59,2,2879489,1,0,239,281624,100.6,"","Top 1mil"
49759,10,47,6,2976152,1,0,651,244952,101.9,"","Top 1mil"
49759,21,83,19,333583,1,0,1353,33283,103.5,"","Top 100k"
49759,22,67,3,1524118,1,0,1420,29925,103.9,"","Top 100k"
49759,24,76,8,964212,1,0,1543,16999,104.9,"","Top 100k"
49759,25,62,0,1620542,1,0,1605,21096,105.1,"","Top 100k"
2015160,3,65,2,1550352,1,0,252,79253,101.2,"","Top 100k"
2015160,5,65,1,1827773,1,0,375,152995,101,"","Top 1mil"
2015160,6,54,5,1234136,1,0,429,108494,101.5,"","Top 1mil"
2015160,10,57,22,1045026,1,0,667,118771,103.4,"","Top 1mil"
2015160,11,60,19,730607,1,0,727,107670,103.4,"","Top 1mil"
2015160,16,78,8,667418,1,0,1037,108089,104.7,"","Top 1mil"
2015160,17,60,0,1408904,1,0,1097,107786,105.1,"","Top 1mil"
2015160,18,65,0,504684,1,0,1162,77381,105.1,"","Top 100k"
2015160,20,53,0,1014051,1,0,1269,46191,105.2,"","Top 100k"
2015160,21,67,6,1245957,1,0,1336,58487,105.1,"","Top 100k"
2015160,23,32,12,5515537,1,0,1463,22559,106.1,"","Top 100k"
2015160,24,68,4,1798800,1,0,1531,26136,106.2,"","Top 100k"
2015160,25,73,1,507733,1,0,1604,21857,106.2,"","Top 100k"
2015160,27,46,0,1507853,1,0,1769,33101,105.6,"","Top 100k"
1767909,3,65,1,1550352,1,0,234,402068,100.6,"","Top 1mil"
1767909,4,64,7,2458411,1,0,298,386083,100.5,"","Top 1mil"
1767909,8,50,1,4154425,1,0,511,329200,101.5,"","Top 1mil"
1767909,9,94,17,794404,1,0,605,225059,101.9,"","Top 1mil"
1767909,12,78,2,681566,1,0,780,209226,103,"","Top 1mil"
1767909,15,47,4,3170980,1,0,956,166695,104,"","Top 1mil"
1767909,17,49,0,3676918,1,0,1075,204699,104.5,"","Top 1mil"
1767909,22,55,3,3545871,1,0,1383,88864,104.4,"","Top 100k"
1767909,25,82,2,129312,1,0,1569,60936,105.3,"","Top 100k"
3364390,2,83,1,247062,1,0,178,225428,100.4,"","Top 1mil"
3364390,3,64,2,1751046,1,0,242,229098,101,"","Top 1mil"
3364390,5,64,8,2025518,1,0,373,178857,100.8,"","Top 1mil"
3364390,6,50,4,2061730,1,0,423,166567,101.4,"","Top 1mil"
3364390,7,36,10,4744230,1,0,459,264415,101.4,"","Top 1mil"
3364390,10,47,8,2976152,1,0,644,319885,101.8,"","Top 1mil"
3364390,14,68,4,2408289,1,0,916,125975,103.2,"","Top 1mil"
3364390,23,25,5,7642982,1,0,1435,56744,105.1,"","Top 100k"
3364390,25,84,0,89499,1,0,1574,54478,105.5,"","Top 100k"
125462,3,63,4,1966629,1,0,233,428867,100.6,"","Top 1mil"
125462,6,48,4,2579817,1,0,403,486497,101.2,"","Top 1mil"
125462,11,71,34,107370,1,0,691,390900,101,"","Top 1mil"
125462,13,44,0,4385840,1,0,819,314255,102.4,"","Top 1mil"
125462,15,69,3,129118,1,0,980,70228,103.2,"","Top 100k"
125462,17,53,1,2755366,1,0,1094,119751,103.9,"","Top 1mil"
125462,18,55,0,1561896,1,0,1149,119035,103.8,"","Top 1mil"
125462,23,31,5,5878282,1,0,1405,122248,104.3,"","Top 1mil"
125462,25,67,6,1017543,1,0,1538,125405,104.9,"","Top 1mil"
44922,5,70,6,1010283,1,0,351,583676,100.3,"","Top 1mil"
44922,6,51,15,1829319,1,0,402,507789,100.8,"","Top 1mil"
44922,8,54,4,3081914,1,0,508,377778,101.5,"","Top 1mil"
44922,9,88,5,1386191,1,0,596,330124,101.9,"","Top 1mil"
44922,15,52,11,1879422,1,0,993,39037,103.7,"","Top 100k"
44922,16,91,16,70030,1,0,1084,11704,104.2,"","Top 100k"
44922,17,61,2,1260319,1,0,1145,13303,104.8,"","Top 100k"
44922,18,63,0,652729,1,0,1208,10453,104.9,"","Top 100k"
44922,19,53,0,1291263,1,0,1261,9395,104.9,"","Top 10k"
1777548,5,66,4,1641766,1,0,375,152995,101.1,"","Top 1mil"
1777548,6,51,7,1829319,1,0,426,134689,101.7,"","Top 1mil"
1777548,13,40,0,5431096,1,0,841,166309,104.6,"","Top 1mil"
1777548,14,66,6,2907628,1,0,907,169546,104.9,"","Top 1mil"
1777548,17,71,2,317800,1,0,1090,135780,105.4,"","Top 1mil"
1777548,18,55,0,1561896,1,0,1145,133861,105.4,"","Top 1mil"
1777548,20,65,0,180452,1,0,1238,121119,105.5,"","Top 1mil"
1777548,21,62,6,1590391,1,0,1300,149713,105.2,"","Top 1mil"
1777548,22,45,14,5727893,1,0,1345,204450,105.5,"","Top 1mil"
1777548,24,82,6,510303,1,0,1448,210932,106.2,"","Top 1mil"
661771,2,68,4,1599782,1,0,135,2273609,100.1,"","Top 10mil"
