ID,cb1bc70d,42ecc464,33f924de,cc7a8ab9,532ed6a3,42ba7e3c,a99ecda1,fcd6bfa0,0db67a79,f9c35bf2,4c35e7ff,92d7d389,073f1f10,ff58f729,7a91cf71,b4df757d
Date of defrosted,16/12/2020,16/12/2020,04/01/2021,07/01/2021,06/01/2021,06/01/2021,02/12/2020,03/12/2020,16/12/2020,07/01/2021,16/12/2020,05/01/2021,03/12/2020,06/01/2021,16/12/2020,04/01/2021
Sample Type,,,,Defrost,In Process,In Process,,,,Defrost,,,,In Process,In Process,
Code of the processor,201381,201381,371346,007-EN-2021,7,7,201029,201044,201381,007-EN-2021,201381,201029,201044,7,201381,371346
Date of the proceess,15/12/2020,15/12/2020,03/01/2021,06/01/2021,06/01/2021,06/01/2021,20/11/2020,01/12/2020,15/12/2020,06/01/2021,15/12/2020,20/11/2020,01/12/2020,06/01/2021,15/12/2020,03/01/2021
Presentation,Semi IQF block,Semi IQF block,Semi IQF block,Semi IQF block,Semi IQF block,Semi IQF block,Semi IQF block,Semi IQF block,Semi IQF block,Semi IQF block,Semi IQF block,Semi IQF block,Semi IQF block,Semi IQF block,Semi IQF block,Semi IQF block
Sample #,Sample 1,Sample 2,Sample 1,Sample 4,Sample 3,Sample 1,Sample 2,Sample 3,Sample 3,Sample 5,Sample 5,Sample 1,Sample 4,Sample 2,Sample 4,Sample 2
Order_ID,e77fe04f,e77fe04f,09da63b4,6adebe8f,6adebe8f,6adebe8f,58c3c91c,58c3c91c,e77fe04f,6adebe8f,e77fe04f,58c3c91c,58c3c91c,6adebe8f,e77fe04f,09da63b4
Temperature,-19.1,-19.3,-18.9,-20.2,8.9,,-18.0,-18.0,-18.9,-20.2,-19.4,-18.0,-18.0,8.4,-19.3,-188.0
Declared size,41-50,36-40,30-40,30-40,30-40,30-40,60-70,60-70,36-40,30-40,41-50,60-70,60-70,30-40,41-50,30-40
Gross weight,1956,1958,2075,2150,2135,2110,2445,2210,1962,2168,1972,2430,2215,2130,1960,2090
Net drained weight,1890,1850,2050,2082,1465,1490,1490,1470,1816,1499,1850,1460,1505,1480,1868,2070
Total count,180,158,76,54,55,55,94,94,154,46,180,80,95,55,178,74
Count per LB,43,387,38,36,37,37,63,64,384,32,44,60,63,37,43,37
Uniformity,121.0,124.0,133.0,123.0,13.0,133.0,14.0,132.0,13.0,128.0,13.0,14.0,142.0,132.0,13.0,
Melanosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
