LinkName,Date,Column
"A",2020-08-15 00:00:00.000,0
"A",2020-08-16 00:00:00.000,0
"A",2020-08-17 00:00:00.000,0
"A",2020-08-18 00:00:00.000,0
"A",2020-08-19 00:00:00.000,0
"A",2020-08-20 00:00:00.000,0
"A",2020-08-21 00:00:00.000,1
"B",2020-08-15 00:00:00.000,0
"B",2020-08-16 00:00:00.000,0
"B",2020-08-17 00:00:00.000,0
"B",2020-08-18 00:00:00.000,0
"B",2020-08-19 00:00:00.000,0
"B",2020-08-20 00:00:00.000,0
"B",2020-08-21 00:00:00.000,1
"A",2020-08-22 00:00:00.000,0
"B",2020-08-23 00:00:00.000,1
"B",2020-08-24 00:00:00.000,1
"A",2020-08-25 00:00:00.000,0
"A",2020-08-26 00:00:00.000,0
"A",2020-08-27 00:00:00.000,0
