Customer,Product,Serial,StartDate,EndDate,Period (M),Free / Subscription,Given Free,StartDate (FreeWare),EndDate (FreeWare),Serial (FreeWare),Serial (Sub),StartDate (Sub),EndDate (Sub),Converted?
"A","WA",15685,2019-01-01 00:00:00.000,"31/12/2019",12,"Free",1,2020-01-01 00:00:00.000,"31/5/2020",67732,60719,2020-01-07 00:00:00.000,"30/6/2021","Y"
"A","WA",67732,2020-01-01 00:00:00.000,"31/5/2020",5,"Free",1,2020-01-01 00:00:00.000,"31/5/2020",67732,60719,2020-01-07 00:00:00.000,"30/6/2021","Y"
"A","WA",12114,2020-01-06 00:00:00.000,"30/6/2020",1,"Sub",1,2020-01-01 00:00:00.000,"31/5/2020",67732,60719,2020-01-07 00:00:00.000,"30/6/2021","Y"
"A","WA",60719,2020-01-07 00:00:00.000,"30/6/2021",12,"Sub",1,2020-01-01 00:00:00.000,"31/5/2020",67732,60719,2020-01-07 00:00:00.000,"30/6/2021","Y"
"A","QWS",32789,2019-01-01 00:00:00.000,"31/12/2019",12,"Free",1,2019-01-01 00:00:00.000,"31/12/2019",32789,,,"","N"
"A","KS",48065,2020-01-07 00:00:00.000,"30/6/2021",12,"Sub",0,,"",,48065,2020-01-07 00:00:00.000,"30/6/2021","N"
"B","WA",18944,2020-01-01 00:00:00.000,"31/5/2020",5,"Free",1,2020-01-01 00:00:00.000,"31/5/2020",18944,56311,2020-01-06 00:00:00.000,"30/6/2020","Y"
"B","WA",56311,2020-01-06 00:00:00.000,"30/6/2020",1,"Sub",1,2020-01-01 00:00:00.000,"31/5/2020",18944,56311,2020-01-06 00:00:00.000,"30/6/2020","Y"
"B","KS",77724,2020-01-07 00:00:00.000,"30/6/2021",12,"Sub",0,,"",,77724,2020-01-07 00:00:00.000,"30/6/2021","N"
"C","QWS",19615,2020-01-07 00:00:00.000,"30/6/2021",12,"Sub",0,,"",,19615,2020-01-07 00:00:00.000,"30/6/2021","N"
"C","WA",70867,2020-01-07 00:00:00.000,"30/6/2021",12,"Sub",0,,"",,70867,2020-01-07 00:00:00.000,"30/6/2021","N"
"D","WA",30656,2020-01-06 00:00:00.000,"30/6/2020",1,"Sub",0,,"",,30656,2020-01-06 00:00:00.000,"30/6/2020","N"
