OrganizationKey,ParentOrganizationKey,% Ownership,Organization,Currency,Path,Organization Level 1,Organization Level 2,Organization Level 3,Organization Level 4
1,,"1","AdventureWorks Cycle","US Dollar","1","AdventureWorks Cycle","","",""
2,1,"1","North America Operations","US Dollar","1|2","AdventureWorks Cycle","North America Operations","",""
3,14,"1","Northeast Division","US Dollar","1|2|14|3","AdventureWorks Cycle","North America Operations","USA Operations","Northeast Division"
4,14,"1","Northwest Division","US Dollar","1|2|14|4","AdventureWorks Cycle","North America Operations","USA Operations","Northwest Division"
5,14,"1","Central Division","US Dollar","1|2|14|5","AdventureWorks Cycle","North America Operations","USA Operations","Central Division"
6,14,"1","Southeast Division","US Dollar","1|2|14|6","AdventureWorks Cycle","North America Operations","USA Operations","Southeast Division"
7,14,"1","Southwest Division","US Dollar","1|2|14|7","AdventureWorks Cycle","North America Operations","USA Operations","Southwest Division"
8,2,".75","Canadian Division","Canadian Dollar","1|2|8","AdventureWorks Cycle","North America Operations","Canadian Division",""
9,1,"1","European Operations","EURO","1|9","AdventureWorks Cycle","European Operations","",""
10,1,".75","Pacific Operations","Australian Dollar","1|10","AdventureWorks Cycle","Pacific Operations","",""
11,9,".50","France","EURO","1|9|11","AdventureWorks Cycle","European Operations","France",""
12,9,".25","Germany","EURO","1|9|12","AdventureWorks Cycle","European Operations","Germany",""
13,10,".50","Australia","Australian Dollar","1|10|13","AdventureWorks Cycle","Pacific Operations","Australia",""
14,2,"1","USA Operations","US Dollar","1|2|14","AdventureWorks Cycle","North America Operations","USA Operations",""
