Index,Value,Ongoing Projects,Search,Match
1,1,"Microsoft","M",
1,2,"Microsoft","Mi",
1,3,"Microsoft","Mic",
1,4,"Microsoft","Micr",
1,5,"Microsoft","Micro",
1,6,"Microsoft","Micros",
1,7,"Microsoft","Microso",
1,8,"Microsoft","Microsof",
1,9,"Microsoft","Microsoft",
2,1,"Barclays (ABC)","B",1
2,2,"Barclays (ABC)","Ba",1
2,3,"Barclays (ABC)","Bar",1
2,4,"Barclays (ABC)","Barc",1
2,5,"Barclays (ABC)","Barcl",1
2,6,"Barclays (ABC)","Barcla",1
2,7,"Barclays (ABC)","Barclay",1
2,8,"Barclays (ABC)","Barclays",1
2,9,"Barclays (ABC)","Barclays ",1
2,10,"Barclays (ABC)","Barclays (",1
2,11,"Barclays (ABC)","Barclays (A",
2,12,"Barclays (ABC)","Barclays (AB",
2,13,"Barclays (ABC)","Barclays (ABC",
2,14,"Barclays (ABC)","Barclays (ABC)",
3,1,"Casey's","C",
3,2,"Casey's","Ca",
3,3,"Casey's","Cas",
3,4,"Casey's","Case",
3,5,"Casey's","Casey",
3,6,"Casey's","Casey'",
3,7,"Casey's","Casey's",
4,1,"Ernst and Young","E",
4,2,"Ernst and Young","Er",
4,3,"Ernst and Young","Ern",
4,4,"Ernst and Young","Erns",
4,5,"Ernst and Young","Ernst",
4,6,"Ernst and Young","Ernst ",
4,7,"Ernst and Young","Ernst a",
4,8,"Ernst and Young","Ernst an",
4,9,"Ernst and Young","Ernst and",
4,10,"Ernst and Young","Ernst and ",
4,11,"Ernst and Young","Ernst and Y",
4,12,"Ernst and Young","Ernst and Yo",
4,13,"Ernst and Young","Ernst and You",
4,14,"Ernst and Young","Ernst and Youn",
4,15,"Ernst and Young","Ernst and Young",
5,1,"Astrazenca","A",
5,2,"Astrazenca","As",
5,3,"Astrazenca","Ast",
5,4,"Astrazenca","Astr",
5,5,"Astrazenca","Astra",
5,6,"Astrazenca","Astraz",
5,7,"Astrazenca","Astraze",
5,8,"Astrazenca","Astrazen",
5,9,"Astrazenca","Astrazenc",
5,10,"Astrazenca","Astrazenca",
