last_discovered,device_pk,virtual_host_device_fk,chassis_u_location,chassis_device_id,chassis_device_name,vm_manager_device_fk,device_name,tags,in_service,service_level,device_type,device_subtype,virtual_subtype,device_serial,virtual_host,network_device,os_architecture,total_cpus,cores_per_cpu,threads_per_core,cpu_speed,total_cores,ram_mb,os_vendor,os_category,os_name,os_name_ver,os_version,os_version_number,os_end_of_life,os_end_of_support,hdw_end_of_life,hdw_end_of_support,manufacturer,hardware_model,asset_number,bios_version,bios_revision,bios_release_date,storage_room,building_name,room_name,row_name,rack_name,size_ru,account,customer_department,cloud_service_provider,cloud_service_name,cloud_instance_id,cloud_instance_name,cloud_instance_type,cloud_instance_status,cloud_location,cloud_notes,software_discovered,services_discovered,application_components_discovered,mounts_discovered,mount_points,parts_discovered,network_shares,local_disk_count,used_space,total_space,total_free_space,cpu_model,cpu_manufacturer,cpu_string,disk_type,parts_count,dns_records,is_blade,is_hyperthreaded,is_os_discovered,is_software_discovered,is_network_device,is_cluster,is_container,number_ip_addresses_discovered,all_ips,all_labels,line_item_cost,po_cost,first_po_date,last_po_date,all_cost_centers,all_cost_center_descriptions,Today_Date,Column,first_added,last_edited,os_name_norm,OS Group
2021-09-09 15:46:08.150,14753,,,,"",,"i-074b6dac28847335e/CentOS6","AWS-Kubernetes,AppX,Jupiter",True,"Production","virtual","Amazon EC2 Instance","Amazon EC2 Instance","",False,False,"",,,,,,,"","","","","","",,,,,"","","","","","","","","","","",,"458407285063","","Amazon Web Services","Amazon EC2 instance","i-074b6dac28847335e","CentOS6","t1.micro","Deleted","us-east-1a","",,,,,"",,"",,,,,"","","","",,"","No","No","No","No","No","No","No",1,"10.10.50.49","",,,,,"","",2022-07-08 00:00:00.000,,2020-06-19 16:17:10.336,2021-09-09 15:46:08.150,"","N/A"
2021-09-09 15:46:08.253,14754,,,,"",,"i-0ce3e871aa344a75e/CentOS6.3 02","AWS-Kubernetes,AppX,Jupiter",True,"Production","virtual","Amazon EC2 Instance","Amazon EC2 Instance","",False,False,"",,,,,,,"","","","","","",,,,,"","","","","","","","","","","",,"458407285063","","Amazon Web Services","Amazon EC2 instance","i-0ce3e871aa344a75e","CentOS6.3 02","t1.micro","Deleted","us-east-1a","",,,,,"",,"",,,,,"","","","",,"","No","No","No","No","No","No","No",1,"10.10.21.62","",,,,,"","",2022-07-08 00:00:00.000,,2020-06-19 16:17:10.440,2021-09-09 15:46:08.253,"","N/A"
2021-09-09 15:46:08.420,14756,,,,"",,"i-0f1945a2fb0c6de3c/AD-Instance-10.10.0.5","AWS-Kubernetes,AppX,Jupiter",True,"Production","virtual","Amazon EC2 Instance","Amazon EC2 Instance","",False,False,"",,,,,,,"","","","","","",,,,,"","","","","","","","","","","",,"458407285063","","Amazon Web Services","Amazon EC2 instance","i-0f1945a2fb0c6de3c","AD-Instance-10.10.0.5","t2.xlarge","Deleted","us-east-1a","",,,,,"",,"",,,,,"","","","",,"","No","No","No","No","No","No","No",1,"10.10.0.5","",,,,,"","",2022-07-08 00:00:00.000,,2020-06-19 16:17:10.983,2021-09-09 15:46:08.420,"","N/A"
2021-09-09 15:46:08.500,14757,,,,"",,"i-07961f10f0bf53d11/CentOS-Roman-10.10.0.7","AWS-Kubernetes,AppX,Jupiter",True,"Production","virtual","Amazon EC2 Instance","Amazon EC2 Instance","",False,False,"",,,,,,,"","","","","","",,,,,"","","","","","","","","","","",,"458407285063","","Amazon Web Services","Amazon EC2 instance","i-07961f10f0bf53d11","CentOS-Roman-10.10.0.7","t2.micro","Deleted","us-east-1a","",,,,,"",,"",,,,,"","","","",,"","No","No","No","No","No","No","No",1,"10.10.0.7","",,,,,"","",2022-07-08 00:00:00.000,,2020-06-19 16:17:11.073,2021-09-09 15:46:08.500,"","N/A"
2021-09-09 15:46:08.583,14758,,,,"",,"i-0b324e26bae84d00c/linux-mysql-10.10.0.10","AWS-Kubernetes,AppX,Jupiter",True,"Production","virtual","Amazon EC2 Instance","Amazon EC2 Instance","",False,False,"",,,,,,,"","","","","","",,,,,"","","","","","","","","","","",,"458407285063","","Amazon Web Services","Amazon EC2 instance","i-0b324e26bae84d00c","linux-mysql-10.10.0.10","t2.nano","Deleted","us-east-1a","",,,,,"",,"",,,,,"","","","",,"","No","No","No","No","No","No","No",1,"10.10.0.10","",,,,,"","",2022-07-08 00:00:00.000,,2020-06-19 16:17:11.163,2021-09-09 15:46:08.583,"","N/A"
2021-09-09 15:46:08.713,14759,,,,"",,"i-0f22aad865c486902/linux-apache-10.10.0.11","AWS-Kubernetes,AppX,Jupiter",True,"Production","virtual","Amazon EC2 Instance","Amazon EC2 Instance","",False,False,"",,,,,,,"","","","","","",,,,,"","","","","","","","","","","",,"458407285063","","Amazon Web Services","Amazon EC2 instance","i-0f22aad865c486902","linux-apache-10.10.0.11","t2.nano","Deleted","us-east-1a","",,,,,"",,"",,,,,"","","","",,"","No","No","No","No","No","No","No",1,"10.10.0.11","",,,,,"","",2022-07-08 00:00:00.000,,2020-06-19 16:17:11.253,2021-09-09 15:46:08.713,"","N/A"
2021-09-09 15:46:08.796,14760,,,,"",,"i-04c8558efb90707ab/linux-postgres-10.10.0.12","AWS-Kubernetes,AppX,Jupiter",True,"Production","virtual","Amazon EC2 Instance","Amazon EC2 Instance","",False,False,"",,,,,,,"","","","","","",,,,,"","","","","","","","","","","",,"458407285063","","Amazon Web Services","Amazon EC2 instance","i-04c8558efb90707ab","linux-postgres-10.10.0.12","t2.micro","Deleted","us-east-1a","",,,,,"",,"",,,,,"","","","",,"","No","No","No","No","No","No","No",1,"10.10.0.12","",,,,,"","",2022-07-08 00:00:00.000,,2020-06-19 16:17:11.340,2021-09-09 15:46:08.796,"","N/A"
2021-09-09 15:46:08.876,14761,,,,"",,"i-072bb8efb33b0f168/linux-mariadb-10.10.0.14","AWS-Kubernetes,AppX,Jupiter",True,"Production","virtual","Amazon EC2 Instance","Amazon EC2 Instance","",False,False,"",,,,,,,"","","","","","",,,,,"","","","","","","","","","","",,"458407285063","","Amazon Web Services","Amazon EC2 instance","i-072bb8efb33b0f168","linux-mariadb-10.10.0.14","t2.micro","Deleted","us-east-1a","",,,,,"",,"",,,,,"","","","",,"","No","No","No","No","No","No","No",1,"10.10.0.14","",,,,,"","",2022-07-08 00:00:00.000,,2020-06-19 16:17:11.426,2021-09-09 15:46:08.876,"","N/A"
2021-09-09 15:46:08.956,14762,,,,"",,"i-00968eaa3b00d4894/linux-mongodb-10.10.0.15","AWS-Kubernetes,AppX,Jupiter",True,"Production","virtual","Amazon EC2 Instance","Amazon EC2 Instance","",False,False,"",,,,,,,"","","","","","",,,,,"","","","","","","","","","","",,"458407285063","","Amazon Web Services","Amazon EC2 instance","i-00968eaa3b00d4894","linux-mongodb-10.10.0.15","t2.nano","Deleted","us-east-1a","",,,,,"",,"",,,,,"","","","",,"","No","No","No","No","No","No","No",1,"10.10.0.15","",,,,,"","",2022-07-08 00:00:00.000,,2020-06-19 16:17:11.513,2021-09-09 15:46:08.956,"","N/A"
2021-09-09 15:46:09.043,14763,,,,"",,"i-04d8cb2ead7d87a0f/ubuntu-tomcat-10.10.0.16","AWS-Kubernetes,AppX,Jupiter",True,"Production","virtual","Amazon EC2 Instance","Amazon EC2 Instance","",False,False,"",,,,,,,"","","","","","",,,,,"","","","","","","","","","","",,"458407285063","","Amazon Web Services","Amazon EC2 instance","i-04d8cb2ead7d87a0f","ubuntu-tomcat-10.10.0.16","t2.nano","Deleted","us-east-1a","",,,,,"",,"",,,,,"","","","",,"","No","No","No","No","No","No","No",1,"10.10.0.16","",,,,,"","",2022-07-08 00:00:00.000,,2020-06-19 16:17:11.600,2021-09-09 15:46:09.043,"","N/A"
