site,plant_id,material_code,batch,order_number,storage_location,order_type,mrp_controller,actual_finish_date,actual_start_date,delivered_quantity,total_quantity,first_pass_yield,Date
3100,3.0,74022228,19BM04235R,1003073226,3140,XP04,KT5,2019-08-28 00:00:00.000,2019-08-27 00:00:00.000,7,7,100.0,2019-08-28 00:00:00.000
3100,5.0,71343608,19LM01269,1003129085,3150,XP01,H28,2019-11-14 00:00:00.000,2019-11-11 00:00:00.000,15,16,93.8,2019-11-14 00:00:00.000
3100,3.0,71422668,19LM10681,1003138447,3140,XP01,KP2,2019-11-18 00:00:00.000,2019-11-17 00:00:00.000,32,32,100.0,2019-11-18 00:00:00.000
3100,2.0,81099656,19LM17586,1003131232,3110,XP01,I11,2019-12-09 00:00:00.000,2019-12-01 00:00:00.000,8,8,100.0,2019-12-09 00:00:00.000
3100,5.0,71343600,19MM16504,1003164540,3150,XP01,H28,2020-01-08 00:00:00.000,2020-01-03 00:00:00.000,16,16,100.0,2020-01-08 00:00:00.000
3100,5.0,71343204,19HM01728,1003049899,3150,XP01,H28,2019-08-15 00:00:00.000,2019-08-12 00:00:00.000,16,16,100.0,2019-08-15 00:00:00.000
3100,5.0,71421244,20FM16366,1003295918,3150,XP01,O84,2020-07-02 00:00:00.000,2020-06-23 00:00:00.000,8,8,100.0,2020-07-02 00:00:00.000
3100,2.0,72434044N,19MM16451,1003164359,3110,XP01,TS2,2020-01-02 00:00:00.000,2019-12-30 00:00:00.000,200,200,100.0,2020-01-02 00:00:00.000
3100,3.0,71420028,19MM11846,1003156075,3140,XP04,KF1,2019-12-22 00:00:00.000,2019-12-17 00:00:00.000,2,2,100.0,2019-12-22 00:00:00.000
3100,5.0,71342800,20FM18650,1003295080,3150,XP01,H28,2020-07-09 00:00:00.000,2020-07-02 00:00:00.000,16,16,100.0,2020-07-09 00:00:00.000
3100,2.0,71865326,20FM08997,1003290316,3110,XP01,TS4,2020-06-24 00:00:00.000,2020-06-19 00:00:00.000,50,50,100.0,2020-06-24 00:00:00.000
3100,4.0,72467407N,19HM01085,1003047200,3130,XP04,PVB,2019-08-23 00:00:00.000,2019-08-01 00:00:00.000,7,7,100.0,2019-08-23 00:00:00.000
3100,5.0,71422355,20BM10703,1003204428,3150,XP01,O36,2020-02-17 00:00:00.000,2020-02-13 00:00:00.000,8,8,100.0,2020-02-17 00:00:00.000
3100,3.0,71421038,19LM16256,1003143719,3140,XP01,KP8,2019-12-06 00:00:00.000,2019-12-03 00:00:00.000,100,100,100.0,2019-12-06 00:00:00.000
3100,2.0,72402732N,19HM23399,1003074503,3110,XP01,TSG,2019-09-03 00:00:00.000,2019-08-31 00:00:00.000,98,100,98.0,2019-09-03 00:00:00.000
3100,,74026712,19HAP0043C,1003205934,3140,XP01,KT8,2020-02-23 00:00:00.000,2020-02-19 00:00:00.000,12,12,100.0,2020-02-23 00:00:00.000
3100,2.0,72413528,19MM09706,1003158942,3110,XP04,TS2,2020-01-05 00:00:00.000,2019-12-20 00:00:00.000,113,200,56.5,2020-01-05 00:00:00.000
3100,4.0,72454406N,20FM13109,1003294741,3130,XP01,PHA,2020-07-15 00:00:00.000,2020-06-27 00:00:00.000,12,12,100.0,2020-07-15 00:00:00.000
3100,3.0,71420180,19LM00423,1003128077,3140,XP01,KT3,2019-11-03 00:00:00.000,2019-11-02 00:00:00.000,16,16,100.0,2019-11-03 00:00:00.000
3100,4.0,71352510,16EM13018R,1003087914,3130,XP04,HS3,2019-09-17 00:00:00.000,2019-09-13 00:00:00.000,1,1,100.0,2019-09-17 00:00:00.000
