Sale Key,variable,value
56192,City Key,77088
227784,City Key,72610
87978,City Key,47134
16428,City Key,44316
219559,City Key,72610
6658,City Key,62292
27492,City Key,41398
73926,City Key,91372
1005,City Key,47741
50910,City Key,72782
95305,City Key,87673
167719,City Key,108919
41573,City Key,72803
14043,City Key,40959
14405,City Key,44316
135223,City Key,66011
33043,City Key,66094
178497,City Key,108758
31366,City Key,87481
11450,City Key,49253
60471,City Key,47692
37360,City Key,44439
155288,City Key,76970
3871,City Key,40861
61336,City Key,72803
57329,City Key,87633
157954,City Key,48937
63257,City Key,40659
43209,City Key,47692
161680,City Key,91452
209632,City Key,110549
5399,City Key,48851
209334,City Key,110541
177347,City Key,112291
64581,City Key,41568
132235,City Key,72761
149976,City Key,91354
83333,City Key,48778
78971,City Key,91372
26170,City Key,63578
162063,City Key,72803
54181,City Key,87556
52444,City Key,91271
116564,City Key,47673
130622,City Key,90082
50101,City Key,91464
8408,City Key,48762
71889,City Key,48762
145986,City Key,87543
202305,City Key,107558
90949,City Key,66011
210862,City Key,110541
62079,City Key,41358
191994,City Key,107539
66367,City Key,76970
130802,City Key,41500
68882,City Key,44439
158482,City Key,44316
169629,City Key,107510
80920,City Key,41432
127141,City Key,90082
211173,City Key,107510
9675,City Key,40608
29065,City Key,44439
146157,City Key,47757
5267,City Key,40944
194110,City Key,107558
166041,City Key,107510
117570,City Key,72646
36097,City Key,41500
107986,City Key,87556
47202,City Key,72610
101779,City Key,41358
199501,City Key,66127
92957,City Key,40659
147665,City Key,44316
3175,City Key,44316
205622,City Key,66011
38843,City Key,76970
165517,City Key,108660
139602,City Key,77088
83934,City Key,91271
193626,City Key,108660
109730,City Key,72894
5181,City Key,45725
125198,City Key,87673
96242,City Key,41500
64032,City Key,66127
204301,City Key,72709
217875,City Key,110541
191973,City Key,72761
80926,City Key,47016
89209,City Key,76970
15801,City Key,41358
76169,City Key,91464
172551,City Key,110549
103073,City Key,41568
82766,City Key,44439
24812,City Key,72743
225548,City Key,72761
56192,Customer Key,281
227784,Customer Key,0
87978,Customer Key,0
16428,Customer Key,297
219559,Customer Key,0
6658,Customer Key,281
27492,Customer Key,52
73926,Customer Key,201
1005,Customer Key,0
50910,Customer Key,142
95305,Customer Key,223
167719,Customer Key,272
41573,Customer Key,131
14043,Customer Key,43
14405,Customer Key,297
135223,Customer Key,180
33043,Customer Key,136
178497,Customer Key,43
31366,Customer Key,0
11450,Customer Key,0
60471,Customer Key,0
37360,Customer Key,273
155288,Customer Key,186
3871,Customer Key,78
61336,Customer Key,131
57329,Customer Key,0
157954,Customer Key,0
63257,Customer Key,107
43209,Customer Key,0
161680,Customer Key,43
209632,Customer Key,274
5399,Customer Key,0
209334,Customer Key,102
177347,Customer Key,30
64581,Customer Key,0
132235,Customer Key,0
149976,Customer Key,78
83333,Customer Key,25
78971,Customer Key,201
26170,Customer Key,0
162063,Customer Key,131
54181,Customer Key,31
52444,Customer Key,127
116564,Customer Key,256
130622,Customer Key,37
50101,Customer Key,0
8408,Customer Key,0
71889,Customer Key,0
145986,Customer Key,30
202305,Customer Key,0
90949,Customer Key,180
210862,Customer Key,102
62079,Customer Key,221
191994,Customer Key,256
66367,Customer Key,186
130802,Customer Key,47
68882,Customer Key,273
158482,Customer Key,297
169629,Customer Key,63
80920,Customer Key,0
127141,Customer Key,37
211173,Customer Key,63
9675,Customer Key,274
29065,Customer Key,273
146157,Customer Key,0
5267,Customer Key,48
194110,Customer Key,0
166041,Customer Key,63
117570,Customer Key,0
36097,Customer Key,47
107986,Customer Key,31
47202,Customer Key,338
101779,Customer Key,221
199501,Customer Key,249
92957,Customer Key,107
147665,Customer Key,297
3175,Customer Key,297
205622,Customer Key,180
38843,Customer Key,186
165517,Customer Key,78
139602,Customer Key,281
83934,Customer Key,127
193626,Customer Key,78
109730,Customer Key,0
5181,Customer Key,20
125198,Customer Key,223
96242,Customer Key,47
64032,Customer Key,249
204301,Customer Key,0
217875,Customer Key,102
191973,Customer Key,0
80926,Customer Key,374
89209,Customer Key,186
15801,Customer Key,221
76169,Customer Key,0
172551,Customer Key,274
103073,Customer Key,0
82766,Customer Key,273
24812,Customer Key,398
225548,Customer Key,0
56192,Bill To Customer Key,202
227784,Bill To Customer Key,0
87978,Bill To Customer Key,0
16428,Bill To Customer Key,202
219559,Bill To Customer Key,0
6658,Bill To Customer Key,202
27492,Bill To Customer Key,1
73926,Bill To Customer Key,1
1005,Bill To Customer Key,0
50910,Bill To Customer Key,1
95305,Bill To Customer Key,202
167719,Bill To Customer Key,202
41573,Bill To Customer Key,1
14043,Bill To Customer Key,1
14405,Bill To Customer Key,202
135223,Bill To Customer Key,1
33043,Bill To Customer Key,1
178497,Bill To Customer Key,1
31366,Bill To Customer Key,0
11450,Bill To Customer Key,0
60471,Bill To Customer Key,0
37360,Bill To Customer Key,202
155288,Bill To Customer Key,1
3871,Bill To Customer Key,1
61336,Bill To Customer Key,1
57329,Bill To Customer Key,0
157954,Bill To Customer Key,0
63257,Bill To Customer Key,1
43209,Bill To Customer Key,0
161680,Bill To Customer Key,1
209632,Bill To Customer Key,202
5399,Bill To Customer Key,0
209334,Bill To Customer Key,1
177347,Bill To Customer Key,1
64581,Bill To Customer Key,0
132235,Bill To Customer Key,0
149976,Bill To Customer Key,1
83333,Bill To Customer Key,1
78971,Bill To Customer Key,1
26170,Bill To Customer Key,0
162063,Bill To Customer Key,1
54181,Bill To Customer Key,1
52444,Bill To Customer Key,1
116564,Bill To Customer Key,202
130622,Bill To Customer Key,1
50101,Bill To Customer Key,0
8408,Bill To Customer Key,0
71889,Bill To Customer Key,0
145986,Bill To Customer Key,1
202305,Bill To Customer Key,0
90949,Bill To Customer Key,1
210862,Bill To Customer Key,1
62079,Bill To Customer Key,202
191994,Bill To Customer Key,202
66367,Bill To Customer Key,1
130802,Bill To Customer Key,1
68882,Bill To Customer Key,202
158482,Bill To Customer Key,202
169629,Bill To Customer Key,1
80920,Bill To Customer Key,0
127141,Bill To Customer Key,1
211173,Bill To Customer Key,1
9675,Bill To Customer Key,202
29065,Bill To Customer Key,202
146157,Bill To Customer Key,0
5267,Bill To Customer Key,1
194110,Bill To Customer Key,0
166041,Bill To Customer Key,1
117570,Bill To Customer Key,0
36097,Bill To Customer Key,1
107986,Bill To Customer Key,1
47202,Bill To Customer Key,202
101779,Bill To Customer Key,202
199501,Bill To Customer Key,202
92957,Bill To Customer Key,1
147665,Bill To Customer Key,202
3175,Bill To Customer Key,202
205622,Bill To Customer Key,1
38843,Bill To Customer Key,1
165517,Bill To Customer Key,1
139602,Bill To Customer Key,202
83934,Bill To Customer Key,1
193626,Bill To Customer Key,1
109730,Bill To Customer Key,0
5181,Bill To Customer Key,1
125198,Bill To Customer Key,202
96242,Bill To Customer Key,1
64032,Bill To Customer Key,202
204301,Bill To Customer Key,0
217875,Bill To Customer Key,1
191973,Bill To Customer Key,0
80926,Bill To Customer Key,202
89209,Bill To Customer Key,1
15801,Bill To Customer Key,202
76169,Bill To Customer Key,0
