ReturnDate,TerritoryKey,ProductKey,ReturnQuantity
2015-01-18 00:00:00.000,9,312,1
2015-02-19 00:00:00.000,9,311,1
2015-03-13 00:00:00.000,9,350,1
2015-03-15 00:00:00.000,9,340,1
2015-03-28 00:00:00.000,9,314,1
2015-03-29 00:00:00.000,9,311,1
2015-04-07 00:00:00.000,9,311,1
2015-04-07 00:00:00.000,9,351,1
2015-04-09 00:00:00.000,9,311,1
2015-04-10 00:00:00.000,9,326,1
2015-04-15 00:00:00.000,9,312,1
2015-04-16 00:00:00.000,9,349,1
2015-04-20 00:00:00.000,9,310,1
2015-04-21 00:00:00.000,9,312,1
2015-04-29 00:00:00.000,9,348,1
2015-05-06 00:00:00.000,9,324,1
2015-05-07 00:00:00.000,9,351,1
2015-05-22 00:00:00.000,9,314,1
2015-06-20 00:00:00.000,9,347,1
2015-06-24 00:00:00.000,9,320,1
2015-09-03 00:00:00.000,9,369,1
2015-10-07 00:00:00.000,9,352,1
2015-10-12 00:00:00.000,9,379,1
2015-10-23 00:00:00.000,9,354,1
2015-11-23 00:00:00.000,9,326,1
2015-12-10 00:00:00.000,9,334,1
2015-12-11 00:00:00.000,9,375,1
2015-12-12 00:00:00.000,9,362,1
2015-12-12 00:00:00.000,9,379,1
2015-12-14 00:00:00.000,9,377,1
2016-01-07 00:00:00.000,9,362,1
2016-01-10 00:00:00.000,9,381,1
2016-01-23 00:00:00.000,9,354,1
2016-01-26 00:00:00.000,9,330,1
2016-02-12 00:00:00.000,9,330,1
2016-02-20 00:00:00.000,9,328,1
2016-02-20 00:00:00.000,9,377,1
2016-02-22 00:00:00.000,9,362,1
2016-02-25 00:00:00.000,9,370,1
2016-03-08 00:00:00.000,9,352,1
2016-03-20 00:00:00.000,9,360,1
2016-03-29 00:00:00.000,9,375,1
2016-05-01 00:00:00.000,9,352,1
2016-05-03 00:00:00.000,9,370,1
2016-05-16 00:00:00.000,9,354,1
2016-06-27 00:00:00.000,9,362,1
2016-07-02 00:00:00.000,9,375,1
2016-07-03 00:00:00.000,9,354,1
2016-07-03 00:00:00.000,9,477,1
2016-07-03 00:00:00.000,9,479,1
2016-07-04 00:00:00.000,9,356,1
2016-07-08 00:00:00.000,9,478,1
2016-07-08 00:00:00.000,9,480,1
2016-07-08 00:00:00.000,9,487,1
