Date,Age,Day of Week,Day of Year,Day Name,Start of Week,DayOfWeek,Weekend,MonthName,ShortMonth
2016-09-26 00:00:00.000,3,0,270,"Monday",2016-09-26 00:00:00.000,1,"Weekday","September","SEP"
2016-09-25 00:00:00.000,3,6,269,"Sunday",2016-09-19 00:00:00.000,7,"Weekend","September","SEP"
2016-09-24 00:00:00.000,3,5,268,"Saturday",2016-09-19 00:00:00.000,6,"Weekend","September","SEP"
2016-09-23 00:00:00.000,3,4,267,"Friday",2016-09-19 00:00:00.000,5,"Weekday","September","SEP"
2016-09-22 00:00:00.000,3,3,266,"Thursday",2016-09-19 00:00:00.000,4,"Weekday","September","SEP"
2016-09-21 00:00:00.000,3,2,265,"Wednesday",2016-09-19 00:00:00.000,3,"Weekday","September","SEP"
2016-09-20 00:00:00.000,3,1,264,"Tuesday",2016-09-19 00:00:00.000,2,"Weekday","September","SEP"
2016-09-19 00:00:00.000,3,0,263,"Monday",2016-09-19 00:00:00.000,1,"Weekday","September","SEP"
2016-09-12 00:00:00.000,3,0,256,"Monday",2016-09-12 00:00:00.000,1,"Weekday","September","SEP"
2016-09-13 00:00:00.000,3,1,257,"Tuesday",2016-09-12 00:00:00.000,2,"Weekday","September","SEP"
2016-09-14 00:00:00.000,3,2,258,"Wednesday",2016-09-12 00:00:00.000,3,"Weekday","September","SEP"
2016-09-16 00:00:00.000,3,4,260,"Friday",2016-09-12 00:00:00.000,5,"Weekday","September","SEP"
2016-09-18 00:00:00.000,3,6,262,"Sunday",2016-09-12 00:00:00.000,7,"Weekend","September","SEP"
2016-09-15 00:00:00.000,3,3,259,"Thursday",2016-09-12 00:00:00.000,4,"Weekday","September","SEP"
2016-09-17 00:00:00.000,3,5,261,"Saturday",2016-09-12 00:00:00.000,6,"Weekend","September","SEP"
2016-09-05 00:00:00.000,3,0,249,"Monday",2016-09-05 00:00:00.000,1,"Weekday","September","SEP"
2016-09-06 00:00:00.000,3,1,250,"Tuesday",2016-09-05 00:00:00.000,2,"Weekday","September","SEP"
2016-09-07 00:00:00.000,3,2,251,"Wednesday",2016-09-05 00:00:00.000,3,"Weekday","September","SEP"
2016-09-11 00:00:00.000,3,6,255,"Sunday",2016-09-05 00:00:00.000,7,"Weekend","September","SEP"
2016-09-09 00:00:00.000,3,4,253,"Friday",2016-09-05 00:00:00.000,5,"Weekday","September","SEP"
2016-09-10 00:00:00.000,3,5,254,"Saturday",2016-09-05 00:00:00.000,6,"Weekend","September","SEP"
2016-09-08 00:00:00.000,3,3,252,"Thursday",2016-09-05 00:00:00.000,4,"Weekday","September","SEP"
2016-08-29 00:00:00.000,3,0,242,"Monday",2016-08-29 00:00:00.000,1,"Weekday","August","AUG"
2016-08-30 00:00:00.000,3,1,243,"Tuesday",2016-08-29 00:00:00.000,2,"Weekday","August","AUG"
2016-08-31 00:00:00.000,3,2,244,"Wednesday",2016-08-29 00:00:00.000,3,"Weekday","August","AUG"
