ManufacturerID,variable,value
Manufacturer,1,Abbas
Logo,1,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Abbas.png
Manufacturer (groups),1,Other
Manufacturer,2,Aliqui
Logo,2,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Aliqui.png
Manufacturer (groups),2,Top Competitors
Manufacturer,3,Barba
Logo,3,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Barba.png
Manufacturer (groups),3,Other
Manufacturer,4,Currus
Logo,4,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Currus.png
Manufacturer (groups),4,Top Competitors
Manufacturer,5,Fama
Logo,5,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Fama.png
Manufacturer (groups),5,Other
Manufacturer,6,Leo
Logo,6,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Leo.png
Manufacturer (groups),6,Other
Manufacturer,7,VanArsdel
Logo,7,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Vanarsdel.png
Manufacturer (groups),7,VanArsdel
Manufacturer,8,Natura
Logo,8,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Natura.png
Manufacturer (groups),8,Top Competitors
Manufacturer,9,Palma
Logo,9,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Palma.png
Manufacturer (groups),9,Other
Manufacturer,10,Pirum
Logo,10,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Pirum.png
Manufacturer (groups),10,Top Competitors
Manufacturer,11,Pomum
Logo,11,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Pomum.png
Manufacturer (groups),11,Other
Manufacturer,12,Quibus
Logo,12,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Quibus.png
Manufacturer (groups),12,Other
Manufacturer,13,Salvus
Logo,13,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Salvus.png
Manufacturer (groups),13,Other
Manufacturer,14,Victoria
Logo,14,https://raw.githubusercontent.com/CharlesSterling/DiadManu/master/Victoria.png
Manufacturer (groups),14,Other
